Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
685.0,33.0,100.0,100.0,100
685.0,33.0,100.0,100.0,100
3133.0,6.0,102.34,100.0,100
3133.0,6.0,102.34,100.0,100
3427.0,4.0,104.69,100.0,100
3427.0,4.0,104.69,100.0,100
5224.0,13.0,107.03,100.0,100
5224.0,13.0,107.03,100.0,100
6995.0,10.0,109.38,100.0,100
6995.0,10.0,109.38,100.0,100
8701.0,51.0,111.72,100.0,100
8701.0,51.0,111.72,100.0,100
10646.0,61.0,114.06,100.0,100
10646.0,61.0,114.06,100.0,100
12541.0,12.0,116.41,100.0,100
12541.0,12.0,116.41,100.0,100
14165.0,13.0,118.75,100.0,100
14165.0,13.0,118.75,100.0,100
15964.0,15.0,121.09,100.0,100
15964.0,15.0,121.09,100.0,100
18154.0,3.0,123.44,100.0,100
18154.0,3.0,123.44,100.0,100
20641.0,3.0,125.78,100.0,100
20641.0,3.0,125.78,100.0,100
23330.0,59.0,128.12,100.0,100
23330.0,59.0,128.12,100.0,100
26288.0,17.0,130.47,100.0,100
26288.0,17.0,130.47,100.0,100
28965.0,63.0,132.81,100.0,100
28965.0,63.0,132.81,100.0,100
31794.0,3.0,135.16,100.0,100
31794.0,3.0,135.16,100.0,100
35270.0,17.0,137.5,100.0,100
35270.0,17.0,137.5,100.0,100
38514.0,19.0,139.84,100.0,100
38514.0,19.0,139.84,100.0,100
42177.0,22.0,142.19,100.0,100
42177.0,22.0,142.19,100.0,100
46069.0,60.0,144.53,100.0,100
46069.0,60.0,144.53,100.0,100
50449.0,65.0,146.88,100.0,100
50449.0,65.0,146.88,100.0,100
54658.0,51.0,149.22,100.0,100
54658.0,51.0,149.22,100.0,100
59330.0,18.0,151.56,100.0,100
59330.0,18.0,151.56,100.0,100
63747.0,19.0,153.91,100.0,100
63747.0,19.0,153.91,100.0,100
68469.0,49.0,156.25,100.0,100
68469.0,49.0,156.25,100.0,100
72962.0,20.0,158.59,100.0,100
72962.0,20.0,158.59,100.0,100
77652.0,45.0,160.94,12.5,100
77652.0,45.0,160.94,12.5,100
82925.0,19.0,163.28,100.0,100
82925.0,19.0,163.28,100.0,100
87918.0,19.0,165.62,100.0,100
87918.0,19.0,165.62,100.0,100
93845.0,74.0,167.97,100.0,100
93845.0,74.0,167.97,100.0,100
99482.0,71.0,170.31,100.0,100
99482.0,71.0,170.31,100.0,100
105941.0,21.0,172.66,100.0,100
105941.0,21.0,172.66,100.0,100
112131.0,21.0,175.0,100.0,100
112131.0,21.0,175.0,100.0,100
118139.0,20.0,177.34,100.0,100
118139.0,20.0,177.34,100.0,100
123192.0,71.0,179.69,100.0,100
123192.0,71.0,179.69,100.0,100
129088.0,74.0,182.03,100.0,100
129088.0,74.0,182.03,100.0,100
135607.0,95.0,184.38,100.0,100
135607.0,95.0,184.38,100.0,100
142361.0,50.0,186.72,100.0,100
142361.0,50.0,186.72,100.0,100
148949.0,45.0,189.06,12.5,100
148949.0,45.0,189.06,12.5,100
154992.0,18.0,191.41,100.0,100
154992.0,18.0,191.41,100.0,100
161619.0,68.0,193.75,100.0,100
161619.0,68.0,193.75,100.0,100
168193.0,21.0,196.09,100.0,100
168193.0,21.0,196.09,100.0,100
174673.0,111.0,198.44,100.0,100
174673.0,111.0,198.44,100.0,100
181205.0,65.0,200.78,100.0,100
181205.0,65.0,200.78,100.0,100
