Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
1468.0,39.0,100.0,100.0,100
1468.0,39.0,100.0,100.0,100
2073.0,62.0,100.78,100.0,100
2073.0,62.0,100.78,100.0,100
2309.0,33.0,101.56,100.0,100
2309.0,33.0,101.56,100.0,100
4895.0,30.0,102.34,100.0,100
4895.0,30.0,102.34,100.0,100
5050.0,29.0,103.12,100.0,100
5050.0,29.0,103.12,100.0,100
5195.0,30.0,103.91,100.0,100
5195.0,30.0,103.91,100.0,100
5290.0,34.0,104.69,100.0,100
5290.0,34.0,104.69,100.0,100
5349.0,36.0,105.47,100.0,100
5349.0,36.0,105.47,100.0,100
5411.0,30.0,106.25,100.0,100
5411.0,30.0,106.25,100.0,100
5485.0,31.0,107.03,100.0,100
5485.0,31.0,107.03,100.0,100
5528.0,52.0,107.81,100.0,100
5528.0,52.0,107.81,100.0,100
5567.0,38.0,108.59,100.0,100
5567.0,38.0,108.59,100.0,100
5660.0,35.0,109.38,100.0,100
5660.0,35.0,109.38,100.0,100
5694.0,34.0,110.16,100.0,100
5694.0,34.0,110.16,100.0,100
5729.0,73.0,110.94,100.0,100
5729.0,73.0,110.94,100.0,100
5815.0,30.0,111.72,100.0,100
5815.0,30.0,111.72,100.0,100
5875.0,23.0,112.5,100.0,100
5875.0,23.0,112.5,100.0,100
5907.0,23.0,113.28,100.0,100
5907.0,23.0,113.28,100.0,100
5940.0,22.0,114.06,100.0,100
5940.0,22.0,114.06,100.0,100
6003.0,34.0,114.84,100.0,100
6003.0,34.0,114.84,100.0,100
6055.0,30.0,115.62,100.0,100
6055.0,30.0,115.62,100.0,100
6106.0,31.0,116.41,100.0,100
6106.0,31.0,116.41,100.0,100
6133.0,61.0,117.19,100.0,100
6133.0,61.0,117.19,100.0,100
6180.0,43.0,117.97,100.0,100
6180.0,43.0,117.97,100.0,100
6205.0,38.0,118.75,100.0,100
6205.0,38.0,118.75,100.0,100
6230.0,33.0,119.53,100.0,100
6230.0,33.0,119.53,100.0,100
6258.0,31.0,120.31,100.0,100
6258.0,31.0,120.31,100.0,100
6305.0,44.0,121.09,100.0,100
6305.0,44.0,121.09,100.0,100
6341.0,47.0,121.88,100.0,100
6341.0,47.0,121.88,100.0,100
6382.0,54.0,122.66,100.0,100
6382.0,54.0,122.66,100.0,100
6419.0,32.0,123.44,100.0,100
6419.0,32.0,123.44,100.0,100
6452.0,34.0,124.22,100.0,100
6452.0,34.0,124.22,100.0,100
6477.0,35.0,125.0,100.0,100
6477.0,35.0,125.0,100.0,100
6542.0,45.0,125.78,100.0,100
6542.0,45.0,125.78,100.0,100
6590.0,29.0,126.56,100.0,100
6590.0,29.0,126.56,100.0,100
6675.0,28.0,127.34,100.0,100
6675.0,28.0,127.34,100.0,100
6703.0,34.0,128.12,100.0,100
6703.0,34.0,128.12,100.0,100
6767.0,31.0,128.91,100.0,100
6767.0,31.0,128.91,100.0,100
6791.0,37.0,129.69,100.0,100
6791.0,37.0,129.69,100.0,100
6814.0,32.0,130.47,100.0,100
6814.0,32.0,130.47,100.0,100
6873.0,43.0,131.25,100.0,100
6873.0,43.0,131.25,100.0,100
6898.0,52.0,132.03,12.5,100
6898.0,52.0,132.03,12.5,100
6942.0,34.0,132.81,100.0,100
6942.0,34.0,132.81,100.0,100
6980.0,41.0,133.59,100.0,100
6980.0,41.0,133.59,100.0,100
7015.0,41.0,134.38,100.0,100
7015.0,41.0,134.38,100.0,100
7065.0,36.0,135.16,100.0,100
7065.0,36.0,135.16,100.0,100
7089.0,39.0,135.94,100.0,100
7089.0,39.0,135.94,100.0,100
7106.0,40.0,136.72,100.0,100
7106.0,40.0,136.72,100.0,100
7128.0,32.0,137.5,100.0,100
7128.0,32.0,137.5,100.0,100
7162.0,42.0,138.28,100.0,100
7162.0,42.0,138.28,100.0,100
7180.0,38.0,139.06,100.0,100
7180.0,38.0,139.06,100.0,100
7212.0,42.0,139.84,100.0,100
7212.0,42.0,139.84,100.0,100
7231.0,40.0,140.62,100.0,100
7231.0,40.0,140.62,100.0,100
7246.0,48.0,141.41,100.0,100
7246.0,48.0,141.41,100.0,100
7283.0,38.0,142.19,100.0,100
7283.0,38.0,142.19,100.0,100
7302.0,44.0,142.97,100.0,100
7302.0,44.0,142.97,100.0,100
7331.0,38.0,143.75,100.0,100
7331.0,38.0,143.75,100.0,100
7350.0,33.0,144.53,100.0,100
7350.0,33.0,144.53,100.0,100
7370.0,27.0,145.31,100.0,100
7370.0,27.0,145.31,100.0,100
7400.0,42.0,146.09,100.0,100
7400.0,42.0,146.09,100.0,100
7422.0,46.0,146.88,100.0,100
7422.0,46.0,146.88,100.0,100
7453.0,40.0,147.66,100.0,100
7453.0,40.0,147.66,100.0,100
7487.0,27.0,148.44,100.0,100
7487.0,27.0,148.44,100.0,100
7516.0,32.0,149.22,100.0,100
7516.0,32.0,149.22,100.0,100
7538.0,45.0,150.0,100.0,100
7538.0,45.0,150.0,100.0,100
7555.0,48.0,150.78,100.0,100
7555.0,48.0,150.78,100.0,100
7584.0,49.0,151.56,100.0,100
7584.0,49.0,151.56,100.0,100
7626.0,35.0,152.34,100.0,100
7626.0,35.0,152.34,100.0,100
7645.0,50.0,153.12,12.5,100
7645.0,50.0,153.12,12.5,100
7686.0,32.0,153.91,100.0,100
7686.0,32.0,153.91,100.0,100
7708.0,98.0,154.69,100.0,100
7708.0,98.0,154.69,100.0,100
7731.0,33.0,155.47,100.0,100
7731.0,33.0,155.47,100.0,100
7770.0,54.0,156.25,100.0,100
7770.0,54.0,156.25,100.0,100
7789.0,37.0,157.03,100.0,100
7789.0,37.0,157.03,100.0,100
7813.0,43.0,157.81,100.0,100
7813.0,43.0,157.81,100.0,100
7846.0,45.0,158.59,100.0,100
7846.0,45.0,158.59,100.0,100
7929.0,40.0,159.38,100.0,100
7929.0,40.0,159.38,100.0,100
7984.0,30.0,160.16,100.0,100
7984.0,30.0,160.16,100.0,100
8044.0,27.0,160.94,100.0,100
8044.0,27.0,160.94,100.0,100
8232.0,36.0,161.72,100.0,100
8232.0,36.0,161.72,100.0,100
8331.0,26.0,162.5,100.0,100
8331.0,26.0,162.5,100.0,100
8402.0,23.0,163.28,100.0,100
8402.0,23.0,163.28,100.0,100
8462.0,20.0,164.06,100.0,100
8462.0,20.0,164.06,100.0,100
8516.0,17.0,164.84,100.0,100
8516.0,17.0,164.84,100.0,100
8579.0,19.0,165.62,100.0,100
8579.0,19.0,165.62,100.0,100
8635.0,18.0,166.41,100.0,100
8635.0,18.0,166.41,100.0,100
8675.0,12.0,167.19,100.0,100
8675.0,12.0,167.19,100.0,100
8715.0,15.0,167.97,100.0,100
8715.0,15.0,167.97,100.0,100
8775.0,14.0,168.75,100.0,100
8775.0,14.0,168.75,100.0,100
8837.0,15.0,169.53,100.0,100
8837.0,15.0,169.53,100.0,100
8868.0,36.0,170.31,100.0,100
8868.0,36.0,170.31,100.0,100
8897.0,26.0,171.09,100.0,100
8897.0,26.0,171.09,100.0,100
8925.0,28.0,171.88,100.0,100
8925.0,28.0,171.88,100.0,100
8946.0,93.0,172.66,100.0,100
8946.0,93.0,172.66,100.0,100
8967.0,26.0,173.44,100.0,100
8967.0,26.0,173.44,100.0,100
9012.0,7.0,174.22,100.0,100
9012.0,7.0,174.22,100.0,100
9033.0,24.0,175.0,100.0,100
9033.0,24.0,175.0,100.0,100
9053.0,24.0,175.78,100.0,100
9053.0,24.0,175.78,100.0,100
9074.0,25.0,176.56,100.0,100
9074.0,25.0,176.56,100.0,100
9094.0,24.0,177.34,100.0,100
9094.0,24.0,177.34,100.0,100
9115.0,24.0,178.12,100.0,100
9115.0,24.0,178.12,100.0,100
9134.0,23.0,178.91,100.0,100
9134.0,23.0,178.91,100.0,100
9154.0,23.0,179.69,100.0,100
9154.0,23.0,179.69,100.0,100
9175.0,22.0,180.47,100.0,100
9175.0,22.0,180.47,100.0,100
9195.0,22.0,181.25,100.0,100
9195.0,22.0,181.25,100.0,100
9215.0,22.0,182.03,100.0,100
9215.0,22.0,182.03,100.0,100
9236.0,21.0,182.81,100.0,100
9236.0,21.0,182.81,100.0,100
9257.0,21.0,183.59,100.0,100
9257.0,21.0,183.59,100.0,100
9277.0,21.0,184.38,100.0,100
9277.0,21.0,184.38,100.0,100
9298.0,21.0,185.16,100.0,100
9298.0,21.0,185.16,100.0,100
9319.0,26.0,185.94,100.0,100
9319.0,26.0,185.94,100.0,100
9340.0,20.0,186.72,100.0,100
9340.0,20.0,186.72,100.0,100
9360.0,21.0,187.5,100.0,100
9360.0,21.0,187.5,100.0,100
9381.0,20.0,188.28,100.0,100
9381.0,20.0,188.28,100.0,100
9401.0,20.0,189.06,100.0,100
9401.0,20.0,189.06,100.0,100
9422.0,20.0,189.84,100.0,100
9422.0,20.0,189.84,100.0,100
9443.0,20.0,190.62,100.0,100
9443.0,20.0,190.62,100.0,100
9464.0,20.0,191.41,100.0,100
9464.0,20.0,191.41,100.0,100
9486.0,19.0,192.19,100.0,100
9486.0,19.0,192.19,100.0,100
9508.0,22.0,192.97,100.0,100
9508.0,22.0,192.97,100.0,100
9532.0,84.0,193.75,100.0,100
9532.0,84.0,193.75,100.0,100
9554.0,18.0,194.53,100.0,100
9554.0,18.0,194.53,100.0,100
9581.0,14.0,195.31,100.0,100
9581.0,14.0,195.31,100.0,100
9602.0,19.0,196.09,100.0,100
9602.0,19.0,196.09,100.0,100
9624.0,18.0,196.88,100.0,100
9624.0,18.0,196.88,100.0,100
9646.0,18.0,197.66,100.0,100
9646.0,18.0,197.66,100.0,100
9667.0,18.0,198.44,100.0,100
9667.0,18.0,198.44,100.0,100
9689.0,19.0,199.22,100.0,100
9689.0,19.0,199.22,100.0,100
9762.0,4.0,200.0,100.0,100
9762.0,4.0,200.0,100.0,100
9785.0,24.0,200.78,100.0,100
9785.0,24.0,200.78,100.0,100
9810.0,21.0,201.56,100.0,100
9810.0,21.0,201.56,100.0,100
9832.0,17.0,202.34,100.0,100
9832.0,17.0,202.34,100.0,100
9854.0,19.0,203.12,100.0,100
9854.0,19.0,203.12,100.0,100
9876.0,17.0,203.91,100.0,100
9876.0,17.0,203.91,100.0,100
9899.0,17.0,204.69,100.0,100
9899.0,17.0,204.69,100.0,100
9921.0,17.0,205.47,100.0,100
9921.0,17.0,205.47,100.0,100
9944.0,17.0,206.25,100.0,100
9944.0,17.0,206.25,100.0,100
9967.0,17.0,207.03,100.0,100
9967.0,17.0,207.03,100.0,100
9990.0,16.0,207.81,100.0,100
9990.0,16.0,207.81,100.0,100
10016.0,19.0,208.59,100.0,100
10016.0,19.0,208.59,100.0,100
10043.0,21.0,209.38,100.0,100
10043.0,21.0,209.38,100.0,100
10070.0,18.0,210.16,100.0,100
10070.0,18.0,210.16,100.0,100
10098.0,25.0,210.94,100.0,100
10098.0,25.0,210.94,100.0,100
10126.0,18.0,211.72,100.0,100
10126.0,18.0,211.72,100.0,100
10155.0,27.0,212.5,100.0,100
10155.0,27.0,212.5,100.0,100
10182.0,24.0,213.28,100.0,100
10182.0,24.0,213.28,100.0,100
10210.0,23.0,214.06,100.0,100
10210.0,23.0,214.06,100.0,100
10237.0,21.0,214.84,100.0,100
10237.0,21.0,214.84,100.0,100
10263.0,20.0,215.62,100.0,100
10263.0,20.0,215.62,100.0,100
10289.0,15.0,216.41,100.0,100
10289.0,15.0,216.41,100.0,100
10315.0,14.0,217.19,100.0,100
