Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
746.0,32.0,100.0,100.0,100
746.0,32.0,100.0,100.0,100
752.0,38.0,102.34,100.0,100
752.0,38.0,102.34,100.0,100
757.0,37.0,104.69,100.0,100
757.0,37.0,104.69,100.0,100
762.0,44.0,107.03,100.0,100
762.0,44.0,107.03,100.0,100
767.0,46.0,109.38,100.0,100
767.0,46.0,109.38,100.0,100
774.0,45.0,111.72,12.5,100
774.0,45.0,111.72,12.5,100
782.0,47.0,114.06,100.0,100
782.0,47.0,114.06,100.0,100
789.0,45.0,116.41,100.0,100
789.0,45.0,116.41,100.0,100
798.0,46.0,118.75,100.0,100
798.0,46.0,118.75,100.0,100
806.0,45.0,121.09,100.0,100
806.0,45.0,121.09,100.0,100
815.0,44.0,123.44,100.0,100
815.0,44.0,123.44,100.0,100
823.0,45.0,125.78,12.5,100
823.0,45.0,125.78,12.5,100
831.0,47.0,128.12,100.0,100
831.0,47.0,128.12,100.0,100
840.0,71.0,130.47,100.0,100
840.0,71.0,130.47,100.0,100
848.0,46.0,132.81,100.0,100
848.0,46.0,132.81,100.0,100
857.0,44.0,135.16,100.0,100
857.0,44.0,135.16,100.0,100
867.0,47.0,137.5,100.0,100
867.0,47.0,137.5,100.0,100
877.0,48.0,139.84,100.0,100
877.0,48.0,139.84,100.0,100
887.0,50.0,142.19,100.0,100
887.0,50.0,142.19,100.0,100
895.0,47.0,144.53,100.0,100
895.0,47.0,144.53,100.0,100
905.0,49.0,146.88,100.0,100
905.0,49.0,146.88,100.0,100
912.0,41.0,149.22,100.0,100
912.0,41.0,149.22,100.0,100
2618.0,23.0,151.56,100.0,100
2618.0,23.0,151.56,100.0,100
2819.0,20.0,153.91,100.0,100
2819.0,20.0,153.91,100.0,100
2952.0,15.0,156.25,100.0,100
2952.0,15.0,156.25,100.0,100
3010.0,13.0,158.59,100.0,100
3010.0,13.0,158.59,100.0,100
3071.0,9.0,160.94,100.0,100
3071.0,9.0,160.94,100.0,100
3151.0,28.0,163.28,100.0,100
3151.0,28.0,163.28,100.0,100
3214.0,28.0,165.62,100.0,100
3214.0,28.0,165.62,100.0,100
3271.0,19.0,167.97,100.0,100
3271.0,19.0,167.97,100.0,100
3328.0,9.0,170.31,100.0,100
3328.0,9.0,170.31,100.0,100
3381.0,17.0,172.66,100.0,100
3381.0,17.0,172.66,100.0,100
3448.0,10.0,175.0,100.0,100
3448.0,10.0,175.0,100.0,100
3493.0,9.0,177.34,100.0,100
3493.0,9.0,177.34,100.0,100
3564.0,30.0,179.69,100.0,100
3564.0,30.0,179.69,100.0,100
3617.0,33.0,182.03,100.0,100
3617.0,33.0,182.03,100.0,100
3665.0,12.0,184.38,100.0,100
3665.0,12.0,184.38,100.0,100
3720.0,26.0,186.72,100.0,100
3720.0,26.0,186.72,100.0,100
3782.0,26.0,189.06,100.0,100
3782.0,26.0,189.06,100.0,100
3834.0,8.0,191.41,100.0,100
3834.0,8.0,191.41,100.0,100
3892.0,9.0,193.75,100.0,100
3892.0,9.0,193.75,100.0,100
3949.0,6.0,196.09,100.0,100
3949.0,6.0,196.09,100.0,100
4010.0,13.0,198.44,100.0,100
4010.0,13.0,198.44,100.0,100
4080.0,5.0,200.78,100.0,100
4080.0,5.0,200.78,100.0,100
4150.0,16.0,203.12,100.0,100
4150.0,16.0,203.12,100.0,100
4230.0,14.0,205.47,100.0,100
4230.0,14.0,205.47,100.0,100
4305.0,4.0,207.81,100.0,100
4305.0,4.0,207.81,100.0,100
4379.0,4.0,210.16,100.0,100
4379.0,4.0,210.16,100.0,100
4456.0,9.0,212.5,100.0,100
4456.0,9.0,212.5,100.0,100
4529.0,10.0,214.84,100.0,100
4529.0,10.0,214.84,100.0,100
4608.0,11.0,217.19,100.0,100
4608.0,11.0,217.19,100.0,100
4696.0,7.0,219.53,100.0,100
4696.0,7.0,219.53,100.0,100
4779.0,11.0,221.88,100.0,100
4779.0,11.0,221.88,100.0,100
4869.0,9.0,224.22,100.0,100
4869.0,9.0,224.22,100.0,100
4958.0,3.0,226.56,100.0,100
4958.0,3.0,226.56,100.0,100
5049.0,3.0,228.91,100.0,100
5049.0,3.0,228.91,100.0,100
5142.0,4.0,231.25,100.0,100
5142.0,4.0,231.25,100.0,100
5236.0,6.0,233.59,100.0,100
5236.0,6.0,233.59,100.0,100
5322.0,3.0,235.94,100.0,100
5322.0,3.0,235.94,100.0,100
5415.0,5.0,238.28,100.0,100
5415.0,5.0,238.28,100.0,100
5507.0,3.0,240.62,100.0,100
5507.0,3.0,240.62,100.0,100
5611.0,9.0,242.97,100.0,100
5611.0,9.0,242.97,100.0,100
5708.0,3.0,245.31,100.0,100
5708.0,3.0,245.31,100.0,100
5808.0,2.0,247.66,100.0,100
5808.0,2.0,247.66,100.0,100
5907.0,3.0,250.0,100.0,100
5907.0,3.0,250.0,100.0,100
5996.0,6.0,252.34,100.0,100
5996.0,6.0,252.34,100.0,100
6081.0,3.0,254.69,100.0,100
6081.0,3.0,254.69,100.0,100
6182.0,4.0,257.03,100.0,100
6182.0,4.0,257.03,100.0,100
6279.0,3.0,259.38,100.0,100
6279.0,3.0,259.38,100.0,100
6382.0,9.0,261.72,100.0,100
6382.0,9.0,261.72,100.0,100
6481.0,5.0,264.06,100.0,100
6481.0,5.0,264.06,100.0,100
6595.0,5.0,266.41,100.0,100
6595.0,5.0,266.41,100.0,100
6701.0,5.0,268.75,100.0,100
6701.0,5.0,268.75,100.0,100
6792.0,3.0,271.09,100.0,100
6792.0,3.0,271.09,100.0,100
6889.0,14.0,273.44,100.0,100
6889.0,14.0,273.44,100.0,100
6985.0,4.0,275.78,100.0,100
6985.0,4.0,275.78,100.0,100
7097.0,12.0,278.12,100.0,100
7097.0,12.0,278.12,100.0,100
7180.0,7.0,280.47,100.0,100
7180.0,7.0,280.47,100.0,100
7265.0,4.0,282.81,100.0,100
7265.0,4.0,282.81,100.0,100
7366.0,5.0,285.16,100.0,100
7366.0,5.0,285.16,100.0,100
7459.0,4.0,287.5,100.0,100
7459.0,4.0,287.5,100.0,100
7559.0,3.0,289.84,100.0,100
7559.0,3.0,289.84,100.0,100
7648.0,4.0,292.19,100.0,100
7648.0,4.0,292.19,100.0,100
7763.0,4.0,294.53,100.0,100
7763.0,4.0,294.53,100.0,100
7884.0,4.0,296.88,100.0,100
7884.0,4.0,296.88,100.0,100
7980.0,92.0,299.22,100.0,100
7980.0,92.0,299.22,100.0,100
8086.0,8.0,301.56,100.0,100
8086.0,8.0,301.56,100.0,100
8198.0,9.0,303.91,100.0,100
8198.0,9.0,303.91,100.0,100
8302.0,12.0,306.25,100.0,100
8302.0,12.0,306.25,100.0,100
8398.0,4.0,308.59,100.0,100
8398.0,4.0,308.59,100.0,100
8491.0,4.0,310.94,100.0,100
8491.0,4.0,310.94,100.0,100
8583.0,8.0,313.28,100.0,100
8583.0,8.0,313.28,100.0,100
8677.0,5.0,315.62,100.0,100
8677.0,5.0,315.62,100.0,100
8768.0,4.0,317.97,100.0,100
8768.0,4.0,317.97,100.0,100
8865.0,13.0,320.31,100.0,100
8865.0,13.0,320.31,100.0,100
8952.0,5.0,322.66,100.0,100
8952.0,5.0,322.66,100.0,100
9042.0,10.0,325.0,100.0,100
9042.0,10.0,325.0,100.0,100
9132.0,10.0,327.34,100.0,100
9132.0,10.0,327.34,100.0,100
9223.0,9.0,329.69,100.0,100
9223.0,9.0,329.69,100.0,100
9317.0,4.0,332.03,100.0,100
9317.0,4.0,332.03,100.0,100
9407.0,12.0,334.38,100.0,100
9407.0,12.0,334.38,100.0,100
9516.0,11.0,336.72,100.0,100
9516.0,11.0,336.72,100.0,100
9618.0,11.0,339.06,100.0,100
9618.0,11.0,339.06,100.0,100
9766.0,4.0,341.41,100.0,100
9766.0,4.0,341.41,100.0,100
9849.0,4.0,343.75,100.0,100
9849.0,4.0,343.75,100.0,100
