Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,0
65.0,0.0,100,100,0
85.0,19.0,100,100,0
97.0,14.0,100,100,0
151.0,2.0,100,100,0
209.0,3.0,100,100,0
282.0,76.0,100,100,0
285.0,49.0,100,100,0
300.0,10.0,100,100,0
333.0,5.0,100,100,0
398.0,2.0,100,100,0
419.0,4.0,100,100,0
425.0,12.0,100,100,0
441.0,20.0,100,100,0
502.0,5.0,100,100,0
542.0,3.0,100,100,0
550.0,16.0,100,100,0
564.0,3.0,100,100,0
639.0,0.0,100,100,0
660.0,9.0,100,100,0
678.0,11.0,100,100,0
694.0,11.0,100,100,0
707.0,14.0,100,100,0
719.0,10.0,100,100,0
731.0,7.0,100,100,0
741.0,5.0,100,100,0
751.0,5.0,100,100,0
762.0,4.0,100,100,0
772.0,4.0,100,100,0
784.0,4.0,100,100,0
796.0,4.0,100,100,0
808.0,4.0,100,100,0
820.0,4.0,100,100,0
835.0,4.0,100,100,0
850.0,3.0,100,100,0
865.0,3.0,100,100,0
880.0,4.0,100,100,0
897.0,3.0,100,100,0
909.0,4.0,100,100,0
923.0,4.0,100,100,0
934.0,5.0,100,100,0
944.0,5.0,100,100,0
953.0,6.0,100,100,0
961.0,7.0,100,100,0
968.0,7.0,100,100,0
