Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,102.05
0.0,0.0,100,100,100
80.0,0.0,100,100,100
80.0,0.0,100,100,0.05
131.0,25.0,100,100.0,0.05
131.0,25.0,100,100.0,101.65
143.0,44.0,100,100.0,101.65
143.0,44.0,100,100.0,101.25
468.0,0.0,100,100.0,101.25
468.0,0.0,100,100.0,103.65
1842.0,0.0,100,100.0,103.65
1842.0,0.0,100,100.0,106.05
1866.0,4.0,100,100.0,106.05
1866.0,4.0,100,100.0,108.05
1880.0,6.0,100,100.0,108.05
1880.0,6.0,100,100.0,102.45
1914.0,3.0,100,100.0,102.45
1914.0,3.0,100,100.0,104.85
1937.0,3.0,100,100.0,104.85
1937.0,3.0,100,100.0,106.85
1977.0,2.0,100,100.0,106.85
1977.0,2.0,100,100.0,108.85
2022.0,1.0,100,100.0,108.85
2022.0,1.0,100,100.0,111.25
2058.0,2.0,100,100.0,111.25
2058.0,2.0,100,100.0,113.65
2122.0,1.0,100,100.0,113.65
2122.0,1.0,100,100.0,102.85
2174.0,2.0,100,100.0,102.85
2174.0,2.0,100,100.0,104.85
2312.0,130.0,100.0,100.0,104.85
2312.0,130.0,100.0,100.0,104.85
2365.0,52.0,100.0,100.0,104.85
2365.0,52.0,100.0,100.0,100.05
2378.0,21.0,100.0,100.0,100.05
2378.0,21.0,100.0,100.0,100.85
2384.0,57.0,100.0,100.0,100.85
2384.0,57.0,100.0,100.0,100.05
2388.0,40.0,100.0,100.0,100.05
2388.0,40.0,100.0,100.0,100.05
2405.0,15.0,100.0,100.0,100.05
2405.0,15.0,100.0,100.0,101.65
2442.0,5.0,100.0,100.0,101.65
2442.0,5.0,100.0,100.0,103.65
2464.0,9.0,100.0,100.0,103.65
2464.0,9.0,100.0,100.0,102.45
2497.0,6.0,100.0,100.0,102.45
2497.0,6.0,100.0,100.0,104.45
2513.0,28.0,100.0,100.0,104.45
2513.0,28.0,100.0,100.0,104.85
2562.0,8.0,100.0,100.0,104.85
2562.0,8.0,100.0,100.0,106.85
2590.0,12.0,100.0,100.0,106.85
2590.0,12.0,100.0,100.0,108.45
2610.0,9.0,100.0,100.0,108.45
2610.0,9.0,100.0,100.0,110.45
2624.0,15.0,100.0,100.0,110.45
2624.0,15.0,100.0,100.0,102.05
2637.0,28.0,100.0,100.0,102.05
2637.0,28.0,100.0,100.0,102.85
2658.0,61.0,114.06,100.0,102.85
2658.0,61.0,114.06,100.0,102.85
2687.0,39.0,114.06,100.0,102.85
2687.0,39.0,114.06,100.0,88.05
2700.0,16.0,114.06,100.0,88.05
2700.0,16.0,114.06,100.0,89.25
2731.0,6.0,114.06,100.0,89.25
2731.0,6.0,114.06,100.0,91.25
2761.0,6.0,114.06,100.0,91.25
2761.0,6.0,114.06,100.0,102.45
2807.0,33.0,115.62,100.0,102.45
2807.0,33.0,115.62,100.0,102.45
2820.0,65.0,115.62,12.5,102.45
2820.0,65.0,115.62,12.5,99.65
2831.0,12.0,115.62,100.0,99.65
2831.0,12.0,115.62,100.0,101.25
2841.0,24.0,115.62,100.0,101.25
2841.0,24.0,115.62,100.0,102.45
2883.0,92.0,117.19,100.0,102.45
2883.0,92.0,117.19,100.0,102.45
2898.0,88.0,117.19,100.0,102.45
2898.0,88.0,117.19,100.0,98.05
2902.0,46.0,117.19,100.0,98.05
2902.0,46.0,117.19,100.0,97.65
2915.0,11.0,117.19,100.0,97.65
2915.0,11.0,117.19,100.0,99.25
2950.0,35.0,118.75,100.0,99.25
2950.0,35.0,118.75,100.0,99.25
2969.0,68.0,118.75,100.0,99.25
2969.0,68.0,118.75,100.0,84.05
2980.0,21.0,118.75,100.0,84.05
2980.0,21.0,118.75,100.0,85.25
2995.0,11.0,118.75,100.0,85.25
2995.0,11.0,118.75,100.0,102.45
3012.0,44.0,121.88,100.0,102.45
3012.0,44.0,121.88,100.0,102.45
3025.0,94.0,121.88,100.0,102.45
3025.0,94.0,121.88,100.0,97.25
3029.0,44.0,121.88,100.0,97.25
3029.0,44.0,121.88,100.0,97.25
3040.0,13.0,121.88,100.0,97.25
3040.0,13.0,121.88,100.0,98.85
3054.0,12.0,121.88,100.0,98.85
3054.0,12.0,121.88,100.0,100.45
3080.0,7.0,121.88,100.0,100.45
3080.0,7.0,121.88,100.0,102.45
3103.0,10.0,121.88,100.0,102.45
3103.0,10.0,121.88,100.0,104.05
3135.0,45.0,125.0,100.0,104.05
3135.0,45.0,125.0,100.0,104.05
3155.0,70.0,125.0,100.0,104.05
3155.0,70.0,125.0,100.0,88.45
3157.0,67.0,125.0,100.0,88.45
3157.0,67.0,125.0,100.0,87.25
3172.0,11.0,125.0,100.0,87.25
3172.0,11.0,125.0,100.0,88.85
3179.0,32.0,125.0,100.0,88.85
3179.0,32.0,125.0,100.0,101.25
3202.0,86.0,132.81,100.0,101.25
3202.0,86.0,132.81,100.0,101.25
3212.0,66.0,132.81,100.0,101.25
3212.0,66.0,132.81,100.0,90.45
3219.0,28.0,132.81,100.0,90.45
3219.0,28.0,132.81,100.0,90.85
3246.0,7.0,132.81,100.0,90.85
3246.0,7.0,132.81,100.0,92.85
3262.0,10.0,132.81,100.0,92.85
3262.0,10.0,132.81,100.0,94.45
3281.0,25.0,132.81,100.0,94.45
3281.0,25.0,132.81,100.0,101.65
3310.0,86.0,137.5,100.0,101.65
3310.0,86.0,137.5,100.0,101.65
3331.0,61.0,137.5,100.0,101.65
3331.0,61.0,137.5,100.0,90.05
3347.0,18.0,137.5,100.0,90.05
3347.0,18.0,137.5,100.0,91.25
3370.0,6.0,137.5,100.0,91.25
3370.0,6.0,137.5,100.0,93.25
3395.0,8.0,137.5,100.0,93.25
3395.0,8.0,137.5,100.0,94.85
3418.0,8.0,137.5,100.0,94.85
3418.0,8.0,137.5,100.0,102.45
3448.0,5.0,137.5,100.0,102.45
3448.0,5.0,137.5,100.0,104.45
3477.0,79.0,139.06,100.0,104.45
3477.0,79.0,139.06,100.0,104.45
3498.0,57.0,139.06,100.0,104.45
3498.0,57.0,139.06,100.0,80.05
3503.0,63.0,139.06,100.0,80.05
3503.0,63.0,139.06,100.0,78.85
3520.0,17.0,139.06,100.0,78.85
3520.0,17.0,139.06,100.0,80.05
3541.0,16.0,139.06,100.0,80.05
3541.0,16.0,139.06,100.0,102.05
3571.0,12.0,139.06,100.0,102.05
3571.0,12.0,139.06,100.0,103.65
3616.0,102.0,146.88,100.0,103.65
3616.0,102.0,146.88,100.0,103.65
3634.0,76.0,146.88,100.0,103.65
3634.0,76.0,146.88,100.0,77.25
3683.0,4.0,146.88,100.0,77.25
3683.0,4.0,146.88,100.0,79.65
3700.0,44.0,146.88,100.0,79.65
3700.0,44.0,146.88,100.0,79.25
3751.0,6.0,146.88,100.0,79.25
3751.0,6.0,146.88,100.0,102.45
3776.0,20.0,146.88,100.0,102.45
3776.0,20.0,146.88,100.0,103.65
3814.0,7.0,146.88,100.0,103.65
3814.0,7.0,146.88,100.0,105.65
3827.0,73.0,154.69,100.0,105.65
3827.0,73.0,154.69,100.0,105.65
3852.0,26.0,154.69,100.0,105.65
3852.0,26.0,154.69,100.0,78.45
3873.0,9.0,154.69,100.0,78.45
3873.0,9.0,154.69,100.0,80.45
3923.0,6.0,154.69,100.0,80.45
3923.0,6.0,154.69,100.0,102.45
3959.0,8.0,154.69,100.0,102.45
3959.0,8.0,154.69,100.0,104.45
3992.0,14.0,154.69,100.0,104.45
3992.0,14.0,154.69,100.0,106.05
4004.0,80.0,156.25,100.0,106.05
4004.0,80.0,156.25,100.0,106.05
4039.0,20.0,156.25,100.0,106.05
4039.0,20.0,156.25,100.0,75.25
4078.0,4.0,156.25,100.0,75.25
4078.0,4.0,156.25,100.0,77.25
4109.0,10.0,156.25,100.0,77.25
4109.0,10.0,156.25,100.0,102.45
4124.0,15.0,156.25,100.0,102.45
4124.0,15.0,156.25,100.0,103.65
4158.0,8.0,156.25,100.0,103.65
4158.0,8.0,156.25,100.0,105.65
