Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
284.0,32.0,100.0,100.0,100
284.0,32.0,100.0,100.0,100
536.0,119.0,101.56,100.0,100
536.0,119.0,101.56,100.0,100
611.0,83.0,103.12,100.0,100
611.0,83.0,103.12,100.0,100
720.0,54.0,104.69,100.0,100
720.0,54.0,104.69,100.0,100
754.0,75.0,106.25,100.0,100
754.0,75.0,106.25,100.0,100
781.0,43.0,107.81,100.0,100
781.0,43.0,107.81,100.0,100
806.0,42.0,109.38,100.0,100
806.0,42.0,109.38,100.0,100
829.0,42.0,110.94,100.0,100
829.0,42.0,110.94,100.0,100
855.0,38.0,112.5,100.0,100
855.0,38.0,112.5,100.0,100
884.0,0.0,114.06,100.0,100
884.0,0.0,114.06,100.0,100
911.0,38.0,115.62,100.0,100
911.0,38.0,115.62,100.0,100
940.0,57.0,117.19,100.0,100
940.0,57.0,117.19,100.0,100
971.0,75.0,118.75,100.0,100
971.0,75.0,118.75,100.0,100
998.0,44.0,120.31,100.0,100
998.0,44.0,120.31,100.0,100
1022.0,43.0,121.88,100.0,100
1022.0,43.0,121.88,100.0,100
