Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
389.0,33.0,100.0,100.0,100
389.0,33.0,100.0,100.0,100
594.0,28.0,102.34,100.0,100
594.0,28.0,102.34,100.0,100
725.0,21.0,104.69,100.0,100
725.0,21.0,104.69,100.0,100
850.0,21.0,107.03,100.0,100
850.0,21.0,107.03,100.0,100
931.0,19.0,109.38,100.0,100
931.0,19.0,109.38,100.0,100
1010.0,19.0,111.72,100.0,100
1010.0,19.0,111.72,100.0,100
1066.0,21.0,114.06,100.0,100
1066.0,21.0,114.06,100.0,100
1142.0,21.0,116.41,100.0,100
1142.0,21.0,116.41,100.0,100
1217.0,78.0,118.75,100.0,100
1217.0,78.0,118.75,100.0,100
1298.0,21.0,121.09,100.0,100
1298.0,21.0,121.09,100.0,100
1368.0,24.0,123.44,100.0,100
1368.0,24.0,123.44,100.0,100
1458.0,23.0,125.78,100.0,100
1458.0,23.0,125.78,100.0,100
1556.0,27.0,128.12,100.0,100
1556.0,27.0,128.12,100.0,100
1636.0,26.0,130.47,100.0,100
1636.0,26.0,130.47,100.0,100
1742.0,81.0,132.81,100.0,100
1742.0,81.0,132.81,100.0,100
1838.0,73.0,135.16,100.0,100
1838.0,73.0,135.16,100.0,100
1838.0,73.0,135.16,100.0,100
1838.0,73.0,135.16,100.0,100
1938.0,82.0,137.5,100.0,100
1938.0,82.0,137.5,100.0,100
1938.0,82.0,137.5,100.0,100
1938.0,82.0,137.5,100.0,100
2055.0,28.0,139.84,100.0,100
2055.0,28.0,139.84,100.0,100
2055.0,28.0,139.84,100.0,100
2055.0,28.0,139.84,100.0,100
2151.0,29.0,142.19,100.0,100
2151.0,29.0,142.19,100.0,100
