Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,0
1609.0,115.0,100,100,0
2323.0,123.0,100,100,0
2599.0,107.0,100,100,0
5614.0,160.0,100,100,0
5782.0,139.0,100,100,0
5807.0,8.0,100,100,0
5944.0,163.0,100,100,0
6029.0,158.0,100,100,0
6096.0,154.0,100,100,0
6138.0,173.0,100,100,0
6165.0,164.0,100,100,0
6185.0,164.0,100,100,0
6225.0,183.0,100,100,0
6239.0,232.0,100,100,0
6310.0,203.0,100,100,0
6342.0,210.0,100,100,0
6359.0,217.0,100,100,0
6385.0,218.0,100,100,0
6458.0,137.0,100,100,0
6486.0,230.0,100,100,0
6507.0,217.0,100,100,0
6587.0,15.0,100,100,0
6748.0,219.0,100,100,0
6865.0,190.0,100,100,0
6977.0,224.0,100,100,0
7090.0,211.0,100,100,0
7191.0,200.0,100,100,0
7282.0,195.0,100,100,0
7365.0,212.0,100,100,0
7548.0,224.0,100,100,0
