Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
444.0,34.0,100.0,100.0,100
444.0,34.0,100.0,100.0,100
653.0,28.0,102.34,100.0,100
653.0,28.0,102.34,100.0,100
794.0,0.0,104.69,100.0,100
794.0,0.0,104.69,100.0,100
926.0,23.0,107.03,12.5,100
926.0,23.0,107.03,12.5,100
994.0,27.0,109.38,100.0,100
994.0,27.0,109.38,100.0,100
1099.0,25.0,111.72,100.0,100
1099.0,25.0,111.72,100.0,100
1146.0,100.0,114.06,100.0,100
1146.0,100.0,114.06,100.0,100
1236.0,75.0,116.41,100.0,100
1236.0,75.0,116.41,100.0,100
1309.0,77.0,118.75,100.0,100
1309.0,77.0,118.75,100.0,100
1403.0,65.0,121.09,100.0,100
1403.0,65.0,121.09,100.0,100
1478.0,77.0,123.44,100.0,100
1478.0,77.0,123.44,100.0,100
1573.0,73.0,125.78,100.0,100
1573.0,73.0,125.78,100.0,100
1650.0,29.0,128.12,100.0,100
1650.0,29.0,128.12,100.0,100
1752.0,77.0,130.47,100.0,100
1752.0,77.0,130.47,100.0,100
1854.0,89.0,132.81,100.0,100
1854.0,89.0,132.81,100.0,100
1942.0,28.0,135.16,100.0,100
1942.0,28.0,135.16,100.0,100
2039.0,72.0,137.5,100.0,100
2039.0,72.0,137.5,100.0,100
2147.0,77.0,139.84,100.0,100
2147.0,77.0,139.84,100.0,100
2257.0,73.0,142.19,100.0,100
2257.0,73.0,142.19,100.0,100
2367.0,40.0,144.53,100.0,100
2367.0,40.0,144.53,100.0,100
