Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,0
440.0,90.0,100,100,0
636.0,6.0,100,100,0
751.0,112.0,100,100,0
863.0,133.0,100,100,0
925.0,139.0,100,100,0
978.0,147.0,100,100,0
1017.0,140.0,100,100,0
1062.0,149.0,100,100,0
1110.0,144.0,100,100,0
1167.0,145.0,100,100,0
1201.0,145.0,100,100,0
1232.0,143.0,100,100,0
1286.0,134.0,100,100,0
1330.0,144.0,100,100,0
1365.0,155.0,100,100,0
1421.0,162.0,100,100,0
1454.0,160.0,100,100,0
1499.0,145.0,100,100,0
1564.0,156.0,100,100,0
1616.0,154.0,100,100,0
1664.0,143.0,100,100,0
1728.0,152.0,100,100,0
1767.0,163.0,100,100,0
1826.0,156.0,100,100,0
1870.0,151.0,100,100,0
1920.0,152.0,100,100,0
1975.0,141.0,100,100,0
2033.0,152.0,100,100,0
2067.0,154.0,100,100,0
2121.0,149.0,100,100,0
2161.0,153.0,100,100,0
2207.0,126.0,100,100,0
