Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,0
1535.0,67.0,100,100,0
2266.0,47.0,100,100,0
2521.0,75.0,100,100,0
5448.0,74.0,100,100,0
5602.0,81.0,100,100,0
5618.0,3.0,100,100,0
5745.0,95.0,100,100,0
5834.0,166.0,100,100,0
5903.0,158.0,100,100,0
5945.0,168.0,100,100,0
5972.0,161.0,100,100,0
5990.0,165.0,100,100,0
6030.0,158.0,100,100,0
6055.0,195.0,100,100,0
6107.0,208.0,100,100,0
6135.0,223.0,100,100,0
6155.0,247.0,100,100,0
6190.0,15.0,100,100,0
6251.0,160.0,100,100,0
6272.0,179.0,100,100,0
6295.0,227.0,100,100,0
6339.0,243.0,100,100,0
6386.0,8.0,100,100,0
6504.0,220.0,100,100,0
6549.0,38.0,100,100,0
6572.0,37.0,100,100,0
6593.0,37.0,100,100,0
6613.0,35.0,100,100,0
6633.0,215.0,100,100,0
6655.0,172.0,100,100,0
7536.0,173.0,100,100,0
0.0,0.0,100,100,0
1539.0,68.0,100,100,0
2249.0,51.0,100,100,0
2495.0,71.0,100,100,0
5358.0,88.0,100,100,0
5496.0,90.0,100,100,0
5522.0,2.0,100,100,0
5656.0,135.0,100,100,0
5750.0,175.0,100,100,0
5822.0,173.0,100,100,0
5865.0,166.0,100,100,0
5892.0,178.0,100,100,0
5912.0,169.0,100,100,0
5955.0,178.0,100,100,0
6022.0,167.0,100,100,0
6054.0,170.0,100,100,0
6074.0,170.0,100,100,0
6079.0,7.0,100,100,0
6136.0,17.0,100,100,0
6197.0,73.0,100,100,0
6237.0,96.0,100,100,0
6304.0,6.0,100,100,0
6487.0,34.0,100,100,0
6523.0,35.0,100,100,0
6556.0,29.0,100,100,0
6556.0,29.0,100,100,0
6586.0,29.0,100,100,0
0.0,0.0,100,100,0
1601.0,71.0,100,100,0
2322.0,59.0,100,100,0
2558.0,58.0,100,100,0
5544.0,89.0,100,100,0
5711.0,69.0,100,100,0
5738.0,2.0,100,100,0
5870.0,91.0,100,100,0
5962.0,90.0,100,100,0
6029.0,85.0,100,100,0
6072.0,92.0,100,100,0
6101.0,92.0,100,100,0
6123.0,10.0,100,100,0
6187.0,103.0,100,100,0
6246.0,165.0,100,100,0
6279.0,149.0,100,100,0
6315.0,161.0,100,100,0
6327.0,17.0,100,100,0
6405.0,157.0,100,100,0
6441.0,171.0,100,100,0
6516.0,5.0,100,100,0
6674.0,104.0,100,100,0
6799.0,27.0,100,100,0
6924.0,46.0,100,100,0
7005.0,35.0,100,100,0
7005.0,35.0,100,100,0
7031.0,39.0,100,100,0
7031.0,39.0,100,100,0
7099.0,18.0,100,100,0
0.0,0.0,100,100,0
1524.0,69.0,100,100,0
2281.0,101.0,100,100,0
2514.0,79.0,100,100,0
5456.0,160.0,100,100,0
5607.0,135.0,100,100,0
5629.0,4.0,100,100,0
5753.0,157.0,100,100,0
5851.0,167.0,100,100,0
5916.0,166.0,100,100,0
5955.0,170.0,100,100,0
5980.0,167.0,100,100,0
5997.0,171.0,100,100,0
6037.0,170.0,100,100,0
6052.0,168.0,100,100,0
6107.0,4.0,100,100,0
6111.0,174.0,100,100,0
6144.0,158.0,100,100,0
6162.0,161.0,100,100,0
6189.0,13.0,100,100,0
6260.0,132.0,100,100,0
6293.0,170.0,100,100,0
6323.0,158.0,100,100,0
6408.0,6.0,100,100,0
6578.0,26.0,100,100,0
6694.0,27.0,100,100,0
6805.0,26.0,100,100,0
6832.0,23.0,100,100,0
6855.0,33.0,100,100,0
6877.0,58.0,100,100,0
6904.0,26.0,100,100,0
0.0,0.0,100,100,0
1543.0,69.0,100,100,0
2277.0,45.0,100,100,0
2509.0,77.0,100,100,0
5572.0,85.0,100,100,0
5748.0,73.0,100,100,0
5778.0,3.0,100,100,0
5943.0,89.0,100,100,0
6036.0,119.0,100,100,0
6102.0,166.0,100,100,0
6149.0,161.0,100,100,0
6174.0,168.0,100,100,0
6192.0,169.0,100,100,0
6232.0,155.0,100,100,0
6290.0,161.0,100,100,0
6321.0,168.0,100,100,0
6340.0,167.0,100,100,0
6344.0,6.0,100,100,0
6408.0,16.0,100,100,0
6479.0,67.0,100,100,0
6528.0,76.0,100,100,0
6602.0,6.0,100,100,0
6802.0,100.0,100,100,0
6966.0,35.0,100,100,0
7122.0,102.0,100,100,0
7122.0,102.0,100,100,0
7269.0,31.0,100,100,0
0.0,0.0,100,100,0
1544.0,57.0,100,100,0
2280.0,46.0,100,100,0
2518.0,72.0,100,100,0
5571.0,86.0,100,100,0
5742.0,89.0,100,100,0
5770.0,3.0,100,100,0
5905.0,90.0,100,100,0
5996.0,90.0,100,100,0
6060.0,89.0,100,100,0
6099.0,94.0,100,100,0
6127.0,172.0,100,100,0
6144.0,161.0,100,100,0
6184.0,168.0,100,100,0
6203.0,17.0,100,100,0
6266.0,161.0,100,100,0
6301.0,171.0,100,100,0
6339.0,163.0,100,100,0
6391.0,136.0,100,100,0
6427.0,169.0,100,100,0
6454.0,160.0,100,100,0
6530.0,142.0,100,100,0
6541.0,5.0,100,100,0
6683.0,24.0,100,100,0
6780.0,23.0,100,100,0
6799.0,29.0,100,100,0
6818.0,29.0,100,100,0
6837.0,22.0,100,100,0
6860.0,161.0,100,100,0
7814.0,15.0,100,100,0
0.0,0.0,100,100,0
1618.0,76.0,100,100,0
2315.0,48.0,100,100,0
2564.0,76.0,100,100,0
5524.0,86.0,100,100,0
5677.0,69.0,100,100,0
5709.0,2.0,100,100,0
5863.0,88.0,100,100,0
5965.0,91.0,100,100,0
6030.0,89.0,100,100,0
6073.0,91.0,100,100,0
6102.0,8.0,100,100,0
6169.0,89.0,100,100,0
6245.0,102.0,100,100,0
6279.0,173.0,100,100,0
6311.0,171.0,100,100,0
6360.0,123.0,100,100,0
6395.0,168.0,100,100,0
6422.0,169.0,100,100,0
6507.0,8.0,100,100,0
6640.0,106.0,100,100,0
6752.0,75.0,100,100,0
6776.0,23.0,100,100,0
6800.0,109.0,100,100,0
6825.0,24.0,100,100,0
6825.0,24.0,100,100,0
6854.0,31.0,100,100,0
0.0,0.0,100,100,0
1583.0,62.0,100,100,0
2304.0,52.0,100,100,0
2535.0,84.0,100,100,0
5495.0,75.0,100,100,0
5660.0,70.0,100,100,0
5688.0,2.0,100,100,0
5837.0,91.0,100,100,0
5937.0,92.0,100,100,0
6004.0,91.0,100,100,0
6053.0,92.0,100,100,0
6083.0,12.0,100,100,0
6145.0,57.0,100,100,0
6216.0,89.0,100,100,0
6254.0,91.0,100,100,0
6296.0,90.0,100,100,0
6345.0,14.0,100,100,0
6389.0,81.0,100,100,0
6492.0,92.0,100,100,0
6505.0,8.0,100,100,0
6673.0,103.0,100,100,0
6708.0,30.0,100,100,0
6739.0,26.0,100,100,0
6767.0,27.0,100,100,0
6794.0,112.0,100,100,0
0.0,0.0,100,100,0
1559.0,74.0,100,100,0
2282.0,71.0,100,100,0
2528.0,82.0,100,100,0
5412.0,161.0,100,100,0
5575.0,128.0,100,100,0
5591.0,5.0,100,100,0
5723.0,168.0,100,100,0
5814.0,161.0,100,100,0
5886.0,167.0,100,100,0
5932.0,173.0,100,100,0
5958.0,165.0,100,100,0
5976.0,168.0,100,100,0
6018.0,162.0,100,100,0
6036.0,171.0,100,100,0
6087.0,174.0,100,100,0
6114.0,159.0,100,100,0
6128.0,171.0,100,100,0
6154.0,9.0,100,100,0
6225.0,127.0,100,100,0
6259.0,168.0,100,100,0
6283.0,155.0,100,100,0
6370.0,5.0,100,100,0
6503.0,26.0,100,100,0
6616.0,25.0,100,100,0
6732.0,20.0,100,100,0
6732.0,20.0,100,100,0
6849.0,20.0,100,100,0
6849.0,20.0,100,100,0
6899.0,23.0,100,100,0
6899.0,23.0,100,100,0
6924.0,20.0,100,100,0
6924.0,20.0,100,100,0
7862.0,167.0,100,100,0
0.0,0.0,100,100,0
1540.0,70.0,100,100,0
2272.0,48.0,100,100,0
2499.0,80.0,100,100,0
5478.0,84.0,100,100,0
5722.0,80.0,100,100,0
5739.0,3.0,100,100,0
5873.0,91.0,100,100,0
5969.0,91.0,100,100,0
6043.0,92.0,100,100,0
6093.0,93.0,100,100,0
6129.0,93.0,100,100,0
6141.0,11.0,100,100,0
6216.0,60.0,100,100,0
6289.0,97.0,100,100,0
