Run,Time,JVM
1,479,JDK1-1-3
2,461,JDK1-1-3
3,522,JDK1-1-3
4,479,JDK1-1-3
5,463,JDK1-1-3
6,467,JDK1-1-3
7,530,JDK1-1-3
8,524,JDK1-1-3
9,494,JDK1-1-3
10,583,JDK1-1-3
11,441,JDK1-1-3
12,469,JDK1-1-3
13,474,JDK1-1-3
14,666,JDK1-1-3
15,560,JDK1-1-3
16,477,JDK1-1-3
1,430,JDK5-6-7
2,394,JDK5-6-7
3,411,JDK5-6-7
4,445,JDK5-6-7
5,458,JDK5-6-7
6,433,JDK5-6-7
7,408,JDK5-6-7
8,428,JDK5-6-7
9,427,JDK5-6-7
10,448,JDK5-6-7
11,387,JDK5-6-7
12,576,JDK5-6-7
13,381,JDK5-6-7
14,443,JDK5-6-7
15,413,JDK5-6-7
16,413,JDK5-6-7
1,507,JDK5-4-4
2,406,JDK5-4-4
3,413,JDK5-4-4
4,414,JDK5-4-4
5,422,JDK5-4-4
6,407,JDK5-4-4
7,420,JDK5-4-4
8,450,JDK5-4-4
9,419,JDK5-4-4
10,458,JDK5-4-4
11,524,JDK5-4-4
12,430,JDK5-4-4
13,420,JDK5-4-4
14,409,JDK5-4-4
15,414,JDK5-4-4
16,464,JDK5-4-4
1,475,JDK8-9-9
2,437,JDK8-9-9
3,440,JDK8-9-9
4,483,JDK8-9-9
5,430,JDK8-9-9
6,450,JDK8-9-9
7,460,JDK8-9-9
8,437,JDK8-9-9
9,461,JDK8-9-9
10,473,JDK8-9-9
11,457,JDK8-9-9
12,470,JDK8-9-9
13,444,JDK8-9-9
14,445,JDK8-9-9
15,428,JDK8-9-9
16,437,JDK8-9-9
1,476,JDK3-2-1
2,445,JDK3-2-1
3,435,JDK3-2-1
4,418,JDK3-2-1
5,438,JDK3-2-1
6,436,JDK3-2-1
7,440,JDK3-2-1
8,399,JDK3-2-1
9,399,JDK3-2-1
10,437,JDK3-2-1
11,412,JDK3-2-1
12,434,JDK3-2-1
13,435,JDK3-2-1
14,404,JDK3-2-1
15,412,JDK3-2-1
16,407,JDK3-2-1
1,450,JDK2-3-2
2,421,JDK2-3-2
3,434,JDK2-3-2
4,413,JDK2-3-2
5,411,JDK2-3-2
6,406,JDK2-3-2
7,402,JDK2-3-2
8,447,JDK2-3-2
9,421,JDK2-3-2
10,420,JDK2-3-2
11,385,JDK2-3-2
12,422,JDK2-3-2
13,411,JDK2-3-2
14,412,JDK2-3-2
15,430,JDK2-3-2
16,434,JDK2-3-2
1,463,JDK3-2-3
2,542,JDK3-2-3
3,412,JDK3-2-3
4,395,JDK3-2-3
5,386,JDK3-2-3
6,417,JDK3-2-3
7,443,JDK3-2-3
8,454,JDK3-2-3
9,486,JDK3-2-3
10,410,JDK3-2-3
11,473,JDK3-2-3
12,402,JDK3-2-3
13,385,JDK3-2-3
14,435,JDK3-2-3
15,400,JDK3-2-3
16,422,JDK3-2-3
1,370,JDK2-2-1
2,397,JDK2-2-1
3,413,JDK2-2-1
4,476,JDK2-2-1
5,420,JDK2-2-1
6,430,JDK2-2-1
7,531,JDK2-2-1
8,505,JDK2-2-1
9,558,JDK2-2-1
10,395,JDK2-2-1
11,421,JDK2-2-1
12,409,JDK2-2-1
13,373,JDK2-2-1
14,395,JDK2-2-1
15,398,JDK2-2-1
16,399,JDK2-2-1
1,595,JDK2-2-2
2,495,JDK2-2-2
3,474,JDK2-2-2
4,546,JDK2-2-2
5,522,JDK2-2-2
6,471,JDK2-2-2
7,641,JDK2-2-2
8,614,JDK2-2-2
9,609,JDK2-2-2
10,508,JDK2-2-2
11,501,JDK2-2-2
12,471,JDK2-2-2
13,520,JDK2-2-2
14,530,JDK2-2-2
15,607,JDK2-2-2
16,508,JDK2-2-2
1,391,JDKE
2,401,JDKE
3,458,JDKE
4,520,JDKE
5,560,JDKE
6,403,JDKE
7,420,JDKE
8,414,JDKE
9,441,JDKE
10,407,JDKE
11,397,JDKE
12,380,JDKE
13,391,JDKE
14,423,JDKE
15,407,JDKE
16,393,JDKE
1,349,JDKF
2,338,JDKF
3,381,JDKF
4,349,JDKF
5,425,JDKF
6,379,JDKF
7,358,JDKF
8,411,JDKF
9,378,JDKF
10,363,JDKF
11,355,JDKF
12,356,JDKF
13,368,JDKF
14,370,JDKF
15,416,JDKF
16,348,JDKF
