Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,0
0,0,100,100,100
12017.0,48.0,100,100.0,100
12030.0,20.0,100,100.0,100
12039.0,102.0,100,100.0,100
12044.0,0.0,100,100.0,100
12048.0,119.0,100,25.0,100
12055.0,119.0,100,100.0,100
12055.0,119.0,100,100.0,100
12062.0,95.0,100,100.0,100
12970.0,29.0,100,25.0,100
13150.0,96.0,100,100.0,100
13260.0,99.0,100,100.0,100
13320.0,91.0,100,100.0,100
13351.0,135.0,100,100.0,100
13389.0,123.0,100,100.0,100
13476.0,104.0,100,100.0,100
13573.0,23.0,100,100.0,100
13637.0,25.0,100,25.0,100
13692.0,21.0,100,25.0,100
13735.0,28.0,100,100.0,100
13758.0,0.0,100,100.0,100
13785.0,0.0,100,100.0,100
13836.0,133.0,100,100.0,100
13883.0,180.0,100,100.0,100
13932.0,101.0,100,100.0,100
13997.0,102.0,100,100.0,100
14080.0,118.0,100,100.0,100
14128.0,147.0,100,100.0,100
14155.0,76.0,100,25.0,100
14214.0,74.0,100,25.0,100
14303.0,68.0,100,25.0,100
14384.0,73.0,100,25.0,100
14538.0,65.0,100,25.0,100
