Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
449.0,39.0,100,100.0,100
705.0,20.0,100,25.0,100
758.0,133.0,100,100.0,100
803.0,138.0,100,25.0,100
836.0,29.0,100,25.0,100
864.0,32.0,100,100.0,100
888.0,33.0,100,100.0,100
903.0,65.0,100,100.0,100
922.0,0.0,100,100.0,100
941.0,0.0,100,100.0,100
958.0,57.0,100,25.0,100
981.0,73.0,100,25.0,100
999.0,57.0,100,100.0,100
1015.0,50.0,100,25.0,100
1032.0,60.0,100,100.0,100
1045.0,50.0,100,25.0,100
1060.0,76.0,100,100.0,100
1074.0,42.0,100,25.0,100
1089.0,0.0,100,100.0,100
1105.0,50.0,100,25.0,100
1121.0,59.0,100,25.0,100
1139.0,55.0,100,25.0,100
1158.0,54.0,100,25.0,100
1178.0,57.0,100,100.0,100
1196.0,51.0,100,25.0,100
1216.0,55.0,100,25.0,100
1238.0,60.0,100,25.0,100
1258.0,69.0,100,100.0,100
1279.0,45.0,100,100.0,100
1304.0,46.0,100,100.0,100
1331.0,53.0,100,100.0,100
1365.0,43.0,100,100.0,100
1396.0,38.0,100,100.0,100
1429.0,45.0,100,25.0,100
1463.0,62.0,100,25.0,100
1494.0,56.0,100,25.0,100
1524.0,59.0,100,100.0,100
1557.0,45.0,100,25.0,100
1585.0,49.0,100,25.0,100
1610.0,58.0,100,100.0,100
1635.0,48.0,100,25.0,100
1660.0,58.0,100,25.0,100
1683.0,51.0,100,25.0,100
1706.0,72.0,100,25.0,100
1736.0,62.0,100,100.0,100
1763.0,55.0,100,25.0,100
1790.0,62.0,100,25.0,100
1817.0,67.0,100,25.0,100
1847.0,61.0,100,100.0,100
1874.0,51.0,100,25.0,100
1906.0,61.0,100,25.0,100
1954.0,61.0,100,25.0,100
1993.0,61.0,100,25.0,100
2033.0,68.0,100,25.0,100
2073.0,63.0,100,25.0,100
2119.0,52.0,100,25.0,100
2165.0,59.0,100,25.0,100
2203.0,63.0,100,25.0,100
2241.0,55.0,100,25.0,100
2280.0,55.0,100,25.0,100
2318.0,59.0,100,100.0,100
2350.0,0.0,100,100.0,100
2383.0,56.0,100,100.0,100
2416.0,61.0,100,25.0,100
2452.0,57.0,100,100.0,100
2487.0,52.0,100,100.0,100
2515.0,57.0,100,25.0,100
2546.0,54.0,100,100.0,100
2575.0,53.0,100,25.0,100
2609.0,64.0,100,25.0,100
2643.0,60.0,100,100.0,100
2674.0,52.0,100,25.0,100
2705.0,66.0,100,25.0,100
2736.0,61.0,100,25.0,100
2773.0,59.0,100,25.0,100
