Time,GC Util,heapSize,numThreads,GCInterval
3243.0,0.0,100,100,100
0.0,45.0,100,100,100
506.0,21.0,100,100,100
1016.0,77.0,100,100,100
1072.0,76.0,100,100,100
1103.0,23.0,100,100,100
1148.0,25.0,100,100,100
1173.0,22.0,100,100,100
1200.0,53.0,100,100,100
1217.0,40.0,100,100,100
1237.0,47.0,100,100,100
1260.0,54.0,100,100,100
1278.0,54.0,100,100,100
1304.0,53.0,100,100,100
1326.0,47.0,100,100,100
1348.0,51.0,100,100,100
1372.0,52.0,100,100,100
1394.0,57.0,100,100,100
1427.0,55.0,100,100,100
1451.0,53.0,100,100,100
1473.0,63.0,100,100,100
1494.0,60.0,100,100,100
1517.0,52.0,100,100,100
1540.0,52.0,100,100,100
1566.0,65.0,100,100,100
1593.0,55.0,100,100,100
1618.0,47.0,100,100,100
1650.0,51.0,100,100,100
1679.0,53.0,100,100,100
1707.0,49.0,100,100,100
1741.0,52.0,100,100,100
1773.0,51.0,100,100,100
1804.0,52.0,100,100,100
1838.0,45.0,100,100,100
1870.0,57.0,100,100,100
1938.0,62.0,100,100,100
2012.0,57.0,100,100,100
2052.0,61.0,100,100,100
2076.0,52.0,100,100,100
2100.0,61.0,100,100,100
2130.0,60.0,100,100,100
2155.0,62.0,100,100,100
2180.0,69.0,100,100,100
2205.0,60.0,100,100,100
2228.0,48.0,100,100,100
2250.0,56.0,100,100,100
2274.0,128.0,100,100,100
2289.0,56.0,100,100,100
2302.0,55.0,100,100,100
2324.0,24.0,100,100,100
2348.0,25.0,100,100,100
2371.0,30.0,100,100,100
2392.0,31.0,100,100,100
2412.0,23.0,100,100,100
2431.0,29.0,100,100,100
2447.0,27.0,100,100,100
2462.0,27.0,100,100,100
2476.0,29.0,100,100,100
2493.0,69.0,100,100,100
2506.0,82.0,100,100,100
2515.0,61.0,100,100,100
2522.0,72.0,100,100,100
2537.0,38.0,100,100,100
2552.0,78.0,100,100,100
2570.0,88.0,100,100,100
2579.0,55.0,100,100,100
2588.0,62.0,100,100,100
2604.0,37.0,100,100,100
2621.0,69.0,100,100,100
2639.0,97.0,100,100,100
2648.0,50.0,100,100,100
2657.0,73.0,100,100,100
2674.0,70.0,100,100,100
2693.0,92.0,100,100,100
2703.0,57.0,100,100,100
2712.0,71.0,100,100,100
2730.0,36.0,100,100,100
2749.0,40.0,100,100,100
2765.0,37.0,100,100,100
2781.0,39.0,100,100,100
2796.0,39.0,100,100,100
2810.0,35.0,100,100,100
2823.0,44.0,100,100,100
2837.0,124.0,100,100,100
2845.0,57.0,100,100,100
2852.0,47.0,100,100,100
2868.0,101.0,100,100,100
2878.0,39.0,100,100,100
2885.0,46.0,100,100,100
2900.0,80.0,100,100,100
2908.0,58.0,100,100,100
2914.0,71.0,100,100,100
2929.0,116.0,100,100,100
2937.0,61.0,100,100,100
2943.0,74.0,100,100,100
2959.0,75.0,100,100,100
2966.0,69.0,100,100,100
2973.0,77.0,100,100,100
2987.0,38.0,100,100,100
2998.0,58.0,100,100,100
3018.0,87.0,100,100,100
3026.0,55.0,100,100,100
3033.0,79.0,100,100,100
3048.0,70.0,100,100,100
3060.0,143.0,100,100,100
3067.0,53.0,100,100,100
3074.0,62.0,100,100,100
3086.0,65.0,100,100,100
3098.0,65.0,100,100,100
3111.0,60.0,100,100,100
3124.0,63.0,100,100,100
3142.0,64.0,100,100,100
3161.0,62.0,100,100,100
3180.0,71.0,100,100,100
3200.0,72.0,100,100,100
3220.0,70.0,100,100,100
3240.0,67.0,100,100,100
3258.0,65.0,100,100,100
3277.0,34.0,100,100,100
3294.0,66.0,100,100,100
3311.0,62.0,100,100,100
3331.0,70.0,100,100,100
3349.0,72.0,100,100,100
3364.0,75.0,100,100,100
3379.0,61.0,100,100,100
3394.0,59.0,100,100,100
3408.0,78.0,100,100,100
3423.0,76.0,100,100,100
3438.0,75.0,100,100,100
3453.0,75.0,100,100,100
3467.0,61.0,100,100,100
3483.0,70.0,100,100,100
