Time,GC Util,heapSize,numThreads,GCInterval
9876.0,0.0,100,100,100
0.0,26.0,100,100,100
1351.0,14.0,100,100,100
1557.0,14.0,100,100,100
1792.0,22.0,100,100,100
1913.0,85.0,100,100,100
1968.0,24.0,100,100,100
2022.0,23.0,100,100,100
2089.0,23.0,100,100,100
2167.0,44.0,100,100,100
2200.0,23.0,100,100,100
2232.0,23.0,100,100,100
2320.0,25.0,100,100,100
2415.0,26.0,100,100,100
2532.0,24.0,100,100,100
2632.0,43.0,100,100,100
2727.0,73.0,100,100,100
2806.0,53.0,100,100,100
2870.0,25.0,100,100,100
3009.0,25.0,100,100,100
3102.0,22.0,100,100,100
3212.0,23.0,100,100,100
3308.0,28.0,100,100,100
3434.0,25.0,100,100,100
3554.0,23.0,100,100,100
3672.0,24.0,100,100,100
3798.0,24.0,100,100,100
3948.0,23.0,100,100,100
4067.0,21.0,100,100,100
4191.0,24.0,100,100,100
4311.0,26.0,100,100,100
4451.0,26.0,100,100,100
4614.0,21.0,100,100,100
4764.0,26.0,100,100,100
4908.0,18.0,100,100,100
5060.0,22.0,100,100,100
5187.0,26.0,100,100,100
5310.0,22.0,100,100,100
5438.0,26.0,100,100,100
5567.0,24.0,100,100,100
5680.0,26.0,100,100,100
5794.0,28.0,100,100,100
5939.0,26.0,100,100,100
6058.0,26.0,100,100,100
6173.0,27.0,100,100,100
6303.0,23.0,100,100,100
6443.0,25.0,100,100,100
6588.0,25.0,100,100,100
6732.0,24.0,100,100,100
6892.0,22.0,100,100,100
7036.0,27.0,100,100,100
7178.0,24.0,100,100,100
7333.0,25.0,100,100,100
7492.0,27.0,100,100,100
7659.0,25.0,100,100,100
7815.0,23.0,100,100,100
7971.0,21.0,100,100,100
8118.0,25.0,100,100,100
8280.0,23.0,100,100,100
8434.0,24.0,100,100,100
8597.0,28.0,100,100,100
8763.0,21.0,100,100,100
8929.0,27.0,100,100,100
9092.0,23.0,100,100,100
9268.0,22.0,100,100,100
9455.0,26.0,100,100,100
