Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
77.0,0.0,100,100,100
239.0,6.0,100,100.0,0.05
272.0,79.0,100,100.0,10.0
658.0,0.0,100,100.0,10.0
3900.0,0.0,100,100.0,10.0
6603.0,0.0,100,100.0,10.0
11336.0,0.0,100,100.0,10.0
16878.0,0.0,100,100.0,10.0
17015.0,7.0,100,100.0,10.0
17017.0,60.0,100,100.0,10.0
17018.0,54.0,100,100.0,10.0
17020.0,57.0,100,100.0,10.0
17021.0,66.0,100,100.0,10.0
17022.0,35.0,100,100.0,10.0
17023.0,32.0,100,100.0,10.0
17024.0,48.0,100,100.0,10.0
17025.0,40.0,100,100.0,10.0
17026.0,36.0,100,100.0,10.0
17027.0,40.0,100,100.0,10.0
17028.0,42.0,100,100.0,10.0
17029.0,48.0,100,100.0,10.0
17030.0,35.0,100,100.0,10.0
17031.0,39.0,100,100.0,10.0
17032.0,43.0,100,100.0,10.0
17033.0,34.0,100,100.0,10.0
17041.0,24.0,100.0,100.0,10.0
17363.0,1.0,100.0,100.0,10.0
17406.0,1.0,100.0,100.0,10.0
17481.0,1.0,100.0,100.0,10.0
17525.0,2.0,100.0,100.0,10.0
17895.0,0.0,100.0,100.0,10.0
17909.0,11.0,100.0,100.0,10.0
17929.0,5.0,100.0,100.0,10.0
17937.0,17.0,100.0,100.0,10.0
17960.0,23.0,100.0,100.0,10.0
17980.0,12.0,100.0,100.0,10.0
17996.0,12.0,100.0,100.0,10.0
18019.0,12.0,100.0,100.0,10.0
18027.0,44.0,100.0,100.0,10.0
18043.0,30.0,100.0,100.0,10.4
18083.0,11.0,100.0,100.0,10.0
18149.0,5.0,100.0,100.0,10.0
18178.0,9.0,100.0,100.0,10.0
18201.0,19.0,100.0,100.0,10.0
18227.0,17.0,100.0,100.0,10.0
18249.0,28.0,100.0,100.0,10.0
18267.0,22.0,100.0,100.0,10.0
18302.0,9.0,100.0,100.0,10.0
18372.0,2.0,100.0,100.0,10.0
18421.0,10.0,100.0,100.0,10.0
18468.0,9.0,100.0,100.0,10.0
18507.0,11.0,100.0,100.0,10.0
18534.0,13.0,100.0,100.0,10.0
18558.0,15.0,100.0,100.0,10.0
18600.0,6.0,100.0,100.0,10.0
18627.0,20.0,125.0,25.0,10.0
18652.0,87.0,125.0,100.0,10.0
18675.0,16.0,125.0,100.0,85.6
18698.0,6.0,125.0,100.0,10.0
18721.0,6.0,125.0,100.0,10.0
18742.0,6.0,125.0,100.0,10.0
18760.0,21.0,125.0,100.0,10.0
18775.0,9.0,125.0,100.0,10.0
18792.0,29.0,125.0,100.0,10.0
18815.0,17.0,125.0,100.0,10.0
18837.0,21.0,125.0,100.0,10.0
18855.0,31.0,125.0,100.0,10.0
18876.0,13.0,125.0,100.0,10.4
18891.0,25.0,125.0,100.0,10.0
18916.0,83.0,149.22,100.0,10.0
18927.0,106.0,149.22,100.0,10.0
18937.0,67.0,149.22,100.0,49.6
18952.0,29.0,149.22,100.0,24.8
18997.0,64.0,155.47,100.0,10.0
19007.0,418.0,155.47,100.0,10.0
19007.0,418.0,155.47,100.0,200.0
19043.0,86.0,152.34,100.0,200.0
19054.0,384.0,152.34,100.0,200.0
19088.0,96.0,143.75,100.0,200.0
19097.0,544.0,143.75,100.0,200.0
19130.0,103.0,143.75,100.0,200.0
19139.0,599.0,143.75,100.0,200.0
19175.0,124.0,143.75,100.0,200.0
19181.0,103.0,143.75,100.0,200.0
19214.0,86.0,143.75,100.0,26.8
19218.0,1096.0,143.75,100.0,26.8
19256.0,0.0,143.75,100.0,200.0
19259.0,2132.0,143.75,100.0,200.0
19273.0,75.0,143.75,100.0,200.0
19289.0,28.0,143.75,100.0,32.8
19310.0,18.0,143.75,100.0,10.0
19331.0,26.0,143.75,100.0,10.0
19350.0,22.0,143.75,100.0,10.0
19367.0,37.0,143.75,100.0,10.0
19389.0,18.0,143.75,100.0,15.2
19408.0,30.0,143.75,100.0,10.0
19442.0,17.0,143.75,100.0,10.0
19469.0,25.0,143.75,100.0,10.0
19486.0,31.0,143.75,100.0,10.0
19505.0,21.0,143.75,100.0,10.0
19519.0,34.0,143.75,100.0,10.0
19545.0,20.0,143.75,25.0,10.4
19564.0,20.0,143.75,25.0,10.0
19602.0,11.0,143.75,100.0,10.0
19634.0,17.0,143.75,100.0,10.0
19654.0,16.0,143.75,100.0,10.0
19683.0,6.0,143.75,100.0,10.0
19697.0,13.0,143.75,100.0,10.0
19712.0,12.0,143.75,100.0,10.0
19722.0,39.0,143.75,100.0,10.0
19733.0,34.0,143.75,100.0,10.4
19746.0,37.0,143.75,100.0,10.0
19756.0,54.0,143.75,100.0,11.6
19771.0,42.0,143.75,100.0,18.0
19785.0,41.0,143.75,100.0,17.2
19805.0,21.0,143.75,100.0,15.2
19814.0,19.0,143.75,100.0,10.0
19828.0,22.0,143.75,100.0,10.0
19839.0,19.0,143.75,100.0,10.0
19853.0,23.0,143.75,100.0,10.0
19869.0,15.0,143.75,100.0,10.0
19884.0,14.0,143.75,100.0,10.0
19895.0,18.0,143.75,100.0,10.0
19912.0,31.0,143.75,100.0,10.0
19927.0,18.0,143.75,100.0,10.0
19939.0,27.0,143.75,100.0,10.0
19957.0,28.0,143.75,100.0,10.0
19971.0,32.0,143.75,100.0,10.0
20012.0,13.0,143.75,100.0,10.0
20050.0,12.0,143.75,100.0,10.0
20060.0,24.0,143.75,100.0,10.0
20066.0,45.0,143.75,100.0,10.0
20075.0,32.0,143.75,100.0,10.0
