Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
72.0,0.0,100,100,100
100.0,38.0,100,100,0.05
119.0,46.0,100,100.0,0.05
133.0,36.0,100,100.0,25.6
272.0,1.0,100,100.0,36.4
353.0,1.0,100,100.0,10.0
368.0,9.0,100,100.0,10.0
390.0,7.0,100,100.0,10.0
405.0,31.0,101.56,100.0,10.0
422.0,47.0,101.56,100.0,10.0
456.0,3.0,101.56,100.0,24.0
530.0,2.0,101.56,100.0,10.0
556.0,4.0,101.56,100.0,10.0
560.0,31.0,101.56,100.0,10.0
578.0,9.0,101.56,100.0,10.0
591.0,42.0,101.56,100.0,10.0
660.0,2.0,101.56,100.0,15.2
666.0,18.0,101.56,100.0,10.0
673.0,10.0,101.56,100.0,10.0
718.0,1.0,101.56,100.0,10.0
753.0,8.0,101.56,100.0,10.0
773.0,56.0,109.38,100.0,10.0
802.0,35.0,109.38,100.0,10.0
814.0,30.0,109.38,100.0,22.4
833.0,15.0,109.38,100.0,10.0
842.0,43.0,109.38,100.0,10.0
854.0,29.0,109.38,100.0,11.2
867.0,23.0,109.38,100.0,10.0
881.0,29.0,109.38,100.0,10.0
892.0,41.0,109.38,100.0,10.0
901.0,11.0,109.38,100.0,12.4
908.0,17.0,109.38,100.0,10.0
915.0,12.0,109.38,100.0,10.0
924.0,13.0,109.38,100.0,10.0
934.0,11.0,109.38,100.0,10.0
942.0,10.0,109.38,100.0,10.0
963.0,14.0,109.38,100.0,10.0
976.0,26.0,109.38,100.0,10.0
987.0,13.0,109.38,100.0,10.0
998.0,33.0,109.38,100.0,10.0
1010.0,23.0,109.38,100.0,10.0
1022.0,10.0,109.38,100.0,10.0
1033.0,13.0,109.38,100.0,10.0
1049.0,19.0,109.38,100.0,10.0
1061.0,22.0,109.38,100.0,10.0
1072.0,24.0,109.38,100.0,10.0
1082.0,23.0,109.38,100.0,10.0
1105.0,33.0,223.44,100.0,10.0
1115.0,105.0,223.44,100.0,10.0
1126.0,29.0,223.44,100.0,45.2
1139.0,30.0,223.44,100.0,10.0
1152.0,18.0,223.44,100.0,10.0
1163.0,21.0,223.44,100.0,10.0
1176.0,16.0,223.44,100.0,10.0
1190.0,20.0,223.44,25.0,10.0
1219.0,76.0,270.31,100.0,10.0
1232.0,59.0,270.31,100.0,10.0
1243.0,27.0,270.31,100.0,26.4
1257.0,15.0,270.31,100.0,10.0
1272.0,22.0,270.31,100.0,10.0
1288.0,19.0,270.31,100.0,10.0
1315.0,113.0,276.56,100.0,10.0
1330.0,68.0,276.56,100.0,10.0
1347.0,21.0,276.56,100.0,37.2
1361.0,20.0,276.56,25.0,10.0
1379.0,10.0,276.56,100.0,10.0
1411.0,107.0,290.62,100.0,10.0
1430.0,68.0,290.62,100.0,10.0
1449.0,20.0,290.62,25.0,46.8
1469.0,12.0,290.62,100.0,10.0
1489.0,15.0,290.62,100.0,10.0
1509.0,18.0,290.62,100.0,10.0
1538.0,15.0,290.62,100.0,10.0
1582.0,47.0,325.78,100.0,10.0
1608.0,46.0,325.78,100.0,10.0
1645.0,4.0,325.78,100.0,34.4
1673.0,4.0,325.78,100.0,10.0
1699.0,8.0,325.78,100.0,10.0
1720.0,10.0,325.78,100.0,10.0
1735.0,19.0,325.78,100.0,10.0
1751.0,20.0,325.78,25.0,10.0
1764.0,9.0,325.78,100.0,10.0
1777.0,37.0,325.78,100.0,10.0
1792.0,25.0,325.78,100.0,11.6
1811.0,61.0,359.38,100.0,10.0
1823.0,92.0,359.38,100.0,10.0
1835.0,22.0,359.38,100.0,45.2
1850.0,29.0,359.38,100.0,10.0
1868.0,26.0,359.38,100.0,10.0
1885.0,26.0,359.38,100.0,10.0
1905.0,20.0,359.38,25.0,10.0
1930.0,6.0,359.38,100.0,10.0
1951.0,19.0,359.38,100.0,10.0
1978.0,10.0,359.38,100.0,10.0
2028.0,42.0,398.44,100.0,10.0
2046.0,153.0,398.44,100.0,10.0
2067.0,12.0,398.44,100.0,123.6
2087.0,16.0,398.44,100.0,10.0
2106.0,11.0,398.44,100.0,10.0
2128.0,16.0,398.44,100.0,10.0
2144.0,23.0,398.44,100.0,10.0
2161.0,6.0,398.44,100.0,10.0
2178.0,17.0,410.16,100.0,10.0
2192.0,83.0,410.16,100.0,10.0
2206.0,18.0,410.16,100.0,46.0
2223.0,12.0,410.16,100.0,10.0
2243.0,22.0,410.16,100.0,10.0
2261.0,20.0,410.16,25.0,10.0
2279.0,7.0,410.16,100.0,10.0
2297.0,16.0,410.16,100.0,10.0
2317.0,22.0,410.16,100.0,10.0
2338.0,19.0,410.16,100.0,10.0
2357.0,12.0,410.16,100.0,10.0
2378.0,12.0,410.16,100.0,10.0
2398.0,14.0,410.16,100.0,10.0
2417.0,16.0,410.16,100.0,10.0
2435.0,15.0,410.16,100.0,10.0
2458.0,12.0,410.16,100.0,10.0
2479.0,10.0,410.16,100.0,10.0
2498.0,22.0,410.16,100.0,10.0
2515.0,28.0,410.16,100.0,10.0
2531.0,26.0,410.16,100.0,10.0
2545.0,10.0,410.16,100.0,10.0
2561.0,20.0,410.16,25.0,10.0
2573.0,7.0,410.16,100.0,10.0
2585.0,26.0,410.16,100.0,10.0
2596.0,8.0,410.16,100.0,10.0
2606.0,9.0,410.16,100.0,10.0
2617.0,24.0,410.16,100.0,10.0
2628.0,19.0,410.16,100.0,10.0
2638.0,19.0,410.16,100.0,10.0
2650.0,30.0,410.16,100.0,10.0
2664.0,28.0,410.16,100.0,10.0
2677.0,14.0,410.16,100.0,10.0
2692.0,26.0,410.16,100.0,10.0
2704.0,12.0,410.16,100.0,10.0
2718.0,23.0,410.16,100.0,10.0
2732.0,19.0,410.16,100.0,10.0
2746.0,22.0,410.16,100.0,10.0
2761.0,20.0,410.16,25.0,10.0
2777.0,11.0,410.16,100.0,10.0
2790.0,32.0,410.16,100.0,10.0
2804.0,33.0,410.16,100.0,10.0
2817.0,26.0,410.16,100.0,10.0
2835.0,24.0,410.16,100.0,10.0
2854.0,14.0,410.16,100.0,10.0
2872.0,27.0,410.16,100.0,10.0
2889.0,27.0,410.16,100.0,10.0
2906.0,22.0,410.16,100.0,10.0
2924.0,22.0,410.16,100.0,10.0
2940.0,27.0,410.16,100.0,10.0
2956.0,34.0,410.16,100.0,10.0
2971.0,32.0,410.16,100.0,11.6
2985.0,27.0,410.16,100.0,10.0
3000.0,26.0,410.16,100.0,10.0
3017.0,29.0,410.16,100.0,10.0
3038.0,19.0,410.16,100.0,10.0
