Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
83.0,0.0,100,100,100
114.0,38.0,100,100.0,0.05
127.0,48.0,100,100.0,28.8
186.0,3.0,100,100.0,47.6
271.0,2.0,100,100.0,10.0
361.0,1.0,100,100.0,10.0
378.0,11.0,100,100.0,10.0
398.0,11.0,100,100.0,10.0
408.0,11.0,100,100.0,10.0
420.0,28.0,101.56,100.0,10.0
468.0,16.0,101.56,100.0,10.0
485.0,10.0,101.56,100.0,10.0
548.0,3.0,101.56,100.0,10.0
575.0,4.0,101.56,100.0,10.0
593.0,4.0,101.56,100.0,10.0
600.0,41.0,101.56,100.0,10.0
634.0,7.0,101.56,100.0,10.0
686.0,1.0,101.56,100.0,10.0
711.0,4.0,101.56,100.0,10.0
717.0,10.0,101.56,100.0,10.0
723.0,8.0,101.56,100.0,10.0
759.0,1.0,101.56,100.0,10.0
780.0,9.0,101.56,100.0,10.0
798.0,15.0,101.56,100.0,10.0
827.0,8.0,101.56,100.0,10.0
860.0,20.0,115.62,25.0,10.0
874.0,161.0,115.62,100.0,10.0
880.0,13.0,115.62,100.0,106.0
888.0,14.0,115.62,100.0,10.0
898.0,9.0,115.62,100.0,10.0
904.0,14.0,115.62,100.0,10.0
912.0,26.0,115.62,100.0,10.0
924.0,19.0,115.62,100.0,10.0
937.0,7.0,115.62,100.0,10.0
947.0,37.0,115.62,100.0,10.0
957.0,17.0,115.62,100.0,10.0
967.0,9.0,115.62,100.0,10.0
979.0,7.0,115.62,100.0,10.0
992.0,7.0,115.62,100.0,10.0
1000.0,12.0,115.62,100.0,10.0
1008.0,32.0,115.62,100.0,10.0
1016.0,14.0,115.62,100.0,10.0
1023.0,15.0,115.62,100.0,10.0
1030.0,18.0,115.62,100.0,10.0
1040.0,35.0,115.62,100.0,10.0
1047.0,13.0,115.62,100.0,10.0
1056.0,9.0,115.62,100.0,10.0
1077.0,4.0,115.62,100.0,10.0
1086.0,36.0,115.62,100.0,10.0
1095.0,11.0,115.62,100.0,10.0
1103.0,16.0,115.62,100.0,10.0
1110.0,19.0,115.62,100.0,10.0
1115.0,26.0,115.62,100.0,10.0
1124.0,35.0,115.62,100.0,10.0
1131.0,16.0,115.62,100.0,10.0
1138.0,13.0,115.62,100.0,10.0
1147.0,42.0,115.62,100.0,10.0
1157.0,34.0,115.62,100.0,11.2
1166.0,29.0,115.62,100.0,10.0
1166.0,29.0,115.62,100.0,10.0
1188.0,23.0,220.31,100.0,10.0
1199.0,170.0,220.31,100.0,10.0
1210.0,31.0,220.31,100.0,90.4
1223.0,37.0,220.31,100.0,10.0
1234.0,25.0,220.31,100.0,12.0
1247.0,26.0,220.31,100.0,10.0
1259.0,13.0,220.31,100.0,10.0
1271.0,22.0,220.31,100.0,10.0
1285.0,23.0,220.31,100.0,10.0
1300.0,25.0,220.31,100.0,10.0
1330.0,91.0,264.06,100.0,10.0
1345.0,77.0,264.06,100.0,10.0
1363.0,10.0,264.06,100.0,45.6
1378.0,12.0,264.06,100.0,10.0
1392.0,25.0,264.06,100.0,10.0
1407.0,26.0,264.06,100.0,10.0
1426.0,19.0,264.06,100.0,10.0
1456.0,75.0,282.81,100.0,10.0
1471.0,105.0,282.81,100.0,10.0
1487.0,22.0,282.81,100.0,68.4
1504.0,16.0,282.81,100.0,10.0
1518.0,19.0,282.81,100.0,10.0
1547.0,45.0,293.75,100.0,10.0
1563.0,121.0,293.75,100.0,10.0
1580.0,20.0,293.75,25.0,86.0
1594.0,11.0,293.75,100.0,10.0
1609.0,22.0,293.75,100.0,10.0
1623.0,14.0,293.75,100.0,10.0
1642.0,17.0,293.75,100.0,10.0
1657.0,12.0,293.75,100.0,10.0
1674.0,22.0,293.75,100.0,10.0
1692.0,19.0,293.75,100.0,10.0
1711.0,9.0,293.75,100.0,10.0
1725.0,28.0,293.75,100.0,10.0
1741.0,27.0,293.75,100.0,10.0
1756.0,19.0,293.75,100.0,10.0
1788.0,61.0,364.06,100.0,10.0
1802.0,177.0,364.06,100.0,10.0
1817.0,24.0,364.06,100.0,118.0
1834.0,11.0,364.06,100.0,10.0
1853.0,20.0,364.06,25.0,10.0
1874.0,11.0,364.06,100.0,10.0
1896.0,21.0,364.06,100.0,10.0
1935.0,119.0,409.38,100.0,10.0
1964.0,16.0,409.38,100.0,10.0
1994.0,11.0,409.38,100.0,10.0
2031.0,8.0,409.38,100.0,10.0
2062.0,13.0,409.38,100.0,10.0
2090.0,8.0,409.38,100.0,10.0
2122.0,11.0,409.38,100.0,10.0
2137.0,70.0,410.16,100.0,10.0
2162.0,25.0,410.16,100.0,10.0
2188.0,7.0,410.16,100.0,10.0
2216.0,12.0,410.16,100.0,10.0
2248.0,10.0,410.16,100.0,10.0
2277.0,11.0,410.16,100.0,10.0
2295.0,36.0,428.12,100.0,10.0
2323.0,39.0,428.12,100.0,10.0
2350.0,8.0,428.12,100.0,27.6
2375.0,12.0,428.12,100.0,10.0
2395.0,12.0,428.12,100.0,10.0
2414.0,15.0,428.12,100.0,10.0
2444.0,19.0,428.12,100.0,10.0
2500.0,93.0,446.88,100.0,10.0
2560.0,16.0,446.88,100.0,10.0
2609.0,7.0,446.88,100.0,10.0
2632.0,10.0,446.88,100.0,10.0
2663.0,12.0,446.88,100.0,10.0
2688.0,17.0,446.88,100.0,10.0
2703.0,20.0,446.88,25.0,10.0
2721.0,14.0,446.88,100.0,10.0
2737.0,28.0,446.88,100.0,10.0
2753.0,23.0,446.88,100.0,10.0
2778.0,33.0,490.62,100.0,10.0
2792.0,97.0,490.62,100.0,10.0
2807.0,25.0,490.62,100.0,58.0
2827.0,16.0,490.62,100.0,10.0
2839.0,92.0,488.28,100.0,10.0
2855.0,46.0,488.28,100.0,10.0
2855.0,46.0,488.28,100.0,22.0
2888.0,105.0,504.69,100.0,22.0
2912.0,61.0,504.69,100.0,22.0
2930.0,13.0,504.69,100.0,51.2
2946.0,16.0,504.69,100.0,10.0
2964.0,21.0,504.69,100.0,10.0
3000.0,116.0,534.38,100.0,10.0
3021.0,55.0,534.38,100.0,10.0
3043.0,13.0,534.38,100.0,38.4
3066.0,16.0,534.38,100.0,10.0
3090.0,14.0,534.38,100.0,10.0
3114.0,13.0,534.38,100.0,10.0
3136.0,15.0,534.38,100.0,10.0
3163.0,20.0,534.38,25.0,10.0
3198.0,158.0,582.03,100.0,10.0
3220.0,26.0,582.03,100.0,10.0
3242.0,20.0,582.03,25.0,10.0
3267.0,11.0,582.03,100.0,10.0
