Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,0
0,0,100,100,100
75.0,0.0,100,100,100
139.0,17.0,100,100.0,0.05
148.0,60.0,100,100.0,10.0
554.0,0.0,100,100.0,11.6
996.0,0.0,100,100.0,10.0
1019.0,4.0,100,100.0,10.0
1040.0,3.0,100,100.0,10.0
1070.0,2.0,100,100.0,10.0
1105.0,1.0,100,100.0,10.0
1144.0,1.0,100,100.0,10.0
1195.0,1.0,100,100.0,10.0
1246.0,1.0,100,100.0,10.0
1317.0,1.0,100,100.0,10.0
1361.0,2.0,100,100.0,10.0
1393.0,84.0,101.56,100.0,10.0
1459.0,8.0,101.56,100.0,10.0
1472.0,11.0,101.56,100.0,10.0
1486.0,17.0,101.56,100.0,10.0
1508.0,16.0,101.56,100.0,10.0
1524.0,22.0,101.56,100.0,10.0
1575.0,8.0,101.56,100.0,10.0
1615.0,3.0,101.56,100.0,10.0
1633.0,10.0,101.56,100.0,10.0
1654.0,10.0,101.56,100.0,10.0
1690.0,4.0,101.56,100.0,10.0
1710.0,7.0,101.56,100.0,10.0
1732.0,24.0,101.56,100.0,10.0
1758.0,6.0,101.56,100.0,10.0
1780.0,5.0,101.56,100.0,10.0
1805.0,5.0,101.56,100.0,10.0
1830.0,4.0,101.56,100.0,10.0
1858.0,3.0,101.56,100.0,10.0
1873.0,6.0,101.56,100.0,10.0
1889.0,44.0,115.62,100.0,10.0
1896.0,141.0,115.62,100.0,10.0
1910.0,26.0,115.62,100.0,52.4
1930.0,7.0,115.62,100.0,10.0
1958.0,18.0,115.62,100.0,10.0
1981.0,4.0,115.62,100.0,10.0
1995.0,8.0,115.62,100.0,10.0
2016.0,17.0,115.62,100.0,10.0
2040.0,7.0,115.62,100.0,10.0
2063.0,8.0,115.62,100.0,10.0
2085.0,10.0,115.62,100.0,10.0
2102.0,60.0,123.44,100.0,10.0
2136.0,23.0,123.44,100.0,10.0
2154.0,5.0,123.44,100.0,10.0
2181.0,7.0,123.44,100.0,10.0
2208.0,10.0,123.44,100.0,10.0
2223.0,8.0,123.44,100.0,10.0
2254.0,4.0,123.44,100.0,10.0
2293.0,11.0,123.44,100.0,10.0
2322.0,36.0,123.44,100.0,10.0
2341.0,6.0,123.44,100.0,24.4
2374.0,84.0,128.12,100.0,10.0
2409.0,27.0,128.12,100.0,10.0
2434.0,4.0,128.12,100.0,12.8
2461.0,17.0,128.12,100.0,10.0
2496.0,4.0,128.12,100.0,10.0
2530.0,3.0,128.12,100.0,10.0
2553.0,6.0,128.12,100.0,10.0
2597.0,25.0,128.12,100.0,10.0
2634.0,9.0,128.12,100.0,11.6
2671.0,15.0,128.12,100.0,10.0
2711.0,4.0,128.12,100.0,10.0
2757.0,12.0,128.12,100.0,10.0
2806.0,16.0,128.12,100.0,10.0
2856.0,2.0,128.12,100.0,10.0
2905.0,3.0,128.12,100.0,10.0
2949.0,2.0,128.12,100.0,10.0
3003.0,1.0,128.12,100.0,10.0
3055.0,1.0,128.12,100.0,10.0
3103.0,3.0,128.12,100.0,10.0
3160.0,9.0,128.12,100.0,10.0
3218.0,11.0,128.12,100.0,10.0
3265.0,12.0,128.12,100.0,10.0
3313.0,9.0,128.12,100.0,10.0
3361.0,12.0,128.12,100.0,10.0
3404.0,2.0,128.12,100.0,10.0
3447.0,5.0,128.12,100.0,10.0
3502.0,11.0,128.12,100.0,10.0
3554.0,3.0,128.12,100.0,10.0
3600.0,2.0,128.12,100.0,10.0
3644.0,2.0,128.12,100.0,10.0
3687.0,5.0,128.12,100.0,10.0
3727.0,3.0,128.12,100.0,10.0
3776.0,5.0,128.12,100.0,10.0
3832.0,7.0,128.12,100.0,10.0
3886.0,7.0,128.12,100.0,10.0
3938.0,8.0,128.12,100.0,10.0
3985.0,18.0,128.12,100.0,10.0
4036.0,3.0,128.12,100.0,10.0
4091.0,10.0,128.12,100.0,10.0
4145.0,1.0,128.12,100.0,10.0
4200.0,11.0,128.12,100.0,10.0
4262.0,3.0,128.12,100.0,10.0
4317.0,1.0,128.12,100.0,10.0
4376.0,10.0,128.12,100.0,10.0
4434.0,5.0,128.12,100.0,10.0
4494.0,7.0,128.12,100.0,10.0
4540.0,2.0,128.12,100.0,10.0
4593.0,2.0,128.12,100.0,10.0
4652.0,1.0,128.12,100.0,10.0
4703.0,4.0,128.12,100.0,10.0
4759.0,6.0,128.12,100.0,10.0
4809.0,2.0,128.12,100.0,10.0
4859.0,3.0,128.12,100.0,10.0
4907.0,2.0,128.12,100.0,10.0
4953.0,4.0,128.12,100.0,10.0
5017.0,7.0,128.12,100.0,10.0
5070.0,2.0,128.12,100.0,10.0
5127.0,10.0,128.12,100.0,10.0
5187.0,8.0,128.12,100.0,10.0
5248.0,2.0,128.12,100.0,10.0
5303.0,2.0,128.12,100.0,10.0
5353.0,5.0,128.12,100.0,10.0
5400.0,2.0,128.12,100.0,10.0
5459.0,4.0,128.12,100.0,10.0
5513.0,1.0,128.12,100.0,10.0
5570.0,6.0,128.12,100.0,10.0
5616.0,2.0,128.12,100.0,10.0
5669.0,2.0,128.12,100.0,10.0
5719.0,1.0,128.12,100.0,10.0
5783.0,1.0,128.12,100.0,10.0
5837.0,2.0,128.12,100.0,10.0
5880.0,2.0,128.12,100.0,10.0
5932.0,8.0,128.12,100.0,10.0
5995.0,11.0,128.12,100.0,10.0
6043.0,2.0,128.12,100.0,10.0
6100.0,2.0,128.12,100.0,10.0
6155.0,3.0,128.12,100.0,10.0
6218.0,2.0,128.12,100.0,10.0
6276.0,1.0,128.12,100.0,10.0
6341.0,3.0,128.12,100.0,10.0
6402.0,1.0,128.12,100.0,10.0
6459.0,1.0,128.12,100.0,10.0
6517.0,4.0,128.12,100.0,10.0
6585.0,7.0,128.12,100.0,10.0
6645.0,2.0,128.12,100.0,10.0
6704.0,2.0,128.12,100.0,10.0
6761.0,7.0,128.12,100.0,10.0
6816.0,1.0,128.12,100.0,10.0
6884.0,8.0,128.12,100.0,10.0
6945.0,1.0,128.12,100.0,10.0
7011.0,7.0,128.12,100.0,10.0
7072.0,3.0,128.12,100.0,10.0
7126.0,3.0,128.12,100.0,10.0
7180.0,8.0,128.12,100.0,10.0
7231.0,2.0,128.12,100.0,10.0
7288.0,1.0,128.12,100.0,10.0
7337.0,2.0,128.12,100.0,10.0
7398.0,1.0,128.12,100.0,10.0
7451.0,5.0,128.12,100.0,10.0
7504.0,2.0,128.12,100.0,10.0
7560.0,1.0,128.12,100.0,10.0
7616.0,1.0,128.12,100.0,10.0
7662.0,2.0,128.12,100.0,10.0
7717.0,1.0,128.12,100.0,10.0
7773.0,1.0,128.12,100.0,10.0
7838.0,1.0,128.12,100.0,10.0
7900.0,1.0,128.12,100.0,10.0
7955.0,1.0,128.12,100.0,10.0
8015.0,1.0,128.12,100.0,10.0
