Time,GC Util
0,0
0,0
382,94
382,94
572,78
572,78
577,9
577,9
711,119
711,119
806,159
806,159
899,137
899,137
1020,122
1020,122
1128,137
1128,137
1191,154
1191,154
1235,168
1235,168
1283,195
1283,195
1319,237
1319,237
1367,228
1367,228
1394,234
1394,234
1443,238
1443,238
1477,237
1477,237
1518,226
1518,226
1556,224
1556,224
1594,246
1594,246
1639,228
1639,228
1679,241
1679,241
1715,218
1715,218
1756,198
1756,198
1803,215
1803,215
1834,228
1834,228
1873,213
1873,213
1918,215
1918,215
1961,181
1961,181
2003,205
2003,205
2052,238
2052,238
2091,239
2091,239
2128,234
2128,234
2170,242
2170,242
2212,192
2212,192
2247,235
2247,235
2288,203
2288,203
2324,231
2324,231
2367,210
2367,210
2408,220
2408,220
2446,242
2446,242
2485,239
2485,239
2525,233
2525,233
2568,246
2568,246
2610,203
2610,203
2648,246
2648,246
2684,245
2684,245
2720,248
2720,248
2760,250
2760,250
2800,238
2800,238
2842,221
2842,221
2879,230
2879,230
2924,182
2924,182
2961,248
2961,248
3005,231
3005,231
3041,232
3041,232
3085,248
3085,248
3122,242
3122,242
3161,252
3161,252
3199,244
3199,244
3239,235
3239,235
3283,214
3283,214
3320,217
3320,217
3360,242
3360,242
3396,245
3396,245
3438,249
3438,249
3475,234
3475,234
3513,245
3513,245
3549,239
3549,239
3591,229
3591,229
3627,218
3627,218
3667,245
3667,245
3703,221
3703,221
3743,235
3743,235
3782,243
3782,243
3821,229
3821,229
3857,250
3857,250
3898,240
3898,240
3936,252
3936,252
3977,241
3977,241
4018,244
4018,244
4052,229
4052,229
4095,231
4095,231
4144,197
4144,197
4184,230
4184,230
4219,211
4219,211
4265,257
4265,257
4310,204
4310,204
4352,236
4352,236
4391,243
4391,243
4434,226
4434,226
4470,239
4470,239
4511,236
4511,236
4546,219
4546,219
4595,243
4595,243
4637,235
4637,235
4677,241
4677,241
4715,239
4715,239
4756,241
4756,241
4797,236
4797,236
4835,230
4835,230
4874,248
4874,248
4912,229
4912,229
4948,247
4948,247
4998,236
4998,236
5032,234
5032,234
5072,233
5072,233
5107,240
5107,240
5157,221
5157,221
5195,238
5195,238
5234,237
5234,237
5278,250
5278,250
5315,239
5315,239
5355,214
5355,214
5399,224
5399,224
5435,245
5435,245
5485,235
5485,235
5520,250
5520,250
5559,228
5559,228
5598,248
5598,248
5641,241
5641,241
5682,244
5682,244
5725,224
5725,224
5767,227
5767,227
5809,237
5809,237
5840,236
5840,236
5884,236
5884,236
5919,241
5919,241
5974,230
5974,230
6012,223
6012,223
6057,244
6057,244
6095,234
6095,234
6138,240
6138,240
6180,251
6180,251
6222,224
6222,224
6262,229
6262,229
6300,218
6300,218
6343,233
6343,233
6390,228
6390,228
6432,241
6432,241
6478,244
6478,244
6518,231
6518,231
6562,249
6562,249
6597,242
6597,242
6633,237
6633,237
6672,253
6672,253
6712,252
6712,252
6753,247
6753,247
6792,248
6792,248
6836,250
6836,250
6877,244
6877,244
6916,222
6916,222
6960,242
6960,242
7003,228
7003,228
7045,246
7045,246
7085,220
7085,220
7130,248
7130,248
7169,237
7169,237
7210,228
7210,228
7242,227
7242,227
7288,241
7288,241
7324,255
7324,255
7360,222
7360,222
7400,228
7400,228
7440,242
7440,242
7480,250
7480,250
7531,236
7531,236
7574,245
7574,245
7616,210
7616,210
7660,215
7660,215
7697,238
7697,238
7732,214
7732,214
7768,243
7768,243
7804,218
7804,218
7846,215
7846,215
7889,233
7889,233
7926,213
7926,213
7964,243
7964,243
8002,242
8002,242
8041,227
8041,227
8086,241
8086,241
8132,251
8132,251
8181,193
8181,193
8227,208
8227,208
8259,220
8259,220
8303,239
8303,239
8341,254
8341,254
8380,238
8380,238
8419,238
8419,238
8459,252
8459,252
8494,245
8494,245
8536,252
8536,252
8570,228
8570,228
8619,219
8619,219
8657,242
8657,242
8706,244
8706,244
8747,239
8747,239
8794,225
8794,225
8836,229
8836,229
8884,241
8884,241
8924,225
8924,225
8967,224
8967,224
9010,218
9010,218
9050,237
9050,237
9086,259
