Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
1691.0,55.0,100,100.0,100
2340.0,23.0,100,25.0,100
2574.0,18.0,100,100.0,100
5351.0,91.0,100,100.0,100
5406.0,20.0,100,100.0,100
5542.0,23.0,100,100.0,100
5601.0,0.0,100,100.0,100
5631.0,20.0,100,25.0,100
5814.0,23.0,100,100.0,100
5886.0,0.0,100,100.0,100
5930.0,16.0,100,100.0,100
6011.0,20.0,100,100.0,100
6100.0,26.0,100,25.0,100
6157.0,29.0,100,25.0,100
6255.0,23.0,100,100.0,100
6354.0,25.0,100,100.0,100
6407.0,45.0,100,100.0,100
6448.0,28.0,100,100.0,100
6610.0,57.0,100,100.0,100
6660.0,60.0,100,100.0,100
6688.0,57.0,100,100.0,100
6768.0,49.0,100,100.0,100
6816.0,58.0,100,100.0,100
6982.0,24.0,100,100.0,100
7058.0,39.0,100,25.0,100
7154.0,40.0,100,25.0,100
7232.0,45.0,100,25.0,100
7275.0,0.0,100,100.0,100
7318.0,37.0,100,100.0,100
7352.0,39.0,100,25.0,100
7386.0,43.0,100,25.0,100
7434.0,23.0,100,25.0,100
7482.0,23.0,100,25.0,100
7522.0,25.0,100,25.0,100
7609.0,50.0,100,25.0,100
7628.0,0.0,100,100.0,100
7659.0,44.0,100,25.0,100
7713.0,52.0,100,25.0,100
7848.0,57.0,100,25.0,100
8225.0,48.0,100,100.0,100
8361.0,95.0,100,100.0,100
8444.0,46.0,100,100.0,100
8517.0,0.0,100,100.0,100
8574.0,70.0,100,25.0,100
8648.0,71.0,100,25.0,100
8727.0,84.0,100,25.0,100
8815.0,75.0,100,25.0,100
8943.0,65.0,100,25.0,100
9138.0,98.0,100,25.0,100
9354.0,84.0,100,25.0,100
10468.0,65.0,100,25.0,100
10496.0,228.0,100,100.0,100
10509.0,25.0,100,100.0,100
10547.0,66.0,100,100.0,100
10572.0,44.0,100,25.0,100
10596.0,58.0,100,25.0,100
10621.0,27.0,100,100.0,100
10641.0,21.0,100,100.0,100
10664.0,28.0,100,100.0,100
10684.0,59.0,100,100.0,100
10703.0,52.0,100,25.0,100
10725.0,54.0,100,25.0,100
10750.0,72.0,100,25.0,100
10776.0,68.0,100,25.0,100
10801.0,85.0,100,25.0,100
10827.0,64.0,100,100.0,100
10847.0,53.0,100,25.0,100
10865.0,78.0,100,25.0,100
10883.0,83.0,100,25.0,100
10905.0,65.0,100,25.0,100
10924.0,83.0,100,100.0,100
10952.0,76.0,100,25.0,100
10974.0,73.0,100,25.0,100
10992.0,68.0,100,25.0,100
11010.0,63.0,100,25.0,100
11032.0,48.0,100,100.0,100
11052.0,34.0,100,100.0,100
11069.0,59.0,100,25.0,100
11086.0,59.0,100,25.0,100
11103.0,59.0,100,25.0,100
11120.0,68.0,100,25.0,100
11137.0,77.0,100,25.0,100
11155.0,69.0,100,25.0,100
11172.0,83.0,100,25.0,100
11280.0,88.0,100,25.0,100
11379.0,82.0,100,100.0,100
11447.0,37.0,100,25.0,100
11496.0,50.0,100,25.0,100
11529.0,52.0,100,25.0,100
11563.0,60.0,100,25.0,100
11597.0,60.0,100,25.0,100
11630.0,67.0,100,25.0,100
11664.0,62.0,100,25.0,100
11698.0,80.0,100,100.0,100
11731.0,41.0,100,100.0,100
11765.0,67.0,100,100.0,100
11782.0,128.0,100,100.0,100
11799.0,82.0,100,25.0,100
11828.0,74.0,100,25.0,100
11872.0,67.0,100,25.0,100
11968.0,39.0,100,25.0,100
12031.0,77.0,100,25.0,100
13035.0,48.0,100,25.0,100
13060.0,43.0,100,100.0,100
13081.0,59.0,100,25.0,100
13257.0,63.0,100,25.0,100
13749.0,62.0,100,25.0,100
13809.0,47.0,100,100.0,100
13918.0,61.0,100,25.0,100
14047.0,56.0,100,25.0,100
14078.0,41.0,100,25.0,100
14200.0,58.0,100,100.0,100
14266.0,74.0,100,25.0,100
14297.0,106.0,100,100.0,100
14326.0,71.0,100,100.0,100
14377.0,84.0,100,100.0,100
14423.0,64.0,100,25.0,100
14567.0,73.0,100,25.0,100
15095.0,69.0,100,25.0,100
16043.0,43.0,100,25.0,100
16110.0,73.0,100,25.0,100
16183.0,65.0,100,25.0,100
16274.0,60.0,100,25.0,100
16394.0,43.0,100,25.0,100
16487.0,41.0,100,100.0,100
16576.0,37.0,100,100.0,100
17024.0,107.0,100,100.0,100
17066.0,39.0,100,100.0,100
17123.0,38.0,100,25.0,100
17173.0,48.0,100,100.0,100
17199.0,77.0,100,100.0,100
17360.0,54.0,100,100.0,100
17447.0,72.0,100,25.0,100
17468.0,38.0,100,100.0,100
17488.0,31.0,100,100.0,100
17510.0,46.0,100,25.0,100
17533.0,69.0,100,100.0,100
17556.0,0.0,100,100.0,100
17579.0,51.0,100,25.0,100
17682.0,62.0,100,25.0,100
17764.0,57.0,100,100.0,100
17829.0,52.0,100,25.0,100
17860.0,75.0,100,25.0,100
17890.0,75.0,100,25.0,100
18011.0,70.0,100,25.0,100
18075.0,60.0,100,25.0,100
18106.0,128.0,100,100.0,100
18145.0,71.0,100,100.0,100
18462.0,61.0,100,25.0,100
18529.0,42.0,100,25.0,100
18589.0,58.0,100,100.0,100
18648.0,42.0,100,25.0,100
18712.0,35.0,100,100.0,100
18768.0,58.0,100,25.0,100
18823.0,60.0,100,25.0,100
18880.0,69.0,100,25.0,100
18920.0,76.0,100,25.0,100
18942.0,78.0,100,25.0,100
18964.0,95.0,100,100.0,100
18985.0,70.0,100,100.0,100
19005.0,83.0,100,25.0,100
19016.0,0.0,100,100.0,100
19027.0,73.0,100,100.0,100
19046.0,72.0,100,100.0,100
19073.0,37.0,100,100.0,100
19100.0,37.0,100,25.0,100
19191.0,72.0,100,25.0,100
19303.0,83.0,100,25.0,100
19316.0,59.0,100,25.0,100
19335.0,79.0,100,100.0,100
19348.0,73.0,100,25.0,100
19361.0,84.0,100,25.0,100
19374.0,74.0,100,25.0,100
19387.0,56.0,100,100.0,100
19400.0,40.0,100,100.0,100
19413.0,74.0,100,25.0,100
19426.0,81.0,100,25.0,100
19435.0,102.0,100,100.0,100
19442.0,58.0,100,100.0,100
19453.0,75.0,100,25.0,100
19464.0,48.0,100,25.0,100
19477.0,46.0,100,100.0,100
19490.0,84.0,100,100.0,100
19502.0,57.0,100,25.0,100
19515.0,71.0,100,100.0,100
19527.0,53.0,100,25.0,100
19539.0,61.0,100,25.0,100
19552.0,74.0,100,100.0,100
19565.0,37.0,100,100.0,100
19577.0,71.0,100,25.0,100
19584.0,0.0,100,100.0,100
19592.0,56.0,100,100.0,100
19602.0,69.0,100,25.0,100
19614.0,58.0,100,100.0,100
19639.0,40.0,100,100.0,100
19650.0,38.0,100,100.0,100
19663.0,34.0,100,100.0,100
19676.0,54.0,100,25.0,100
19688.0,53.0,100,100.0,100
19699.0,66.0,100,25.0,100
19710.0,54.0,100,25.0,100
19721.0,64.0,100,25.0,100
19732.0,50.0,100,25.0,100
19744.0,75.0,100,25.0,100
19756.0,69.0,100,100.0,100
19767.0,53.0,100,25.0,100
19774.0,69.0,100,100.0,100
19781.0,63.0,100,100.0,100
19790.0,54.0,100,25.0,100
19800.0,62.0,100,25.0,100
19810.0,64.0,100,100.0,100
19819.0,63.0,100,25.0,100
19828.0,62.0,100,25.0,100
19848.0,54.0,100,25.0,100
19890.0,70.0,100,100.0,100
19929.0,75.0,100,25.0,100
19961.0,71.0,100,25.0,100
19998.0,0.0,100,100.0,100
20017.0,78.0,100,25.0,100
20028.0,62.0,100,25.0,100
20040.0,46.0,100,25.0,100
20052.0,67.0,100,25.0,100
20064.0,71.0,100,25.0,100
20076.0,67.0,100,25.0,100
20088.0,65.0,100,25.0,100
20101.0,66.0,100,100.0,100
20113.0,52.0,100,25.0,100
20125.0,48.0,100,25.0,100
20137.0,56.0,100,25.0,100
20144.0,0.0,100,100.0,100
20152.0,55.0,100,100.0,100
20164.0,69.0,100,100.0,100
20175.0,52.0,100,100.0,100
20200.0,59.0,100,100.0,100
20228.0,68.0,100,25.0,100
20257.0,82.0,100,100.0,100
20442.0,55.0,100,25.0,100
20451.0,53.0,100,25.0,100
20462.0,31.0,100,100.0,100
20492.0,53.0,100,25.0,100
20614.0,158.0,100,25.0,100
20634.0,119.0,100,25.0,100
20665.0,161.0,100,25.0,100
20693.0,163.0,100,100.0,100
20719.0,167.0,100,100.0,100
20760.0,160.0,100,100.0,100
20813.0,155.0,100,25.0,100
20860.0,159.0,100,25.0,100
20896.0,0.0,100,100.0,100
20926.0,163.0,100,100.0,100
20940.0,117.0,100,100.0,100
21004.0,162.0,100,100.0,100
21098.0,153.0,100,25.0,100
21115.0,270.0,100,25.0,100
21142.0,237.0,100,100.0,100
21186.0,150.0,100,100.0,100
21222.0,0.0,100,100.0,100
21257.0,193.0,100,25.0,100
21362.0,276.0,100,25.0,100
21431.0,266.0,100,25.0,100
21496.0,281.0,100,25.0,100
21529.0,152.0,100,100.0,100
21542.0,162.0,100,25.0,100
21556.0,161.0,100,100.0,100
21571.0,150.0,100,25.0,100
21585.0,145.0,100,100.0,100
21600.0,155.0,100,25.0,100
21614.0,155.0,100,100.0,100
21659.0,214.0,100,25.0,100
21711.0,207.0,100,25.0,100
21728.0,151.0,100,100.0,100
21746.0,163.0,100,25.0,100
21793.0,164.0,100,100.0,100
21824.0,126.0,100,100.0,100
21854.0,50.0,100,100.0,100
21922.0,55.0,100,100.0,100
21981.0,43.0,100,100.0,100
22036.0,51.0,100,25.0,100
22091.0,61.0,100,25.0,100
22144.0,28.0,100,25.0,100
22198.0,25.0,100,100.0,100
22249.0,22.0,100,25.0,100
22288.0,29.0,100,100.0,100
22303.0,36.0,100,25.0,100
22317.0,210.0,100,25.0,100
22331.0,158.0,100,100.0,100
22346.0,147.0,100,25.0,100
22360.0,127.0,100,100.0,100
22375.0,136.0,100,100.0,100
22404.0,129.0,100,25.0,100
22439.0,165.0,100,100.0,100
22636.0,158.0,100,100.0,100
22651.0,85.0,100,100.0,100
22661.0,98.0,100,100.0,100
22669.0,174.0,100,25.0,100
22686.0,168.0,100,25.0,100
22702.0,74.0,100,25.0,100
22723.0,47.0,100,25.0,100
22742.0,92.0,100,25.0,100
22756.0,111.0,100,100.0,100
22772.0,135.0,100,25.0,100
22788.0,139.0,100,100.0,100
22803.0,162.0,100,25.0,100
22816.0,158.0,100,25.0,100
22829.0,164.0,100,25.0,100
22842.0,116.0,100,25.0,100
22855.0,161.0,100,25.0,100
22866.0,196.0,100,100.0,100
22875.0,180.0,100,25.0,100
22890.0,162.0,100,100.0,100
22907.0,116.0,100,25.0,100
22928.0,112.0,100,100.0,100
22944.0,112.0,100,25.0,100
22961.0,159.0,100,25.0,100
22973.0,213.0,100,25.0,100
22984.0,162.0,100,25.0,100
22996.0,157.0,100,25.0,100
23008.0,162.0,100,100.0,100
23022.0,212.0,100,25.0,100
23033.0,154.0,100,25.0,100
23045.0,223.0,100,100.0,100
23053.0,155.0,100,25.0,100
23063.0,283.0,100,25.0,100
23073.0,192.0,100,25.0,100
23093.0,108.0,100,100.0,100
23109.0,98.0,100,25.0,100
23121.0,165.0,100,25.0,100
23133.0,146.0,100,100.0,100
23147.0,160.0,100,25.0,100
23159.0,162.0,100,25.0,100
23171.0,163.0,100,100.0,100
23185.0,157.0,100,25.0,100
23197.0,162.0,100,25.0,100
23209.0,165.0,100,100.0,100
23220.0,217.0,100,100.0,100
23227.0,161.0,100,25.0,100
23237.0,288.0,100,25.0,100
23251.0,202.0,100,100.0,100
23277.0,212.0,100,25.0,100
23319.0,163.0,100,25.0,100
23360.0,166.0,100,25.0,100
23395.0,0.0,100,100.0,100
23432.0,144.0,100,25.0,100
23453.0,153.0,100,100.0,100
23466.0,158.0,100,25.0,100
23479.0,162.0,100,100.0,100
23493.0,153.0,100,100.0,100
23506.0,159.0,100,25.0,100
23514.0,215.0,100,100.0,100
23528.0,163.0,100,100.0,100
23538.0,158.0,100,25.0,100
23549.0,280.0,100,100.0,100
23561.0,159.0,100,100.0,100
23572.0,198.0,100,25.0,100
23582.0,299.0,100,25.0,100
23592.0,265.0,100,25.0,100
23603.0,272.0,100,100.0,100
23615.0,208.0,100,25.0,100
23626.0,282.0,100,100.0,100
23652.0,159.0,100,100.0,100
23679.0,170.0,100,25.0,100
23706.0,281.0,100,25.0,100
23900.0,270.0,100,25.0,100
23908.0,289.0,100,100.0,100
23916.0,95.0,100,25.0,100
23927.0,156.0,100,25.0,100
24061.0,156.0,100,25.0,100
24082.0,159.0,100,25.0,100
24103.0,157.0,100,25.0,100
24131.0,158.0,100,25.0,100
24155.0,157.0,100,25.0,100
24177.0,469.0,100,25.0,100
24209.0,162.0,100,25.0,100
24245.0,0.0,100,100.0,100
24283.0,154.0,100,100.0,100
24319.0,160.0,100,25.0,100
24350.0,158.0,100,100.0,100
24362.0,201.0,100,100.0,100
24403.0,156.0,100,25.0,100
24447.0,286.0,100,25.0,100
24532.0,251.0,100,25.0,100
24550.0,263.0,100,25.0,100
24590.0,307.0,100,25.0,100
24627.0,264.0,100,100.0,100
24660.0,200.0,100,25.0,100
24742.0,271.0,100,100.0,100
24808.0,216.0,100,25.0,100
24873.0,301.0,100,100.0,100
