Time,GC Util,heapSize,numThreads,GCInterval
5722.0,0.0,100,100,100
0.0,49.0,100,100,100
568.0,25.0,100,100,100
598.0,20.0,100,100,100
833.0,24.0,100,100,100
943.0,142.0,100,100,100
981.0,103.0,100,100,100
1008.0,26.0,100,100,100
1031.0,26.0,100,100,100
1048.0,25.0,100,100,100
1062.0,21.0,100,100,100
1075.0,23.0,100,100,100
1089.0,23.0,100,100,100
1111.0,27.0,100,100,100
1129.0,28.0,100,100,100
1143.0,25.0,100,100,100
1162.0,24.0,100,100,100
1176.0,26.0,100,100,100
1195.0,29.0,100,100,100
1209.0,24.0,100,100,100
1227.0,28.0,100,100,100
1244.0,26.0,100,100,100
1262.0,27.0,100,100,100
1281.0,30.0,100,100,100
1299.0,28.0,100,100,100
1318.0,35.0,100,100,100
1338.0,30.0,100,100,100
1360.0,53.0,100,100,100
1381.0,61.0,100,100,100
1403.0,57.0,100,100,100
1421.0,67.0,100,100,100
1442.0,52.0,100,100,100
1463.0,56.0,100,100,100
1484.0,48.0,100,100,100
1513.0,48.0,100,100,100
1533.0,38.0,100,100,100
1555.0,50.0,100,100,100
1577.0,55.0,100,100,100
1604.0,59.0,100,100,100
1624.0,49.0,100,100,100
1651.0,61.0,100,100,100
1673.0,79.0,100,100,100
1697.0,56.0,100,100,100
1721.0,74.0,100,100,100
1745.0,68.0,100,100,100
1769.0,67.0,100,100,100
1793.0,70.0,100,100,100
1819.0,69.0,100,100,100
1844.0,69.0,100,100,100
1868.0,69.0,100,100,100
1891.0,69.0,100,100,100
1913.0,63.0,100,100,100
1934.0,57.0,100,100,100
1962.0,71.0,100,100,100
1997.0,74.0,100,100,100
2025.0,70.0,100,100,100
2053.0,61.0,100,100,100
2083.0,52.0,100,100,100
2115.0,66.0,100,100,100
2144.0,63.0,100,100,100
2187.0,63.0,100,100,100
2225.0,71.0,100,100,100
2266.0,56.0,100,100,100
2308.0,68.0,100,100,100
2349.0,80.0,100,100,100
2389.0,60.0,100,100,100
2437.0,76.0,100,100,100
2476.0,163.0,100,100,100
2506.0,167.0,100,100,100
2535.0,165.0,100,100,100
2567.0,64.0,100,100,100
2598.0,63.0,100,100,100
2643.0,56.0,100,100,100
2683.0,54.0,100,100,100
2721.0,62.0,100,100,100
2761.0,66.0,100,100,100
2795.0,50.0,100,100,100
2828.0,49.0,100,100,100
2859.0,65.0,100,100,100
2891.0,50.0,100,100,100
2924.0,66.0,100,100,100
2957.0,78.0,100,100,100
2992.0,68.0,100,100,100
3022.0,81.0,100,100,100
3057.0,78.0,100,100,100
3090.0,50.0,100,100,100
3124.0,63.0,100,100,100
3156.0,49.0,100,100,100
3186.0,135.0,100,100,100
3219.0,57.0,100,100,100
3249.0,55.0,100,100,100
3282.0,53.0,100,100,100
3327.0,49.0,100,100,100
3362.0,53.0,100,100,100
3398.0,48.0,100,100,100
3434.0,61.0,100,100,100
3470.0,55.0,100,100,100
3506.0,67.0,100,100,100
3540.0,68.0,100,100,100
3573.0,66.0,100,100,100
3605.0,64.0,100,100,100
3638.0,57.0,100,100,100
3668.0,72.0,100,100,100
3705.0,85.0,100,100,100
3739.0,65.0,100,100,100
3771.0,77.0,100,100,100
3805.0,73.0,100,100,100
3841.0,67.0,100,100,100
3882.0,82.0,100,100,100
3922.0,67.0,100,100,100
3957.0,66.0,100,100,100
3995.0,79.0,100,100,100
4035.0,84.0,100,100,100
4078.0,47.0,100,100,100
4119.0,76.0,100,100,100
4161.0,71.0,100,100,100
4200.0,62.0,100,100,100
4238.0,54.0,100,100,100
4285.0,68.0,100,100,100
4320.0,69.0,100,100,100
4346.0,75.0,100,100,100
4372.0,46.0,100,100,100
4400.0,78.0,100,100,100
4432.0,66.0,100,100,100
4462.0,62.0,100,100,100
4494.0,76.0,100,100,100
4525.0,63.0,100,100,100
4552.0,74.0,100,100,100
4582.0,73.0,100,100,100
4610.0,76.0,100,100,100
4633.0,78.0,100,100,100
4656.0,76.0,100,100,100
4678.0,72.0,100,100,100
4701.0,67.0,100,100,100
4724.0,66.0,100,100,100
4749.0,60.0,100,100,100
4777.0,82.0,100,100,100
4804.0,62.0,100,100,100
4831.0,78.0,100,100,100
4860.0,67.0,100,100,100
4893.0,73.0,100,100,100
4924.0,57.0,100,100,100
4955.0,58.0,100,100,100
4988.0,60.0,100,100,100
5020.0,75.0,100,100,100
5053.0,72.0,100,100,100
5086.0,45.0,100,100,100
5120.0,60.0,100,100,100
5151.0,130.0,100,100,100
5181.0,175.0,100,100,100
5210.0,76.0,100,100,100
5238.0,76.0,100,100,100
5270.0,57.0,100,100,100
5307.0,18.0,100,100,100
5343.0,16.0,100,100,100
5377.0,159.0,100,100,100
5409.0,180.0,100,100,100
5439.0,172.0,100,100,100
5468.0,191.0,100,100,100
5498.0,68.0,100,100,100
5525.0,81.0,100,100,100
5552.0,24.0,100,100,100
5578.0,169.0,100,100,100
5606.0,166.0,100,100,100
