Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
497.0,94.0,100,100.0,100
698.0,38.0,100,100.0,100
866.0,136.0,100,100.0,100
988.0,114.0,100,100.0,100
1042.0,0.0,100,100.0,100
1098.0,34.0,100,25.0,100
1169.0,32.0,100,100.0,100
1239.0,33.0,100,100.0,100
1262.0,101.0,100,100.0,100
1281.0,0.0,100,100.0,100
1376.0,42.0,100,100.0,100
1463.0,35.0,100,25.0,100
1522.0,93.0,100,25.0,100
1562.0,0.0,100,100.0,100
1622.0,33.0,100,100.0,100
1746.0,32.0,100,100.0,100
1843.0,30.0,100,25.0,100
1949.0,32.0,100,100.0,100
2072.0,36.0,100,25.0,100
2183.0,32.0,100,100.0,100
2279.0,36.0,100,25.0,100
2390.0,35.0,100,100.0,100
2505.0,40.0,100,100.0,100
2661.0,32.0,100,100.0,100
2771.0,34.0,100,100.0,100
2902.0,38.0,100,100.0,100
3024.0,34.0,100,100.0,100
3160.0,27.0,100,100.0,100
3296.0,36.0,100,100.0,100
3440.0,35.0,100,100.0,100
3578.0,29.0,100,25.0,100
3737.0,33.0,100,100.0,100
3871.0,38.0,100,100.0,100
4013.0,36.0,100,25.0,100
4145.0,38.0,100,100.0,100
4272.0,33.0,100,25.0,100
4412.0,37.0,100,25.0,100
4547.0,40.0,100,100.0,100
4672.0,32.0,100,100.0,100
4788.0,38.0,100,100.0,100
4942.0,38.0,100,100.0,100
5075.0,39.0,100,100.0,100
5225.0,29.0,100,25.0,100
5357.0,33.0,100,25.0,100
5509.0,41.0,100,100.0,100
5655.0,34.0,100,25.0,100
5797.0,43.0,100,100.0,100
5943.0,33.0,100,25.0,100
6107.0,36.0,100,100.0,100
6277.0,43.0,100,100.0,100
6455.0,33.0,100,100.0,100
6626.0,35.0,100,100.0,100
6814.0,31.0,100,100.0,100
6980.0,32.0,100,100.0,100
7156.0,36.0,100,25.0,100
7341.0,36.0,100,25.0,100
7524.0,32.0,100,25.0,100
7698.0,33.0,100,100.0,100
7894.0,38.0,100,25.0,100
8088.0,39.0,100,25.0,100
8293.0,42.0,100,100.0,100
8494.0,40.0,100,100.0,100
8699.0,42.0,100,25.0,100
8897.0,37.0,100,100.0,100
9104.0,37.0,100,25.0,100
9316.0,34.0,100,100.0,100
9521.0,36.0,100,100.0,100
9742.0,39.0,100,100.0,100
9961.0,41.0,100,25.0,100
10182.0,37.0,100,100.0,100
10412.0,42.0,100,100.0,100
10634.0,36.0,100,25.0,100
10874.0,47.0,100,100.0,100
11095.0,31.0,100,25.0,100
11308.0,0.0,100,100.0,100
11532.0,76.0,100,25.0,100
11752.0,81.0,100,100.0,100
11989.0,75.0,100,25.0,100
12220.0,79.0,100,25.0,100
12456.0,84.0,100,25.0,100
12691.0,64.0,100,25.0,100
12936.0,68.0,100,25.0,100
13194.0,45.0,100,100.0,100
13448.0,36.0,100,25.0,100
13699.0,38.0,100,100.0,100
13946.0,62.0,100,100.0,100
14197.0,132.0,100,100.0,100
14448.0,63.0,100,25.0,100
14718.0,87.0,100,100.0,100
14984.0,70.0,100,25.0,100
15254.0,85.0,100,25.0,100
15525.0,84.0,100,25.0,100
15802.0,0.0,100,100.0,100
16076.0,0.0,100,100.0,100
16346.0,64.0,100,25.0,100
16622.0,62.0,100,25.0,100
16888.0,69.0,100,25.0,100
17173.0,79.0,100,25.0,100
17466.0,78.0,100,25.0,100
17767.0,75.0,100,25.0,100
18046.0,76.0,100,100.0,100
18324.0,73.0,100,25.0,100
18606.0,69.0,100,100.0,100
18898.0,74.0,100,25.0,100
19179.0,76.0,100,25.0,100
19478.0,81.0,100,25.0,100
19764.0,66.0,100,25.0,100
20043.0,61.0,100,25.0,100
20324.0,88.0,100,25.0,100
20626.0,83.0,100,25.0,100
20914.0,81.0,100,25.0,100
21193.0,63.0,100,25.0,100
21477.0,83.0,100,100.0,100
21759.0,64.0,100,25.0,100
22048.0,67.0,100,25.0,100
22334.0,69.0,100,25.0,100
22642.0,68.0,100,25.0,100
22933.0,84.0,100,25.0,100
23222.0,64.0,100,25.0,100
23512.0,80.0,100,100.0,100
23807.0,58.0,100,25.0,100
24099.0,62.0,100,25.0,100
24381.0,89.0,100,25.0,100
24676.0,79.0,100,25.0,100
24983.0,68.0,100,25.0,100
25265.0,70.0,100,100.0,100
25538.0,73.0,100,25.0,100
25805.0,87.0,100,25.0,100
26101.0,80.0,100,25.0,100
26404.0,60.0,100,25.0,100
26728.0,82.0,100,100.0,100
27035.0,53.0,100,25.0,100
27344.0,81.0,100,100.0,100
27652.0,57.0,100,25.0,100
27963.0,63.0,100,25.0,100
28276.0,74.0,100,100.0,100
28590.0,63.0,100,100.0,100
28898.0,58.0,100,25.0,100
29210.0,86.0,100,25.0,100
29517.0,76.0,100,100.0,100
29824.0,50.0,100,25.0,100
30123.0,87.0,100,25.0,100
30422.0,79.0,100,25.0,100
30714.0,74.0,100,25.0,100
31000.0,87.0,100,100.0,100
31297.0,73.0,100,25.0,100
31605.0,78.0,100,25.0,100
31897.0,67.0,100,25.0,100
32174.0,70.0,100,100.0,100
32477.0,74.0,100,100.0,100
32783.0,63.0,100,25.0,100
33094.0,74.0,100,100.0,100
33406.0,74.0,100,25.0,100
33718.0,78.0,100,25.0,100
34025.0,75.0,100,25.0,100
34327.0,57.0,100,25.0,100
34634.0,79.0,100,25.0,100
34787.0,117.0,100,100.0,100
34936.0,0.0,100,100.0,100
35238.0,33.0,100,25.0,100
35529.0,42.0,100,25.0,100
35810.0,33.0,100,25.0,100
36075.0,33.0,100,25.0,100
36315.0,39.0,100,100.0,100
36558.0,36.0,100,25.0,100
36788.0,36.0,100,100.0,100
37008.0,32.0,100,25.0,100
37216.0,43.0,100,25.0,100
37426.0,39.0,100,25.0,100
37605.0,39.0,100,25.0,100
37697.0,0.0,100,100.0,100
37792.0,28.0,100,100.0,100
37964.0,39.0,100,25.0,100
38155.0,45.0,100,100.0,100
38247.0,126.0,100,100.0,100
38328.0,34.0,100,100.0,100
38496.0,45.0,100,100.0,100
38643.0,47.0,100,25.0,100
38722.0,0.0,100,100.0,100
38800.0,34.0,100,100.0,100
38935.0,51.0,100,100.0,100
39072.0,49.0,100,100.0,100
39142.0,108.0,100,100.0,100
39207.0,49.0,100,100.0,100
39323.0,55.0,100,100.0,100
39384.0,0.0,100,100.0,100
39443.0,45.0,100,100.0,100
39560.0,50.0,100,100.0,100
39622.0,0.0,100,100.0,100
39683.0,38.0,100,100.0,100
39783.0,54.0,100,25.0,100
39836.0,0.0,100,100.0,100
39884.0,0.0,100,100.0,100
39991.0,0.0,100,100.0,100
40089.0,30.0,100,100.0,100
40132.0,77.0,100,100.0,100
40175.0,119.0,100,100.0,100
40240.0,34.0,100,100.0,100
40270.0,0.0,100,100.0,100
40307.0,0.0,100,100.0,100
40365.0,36.0,100,100.0,100
40399.0,0.0,100,100.0,100
40437.0,69.0,100,25.0,100
40501.0,0.0,100,100.0,100
40537.0,0.0,100,100.0,100
40563.0,58.0,100,25.0,100
40646.0,36.0,100,100.0,100
40679.0,0.0,100,100.0,100
40710.0,51.0,100,25.0,100
40777.0,0.0,100,100.0,100
40804.0,0.0,100,100.0,100
40840.0,54.0,100,25.0,100
40926.0,0.0,100,100.0,100
40961.0,0.0,100,100.0,100
41002.0,51.0,100,25.0,100
41098.0,0.0,100,100.0,100
41170.0,58.0,100,25.0,100
41214.0,72.0,100,100.0,100
41248.0,43.0,100,25.0,100
41324.0,0.0,100,100.0,100
41361.0,0.0,100,100.0,100
41395.0,60.0,100,25.0,100
41478.0,146.0,100,100.0,100
41519.0,0.0,100,100.0,100
41561.0,40.0,100,25.0,100
41653.0,0.0,100,100.0,100
41685.0,0.0,100,100.0,100
41734.0,51.0,100,25.0,100
41816.0,74.0,100,25.0,100
41853.0,150.0,100,100.0,100
41901.0,65.0,100,25.0,100
41980.0,27.0,100,100.0,100
42011.0,84.0,100,100.0,100
42051.0,135.0,100,100.0,100
42126.0,30.0,100,25.0,100
42156.0,0.0,100,100.0,100
42192.0,76.0,100,25.0,100
42281.0,68.0,100,25.0,100
42316.0,0.0,100,100.0,100
42368.0,0.0,100,100.0,100
42450.0,37.0,100,25.0,100
42489.0,0.0,100,100.0,100
42539.0,45.0,100,25.0,100
42608.0,122.0,100,100.0,100
42650.0,0.0,100,100.0,100
42693.0,145.0,100,100.0,100
42774.0,127.0,100,100.0,100
42822.0,0.0,100,100.0,100
42879.0,56.0,100,25.0,100
42975.0,40.0,100,100.0,100
43037.0,57.0,100,25.0,100
43071.0,0.0,100,100.0,100
43100.0,64.0,100,25.0,100
43186.0,0.0,100,100.0,100
43229.0,0.0,100,100.0,100
43273.0,128.0,100,100.0,100
43356.0,34.0,100,25.0,100
43400.0,87.0,100,100.0,100
43443.0,0.0,100,100.0,100
43529.0,0.0,100,100.0,100
43630.0,144.0,100,100.0,100
43681.0,0.0,100,100.0,100
43727.0,0.0,100,100.0,100
43816.0,144.0,100,100.0,100
43867.0,107.0,100,100.0,100
43920.0,43.0,100,25.0,100
44004.0,55.0,100,25.0,100
44044.0,0.0,100,100.0,100
44087.0,0.0,100,100.0,100
44173.0,134.0,100,100.0,100
44226.0,0.0,100,100.0,100
44271.0,0.0,100,100.0,100
44355.0,41.0,100,25.0,100
44442.0,141.0,100,100.0,100
44487.0,0.0,100,100.0,100
44527.0,136.0,100,100.0,100
44613.0,35.0,100,100.0,100
44661.0,0.0,100,100.0,100
44717.0,61.0,100,25.0,100
44801.0,62.0,100,25.0,100
44846.0,0.0,100,100.0,100
44889.0,121.0,100,100.0,100
44974.0,32.0,100,25.0,100
45017.0,104.0,100,100.0,100
45056.0,0.0,100,100.0,100
45146.0,0.0,100,100.0,100
45193.0,0.0,100,100.0,100
45232.0,0.0,100,100.0,100
45316.0,34.0,100,25.0,100
45362.0,62.0,100,100.0,100
45405.0,33.0,100,100.0,100
45493.0,34.0,100,25.0,100
45577.0,63.0,100,25.0,100
45612.0,91.0,100,100.0,100
45664.0,0.0,100,100.0,100
45746.0,31.0,100,100.0,100
45789.0,95.0,100,100.0,100
45830.0,0.0,100,100.0,100
45915.0,33.0,100,100.0,100
45958.0,0.0,100,100.0,100
46003.0,34.0,100,100.0,100
46076.0,0.0,100,100.0,100
46111.0,0.0,100,100.0,100
46142.0,52.0,100,25.0,100
46230.0,34.0,100,100.0,100
46272.0,0.0,100,100.0,100
46308.0,52.0,100,25.0,100
46389.0,0.0,100,100.0,100
46427.0,103.0,100,100.0,100
46466.0,59.0,100,25.0,100
46554.0,0.0,100,100.0,100
46600.0,113.0,100,100.0,100
46642.0,67.0,100,25.0,100
46725.0,36.0,100,25.0,100
46763.0,110.0,100,100.0,100
46794.0,0.0,100,100.0,100
46868.0,39.0,100,25.0,100
46899.0,0.0,100,100.0,100
46931.0,56.0,100,25.0,100
47013.0,34.0,100,25.0,100
47048.0,0.0,100,100.0,100
47088.0,63.0,100,25.0,100
