Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
77.0,0.0,100,100,100
316.0,4.0,100,100.0,0.05
564.0,2.0,100,100.0,10.0
633.0,2.0,100,100.0,10.0
856.0,0.0,100,100.0,10.0
958.0,0.0,100,100.0,10.0
1089.0,0.0,100,100.0,10.0
1240.0,0.0,100,100.0,10.0
1317.0,0.0,100,100.0,10.0
1319.0,77.0,100,100.0,10.0
1320.0,64.0,100,100.0,10.0
1321.0,68.0,100,100.0,10.0
1322.0,35.0,100,100.0,10.0
1323.0,35.0,100,100.0,10.0
1324.0,33.0,100,100.0,10.0
1325.0,34.0,100,100.0,10.0
1326.0,34.0,100,100.0,10.0
1327.0,34.0,100,100.0,10.0
1328.0,34.0,100,100.0,10.0
1329.0,33.0,100,100.0,10.0
1330.0,34.0,100,100.0,10.0
1331.0,34.0,100,100.0,10.0
1332.0,38.0,100,100.0,10.0
1333.0,33.0,100,100.0,10.0
1334.0,34.0,100,100.0,10.0
1335.0,34.0,100,100.0,10.0
1336.0,34.0,100,100.0,10.0
1337.0,34.0,100,100.0,10.0
1338.0,38.0,100,100.0,10.0
1339.0,38.0,100,100.0,10.0
1340.0,36.0,100,100.0,10.0
1341.0,35.0,100,100.0,10.0
1341.0,35.0,100,100.0,10.0
1342.0,37.0,100,100.0,10.0
1343.0,38.0,100,100.0,10.0
1344.0,38.0,100,100.0,10.0
1345.0,37.0,100,100.0,10.0
1346.0,37.0,100,100.0,10.0
1347.0,37.0,100,100.0,10.0
1348.0,35.0,100,100.0,10.0
1348.0,37.0,100,25.0,10.0
1349.0,34.0,100,100.0,10.0
1350.0,38.0,100,100.0,10.0
1351.0,36.0,100,100.0,10.0
1352.0,40.0,100,100.0,10.0
1353.0,37.0,100,100.0,10.0
1353.0,36.0,100,100.0,10.0
1354.0,37.0,100,100.0,10.0
1355.0,37.0,100,100.0,10.0
1356.0,41.0,100,100.0,10.0
1357.0,37.0,100,100.0,10.0
1358.0,36.0,100,100.0,10.0
1359.0,38.0,100,100.0,10.0
1360.0,39.0,100,100.0,10.0
1361.0,37.0,100,100.0,10.0
1361.0,40.0,100,25.0,10.0
1362.0,34.0,100,100.0,10.0
1363.0,39.0,100,100.0,10.0
1364.0,37.0,100,100.0,10.0
1365.0,37.0,100,100.0,10.0
1366.0,38.0,100,100.0,10.0
1366.0,37.0,100,100.0,10.0
1367.0,36.0,100,100.0,10.0
1368.0,39.0,100,100.0,10.0
1369.0,35.0,100,100.0,10.0
