Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,0
0,0,100,100,100
75.0,0.0,100,100,100
118.0,25.0,100,100.0,0.05
127.0,59.0,100,100.0,11.2
295.0,0.0,100,100.0,31.6
359.0,2.0,100,100.0,10.0
433.0,1.0,100,100.0,10.0
458.0,6.0,100,100.0,10.0
464.0,27.0,100,100.0,10.0
488.0,1.0,100,100.0,10.0
500.0,3.0,100,100.0,10.0
511.0,3.0,100,100.0,10.0
523.0,28.0,100.0,100.0,10.0
581.0,13.0,100.0,100.0,10.0
617.0,3.0,100.0,100.0,10.0
662.0,2.0,100.0,100.0,10.0
679.0,8.0,100.0,100.0,10.0
700.0,4.0,100.0,100.0,10.0
711.0,7.0,100.0,100.0,10.0
730.0,16.0,100.0,100.0,10.0
734.0,60.0,100.0,100.0,10.0
756.0,10.0,100.0,100.0,11.6
784.0,4.0,100.0,100.0,10.0
822.0,2.0,100.0,100.0,10.0
839.0,21.0,113.28,100.0,10.0
845.0,286.0,113.28,100.0,10.0
858.0,3.0,113.28,100.0,102.0
867.0,15.0,113.28,100.0,10.0
887.0,8.0,113.28,100.0,10.0
904.0,13.0,113.28,100.0,10.0
916.0,21.0,117.19,100.0,10.0
931.0,63.0,117.19,100.0,10.0
951.0,20.0,114.06,25.0,35.6
965.0,147.0,114.06,100.0,35.6
971.0,12.0,114.06,100.0,99.2
978.0,12.0,114.06,100.0,10.0
985.0,55.0,114.06,100.0,10.0
1002.0,20.0,118.75,25.0,15.2
1009.0,360.0,118.75,100.0,15.2
1028.0,34.0,115.62,100.0,147.2
1033.0,186.0,115.62,100.0,147.2
1046.0,0.0,114.06,100.0,55.6
1052.0,102.0,114.06,100.0,55.6
1058.0,39.0,114.06,100.0,31.6
1065.0,14.0,114.06,100.0,10.0
1070.0,19.0,114.06,25.0,10.0
1076.0,14.0,114.06,100.0,10.0
1083.0,13.0,114.06,100.0,10.0
1090.0,11.0,114.06,100.0,10.0
1096.0,13.0,114.06,100.0,10.0
1103.0,12.0,114.06,100.0,10.0
1116.0,21.0,114.06,100.0,10.0
1122.0,11.0,114.06,100.0,10.0
1127.0,31.0,114.06,100.0,10.0
1131.0,23.0,114.06,100.0,10.0
1137.0,26.0,114.06,100.0,10.0
1143.0,13.0,114.06,100.0,10.0
1149.0,13.0,114.06,100.0,10.0
1155.0,15.0,114.06,100.0,10.0
1161.0,12.0,114.06,100.0,10.0
1175.0,18.0,114.06,100.0,10.0
1182.0,16.0,114.06,100.0,10.0
1187.0,23.0,114.06,100.0,10.0
1193.0,13.0,114.06,100.0,10.0
1200.0,53.0,114.06,100.0,10.0
1206.0,49.0,114.06,100.0,14.4
1212.0,21.0,114.06,100.0,10.8
1217.0,23.0,114.06,100.0,10.0
1224.0,20.0,114.06,25.0,10.0
1228.0,27.0,114.06,100.0,10.0
1234.0,25.0,114.06,100.0,10.0
1238.0,37.0,114.06,100.0,10.0
1242.0,39.0,114.06,100.0,10.0
1249.0,44.0,114.06,100.0,10.0
1255.0,67.0,114.06,100.0,10.4
1261.0,15.0,114.06,100.0,18.0
1271.0,9.0,114.06,100.0,10.0
1275.0,23.0,114.06,100.0,10.0
1281.0,16.0,114.06,100.0,10.0
1286.0,31.0,114.06,100.0,10.0
1291.0,52.0,114.06,100.0,10.0
1296.0,23.0,114.06,100.0,10.8
1301.0,29.0,114.06,100.0,10.0
1305.0,32.0,114.06,100.0,10.0
1309.0,22.0,114.06,100.0,10.0
1313.0,27.0,114.06,100.0,10.0
1317.0,18.0,114.06,100.0,10.0
1322.0,14.0,114.06,100.0,10.0
1326.0,16.0,114.06,100.0,10.0
1330.0,16.0,114.06,100.0,10.0
1334.0,15.0,114.06,100.0,10.0
1339.0,16.0,114.06,100.0,10.0
1343.0,16.0,114.06,100.0,10.0
1347.0,16.0,114.06,100.0,10.0
1351.0,15.0,114.06,100.0,10.0
1355.0,14.0,114.06,100.0,10.0
1360.0,13.0,114.06,100.0,10.0
1365.0,50.0,114.06,100.0,10.0
1369.0,23.0,114.06,100.0,10.4
1375.0,44.0,114.06,100.0,10.0
1379.0,23.0,114.06,100.0,10.0
1385.0,54.0,114.06,100.0,10.0
1391.0,47.0,114.06,100.0,13.2
1397.0,53.0,114.06,100.0,10.4
1401.0,26.0,114.06,100.0,12.4
1406.0,52.0,114.06,100.0,10.0
1410.0,25.0,114.06,100.0,10.8
1416.0,48.0,114.06,100.0,10.0
1420.0,25.0,114.06,100.0,10.8
1425.0,26.0,114.06,100.0,10.0
1429.0,30.0,114.06,100.0,10.0
1435.0,44.0,114.06,100.0,10.0
1441.0,12.0,114.06,100.0,10.0
1445.0,16.0,114.06,100.0,10.0
1452.0,49.0,114.06,100.0,10.0
1458.0,50.0,114.06,100.0,12.8
1462.0,17.0,114.06,100.0,11.6
1466.0,30.0,114.06,100.0,10.0
1470.0,25.0,114.06,100.0,10.0
1474.0,27.0,114.06,100.0,10.0
1478.0,17.0,114.06,100.0,10.0
1484.0,42.0,114.06,100.0,10.0
1489.0,18.0,114.06,100.0,10.0
1494.0,35.0,114.06,100.0,10.0
1498.0,20.0,114.06,25.0,10.0
1503.0,17.0,114.06,100.0,10.0
1506.0,34.0,114.06,100.0,10.0
1511.0,65.0,114.06,100.0,10.0
1515.0,42.0,114.06,100.0,15.2
1519.0,24.0,114.06,100.0,10.0
1523.0,26.0,114.06,100.0,10.0
1528.0,17.0,114.06,100.0,10.0
1533.0,47.0,114.06,100.0,10.0
1538.0,18.0,114.06,100.0,10.0
1542.0,21.0,114.06,100.0,10.0
1546.0,24.0,114.06,100.0,10.0
1551.0,26.0,114.06,100.0,10.0
1555.0,26.0,114.06,100.0,10.0
1559.0,30.0,114.06,100.0,10.0
1565.0,60.0,114.06,100.0,10.0
1571.0,61.0,114.06,100.0,15.6
1576.0,31.0,114.06,100.0,15.6
1580.0,20.0,114.06,25.0,10.0
1585.0,14.0,114.06,100.0,10.0
1591.0,46.0,114.06,100.0,10.0
1596.0,42.0,114.06,100.0,10.0
1602.0,25.0,114.06,100.0,10.0
1607.0,77.0,114.06,100.0,10.0
1613.0,71.0,114.06,100.0,19.2
1617.0,46.0,114.06,100.0,19.2
1622.0,26.0,114.06,100.0,10.0
1633.0,6.0,114.06,100.0,10.0
1637.0,19.0,114.06,25.0,10.0
1644.0,9.0,114.06,100.0,10.0
1652.0,43.0,114.06,100.0,10.0
1664.0,34.0,114.06,100.0,11.2
1671.0,23.0,114.06,100.0,10.0
1675.0,43.0,114.06,100.0,10.0
1679.0,44.0,114.06,100.0,10.0
1684.0,57.0,114.06,100.0,10.0
1688.0,67.0,114.06,100.0,12.4
1693.0,71.0,114.06,100.0,13.2
1699.0,43.0,114.06,100.0,16.8
1704.0,55.0,114.06,100.0,10.0
1710.0,49.0,114.06,100.0,11.6
