Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
79.0,0.0,100,100,100
119.0,27.0,100,100.0,0.05
133.0,38.0,100,100.0,14.8
618.0,0.0,100,100.0,28.0
726.0,8.0,100,100.0,10.0
811.0,1.0,100,100.0,10.0
835.0,6.0,100,100.0,10.0
843.0,20.0,100,25.0,10.0
868.0,2.0,100,100.0,10.0
880.0,4.0,100,100.0,10.0
892.0,3.0,100,100.0,10.0
903.0,30.0,100.0,100.0,10.0
1303.0,1.0,100.0,100.0,10.0
1338.0,3.0,100.0,100.0,10.0
1396.0,3.0,100.0,100.0,10.0
1412.0,8.0,100.0,100.0,10.0
1428.0,8.0,100.0,100.0,10.0
1443.0,10.0,100.0,100.0,10.0
1452.0,10.0,100.0,100.0,10.0
1456.0,19.0,100.0,25.0,10.0
1475.0,4.0,100.0,100.0,10.0
1482.0,31.0,100.0,100.0,10.0
1540.0,4.0,100.0,100.0,10.0
1563.0,21.0,107.81,100.0,10.0
1573.0,87.0,107.81,100.0,10.0
1580.0,7.0,107.81,100.0,39.2
1597.0,2.0,107.81,100.0,10.0
1620.0,2.0,107.81,100.0,10.0
1634.0,13.0,107.81,100.0,10.0
1648.0,42.0,107.81,100.0,10.0
1652.0,164.0,107.81,100.0,10.0
1667.0,21.0,104.69,100.0,42.0
1675.0,240.0,104.69,100.0,42.0
1692.0,45.0,102.34,100.0,106.8
1696.0,504.0,102.34,100.0,106.8
1707.0,36.0,100.0,100.0,142.0
1719.0,90.0,100.0,100.0,142.0
1725.0,130.0,100.0,100.0,142.0
1738.0,82.0,100.0,100.0,42.0
1743.0,85.0,100.0,100.0,42.0
1755.0,85.0,100.0,100.0,21.2
1760.0,182.0,100.0,100.0,21.2
1772.0,83.0,100.0,100.0,54.4
1777.0,99.0,100.0,100.0,54.4
1787.0,33.0,100.0,100.0,26.0
1793.0,151.0,100.0,100.0,26.0
1804.0,79.0,100.0,100.0,50.8
1809.0,106.0,100.0,100.0,50.8
1820.0,34.0,100.0,100.0,28.4
1826.0,164.0,100.0,100.0,28.4
1836.0,98.0,100.0,100.0,55.6
1843.0,90.0,100.0,100.0,55.6
1854.0,115.0,100.0,100.0,30.0
1859.0,219.0,100.0,100.0,30.0
1859.0,219.0,100.0,100.0,66.4
1871.0,100.0,100.0,100.0,66.4
1875.0,185.0,100.0,100.0,66.4
1875.0,185.0,100.0,100.0,47.2
1881.0,45.0,100.0,100.0,47.2
1890.0,89.0,100.0,100.0,47.2
1890.0,89.0,100.0,100.0,36.8
1901.0,115.0,100.0,100.0,36.8
1907.0,61.0,100.0,100.0,36.8
1907.0,61.0,100.0,100.0,14.8
1922.0,116.0,100.0,100.0,14.8
1928.0,68.0,100.0,100.0,14.8
1940.0,0.0,100.0,100.0,17.6
1951.0,184.0,24946.09,100.0,17.6
1955.0,183.0,24946.09,100.0,17.6
