Time,GC Util
0,0
0,0
19,0
19,0
43,15
43,15
55,13
55,13
116,2
116,2
151,5
151,5
196,2
196,2
217,7
217,7
232,10
232,10
282,2
282,2
340,1
340,1
399,1
399,1
418,71
418,71
429,17
429,17
447,5
447,5
526,1
526,1
549,4
549,4
566,5
566,5
579,8
579,8
587,38
587,38
591,67
591,67
618,10
618,10
660,2
660,2
697,2
697,2
697,2
765,1
765,1
843,0
845,76
845,76
904,2
904,2
935,5
935,5
940,34
940,34
965,12
965,12
1018,4
1018,4
1069,1
1069,1
1126,1
1126,1
1184,1
1184,1
1263,3
1263,3
1310,2
1310,2
1319,13
1319,13
1324,17
1324,17
1328,25
1328,25
1334,35
1334,35
1341,41
1341,41
1346,20
1346,20
1354,23
1354,23
1363,9
1363,9
1372,9
1372,9
1383,8
1383,8
1391,13
1391,13
1398,22
1398,22
1398,22
1406,27
1406,27
1415,19
1418,139
1418,139
1425,16
1425,16
1433,19
1433,19
1445,16
1445,16
1458,7
1458,7
1468,15
1468,15
1482,16
1482,16
1489,29
1489,29
1505,27
1505,27
1515,26
1515,26
1539,14
1539,14
1551,22
1551,22
1562,44
1562,44
1573,41
1573,41
1583,41
1583,41
1583,41
1595,35
1595,35
1609,23
1614,230
1614,230
1627,18
1627,18
1644,11
1644,11
1655,27
1655,27
1668,37
1668,37
1680,24
1680,24
1694,27
1694,27
1709,42
1709,42
1724,33
1724,33
1738,21
1738,21
1752,29
1752,29
1765,30
1765,30
1780,28
1780,28
1795,44
1795,44
1810,31
1810,31
1833,23
1833,23
1854,22
1854,22
1876,27
1876,27
1876,27
1897,27
1897,27
1918,22
1924,227
1924,227
1942,12
1942,12
1962,30
1962,30
1983,23
1983,23
2009,21
2009,21
2035,20
2035,20
2060,16
2060,16
2085,17
2085,17
2112,18
2112,18
2142,17
2142,17
2170,20
2170,20
2197,15
2197,15
2228,14
2228,14
2259,14
2259,14
2292,11
2292,11
2326,12
2326,12
2367,13
2367,13
2408,10
2408,10
2450,10
2450,10
2487,11
2487,11
2527,13
2527,13
2559,12
2559,12
2591,13
2591,13
2621,21
2621,21
2656,10
2656,10
2697,6
2697,6
2736,7
2736,7
2773,10
2773,10
2773,10
2815,12
2815,12
2854,7
2854,7
2888,15
2896,232
2896,232
2925,8
2925,8
2954,14
2954,14
2983,14
2983,14
3012,22
3012,22
3064,10
3064,10
3120,5
3120,5
3177,8
3177,8
3234,10
3234,10
3293,7
3293,7
3351,6
3351,6
3377,15
3377,15
3399,9
3399,9
3418,20
3418,20
3438,23
3438,23
3456,20
3456,20
3476,19
3476,19
3497,21
3497,21
3521,20
3521,20
3543,21
3543,21
3564,16
3564,16
3564,16
3588,16
3588,16
3619,19
3624,236
3624,236
3647,9
3647,9
3676,14
3676,14
3700,19
3700,19
3726,18
3726,18
3758,17
3758,17
3794,19
3794,19
3829,9
3829,9
3863,12
3863,12
3897,14
3897,14
3940,12
3940,12
3980,11
3980,11
4028,11
4028,11
4076,11
4076,11
4120,10
4120,10
4156,8
4156,8
4197,11
4197,11
4234,15
4234,15
4272,13
4272,13
4310,12
4310,12
4342,16
4342,16
4375,15
4375,15
4420,12
4420,12
4420,12
4462,14
4462,14
4508,11
4511,158
4511,158
4552,3
4552,3
4601,8
4601,8
4650,9
4650,9
4696,10
4696,10
4731,10
4731,10
4767,13
4767,13
4800,15
4800,15
4831,14
4831,14
4861,17
4861,17
4895,16
4895,16
4929,17
4929,17
4960,18
4960,18
4992,16
4992,16
5028,16
5028,16
5062,15
5062,15
5099,13
5099,13
5130,14
5130,14
5166,14
5166,14
5201,14
5201,14
5230,14
5230,14
5258,20
5258,20
5283,21
5283,21
5312,18
5312,18
5341,17
5341,17
5374,15
5374,15
5409,12
5409,12
5449,10
5449,10
5488,10
5488,10
5524,11
5524,11
5562,10
5562,10
5601,10
5601,10
5640,13
5640,13
5682,12
5682,12
5720,8
5720,8
5754,11
5754,11
5788,17
5788,17
5825,14
5825,14
5867,11
5867,11
5908,10
5908,10
5948,12
5948,12
5984,15
5984,15
6021,14
6021,14
6056,16
6056,16
6091,14
6091,14
6125,15
6125,15
6159,15
