Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
80.0,0.0,100,100,100
111.0,36.0,100,100.0,0.05
124.0,39.0,100,100.0,25.6
184.0,3.0,100,100.0,38.4
253.0,2.0,100,100.0,10.0
333.0,1.0,100,100.0,10.0
364.0,5.0,100,100.0,10.0
369.0,26.0,100,100.0,10.0
393.0,2.0,100,100.0,10.0
404.0,4.0,100,100.0,10.0
416.0,3.0,100,100.0,10.0
426.0,27.0,100.0,100.0,10.0
442.0,49.0,100.0,100.0,10.0
480.0,2.0,100.0,100.0,24.8
527.0,3.0,100.0,100.0,10.0
554.0,4.0,100.0,100.0,10.0
573.0,4.0,100.0,100.0,10.0
581.0,11.0,100.0,100.0,10.0
587.0,47.0,100.0,100.0,10.0
595.0,28.0,100.0,100.0,10.0
619.0,3.0,100.0,100.0,10.0
650.0,2.0,100.0,100.0,10.0
686.0,2.0,100.0,100.0,10.0
692.0,10.0,100.0,100.0,10.0
697.0,8.0,100.0,100.0,10.0
713.0,2.0,100.0,100.0,10.0
731.0,10.0,100.0,100.0,10.0
740.0,16.0,100.0,100.0,10.0
754.0,15.0,100.0,100.0,10.0
772.0,0.0,116.41,100.0,10.0
785.0,102.0,116.41,100.0,10.0
796.0,9.0,116.41,100.0,57.6
802.0,13.0,116.41,100.0,10.0
809.0,9.0,116.41,100.0,10.0
815.0,14.0,116.41,100.0,10.0
820.0,16.0,116.41,100.0,10.0
831.0,7.0,116.41,100.0,10.0
835.0,21.0,116.41,100.0,10.0
839.0,27.0,116.41,100.0,10.0
843.0,24.0,116.41,100.0,10.0
846.0,25.0,116.41,100.0,10.0
850.0,25.0,116.41,100.0,10.0
853.0,28.0,116.41,100.0,10.0
858.0,17.0,116.41,100.0,10.0
861.0,25.0,116.41,100.0,10.0
865.0,26.0,116.41,100.0,10.0
869.0,24.0,116.41,100.0,10.0
872.0,22.0,116.41,100.0,10.0
876.0,24.0,116.41,100.0,10.0
880.0,32.0,116.41,100.0,10.0
