Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
82.0,0.0,100,100,100
289.0,5.0,100,100.0,0.05
323.0,75.0,100,100.0,10.0
382.0,4.0,100,100.0,10.0
1308.0,0.0,100,100.0,10.0
1323.0,6.0,100,100.0,10.0
1343.0,4.0,100,100.0,10.0
1381.0,2.0,100,100.0,10.0
1420.0,1.0,100,100.0,10.0
1467.0,1.0,100,100.0,10.0
1519.0,1.0,100,100.0,10.0
1563.0,1.0,100,100.0,10.0
1645.0,1.0,100,100.0,10.0
1696.0,2.0,100,100.0,10.0
1752.0,64.0,101.56,100.0,10.0
2132.0,2.0,101.56,100.0,10.0
2148.0,36.0,101.56,100.0,10.0
2162.0,40.0,101.56,100.0,10.0
2217.0,11.0,101.56,100.0,10.0
2245.0,4.0,101.56,100.0,10.0
2297.0,3.0,101.56,100.0,10.0
2335.0,14.0,101.56,100.0,10.0
2381.0,10.0,101.56,100.0,10.0
2405.0,6.0,101.56,100.0,10.0
2433.0,4.0,101.56,100.0,10.0
2481.0,7.0,101.56,100.0,10.0
2500.0,13.0,123.44,100.0,10.0
2548.0,30.0,123.44,100.0,10.0
2560.0,9.0,123.44,100.0,12.4
2580.0,4.0,123.44,100.0,10.0
2600.0,4.0,123.44,100.0,10.0
2629.0,3.0,123.44,100.0,10.0
2658.0,3.0,123.44,100.0,10.0
2681.0,4.0,123.44,100.0,10.0
2700.0,5.0,123.44,100.0,10.0
2723.0,4.0,123.44,100.0,10.0
2747.0,4.0,123.44,100.0,10.0
2767.0,5.0,123.44,100.0,10.0
2785.0,4.0,123.44,100.0,10.0
2812.0,4.0,123.44,100.0,10.0
2842.0,3.0,123.44,100.0,10.0
2859.0,6.0,123.44,100.0,10.0
2876.0,6.0,123.44,100.0,10.0
2903.0,4.0,123.44,100.0,10.0
2925.0,4.0,123.44,100.0,10.0
2943.0,5.0,123.44,100.0,10.0
2985.0,2.0,123.44,100.0,10.0
3002.0,5.0,123.44,100.0,10.0
3028.0,4.0,123.44,100.0,10.0
3050.0,5.0,123.44,100.0,10.0
3070.0,4.0,123.44,100.0,10.0
3092.0,5.0,123.44,100.0,10.0
3127.0,3.0,123.44,100.0,10.0
3141.0,7.0,123.44,100.0,10.0
3154.0,8.0,123.44,100.0,10.0
3171.0,6.0,123.44,100.0,10.0
3197.0,4.0,123.44,100.0,10.0
3220.0,4.0,123.44,100.0,10.0
3241.0,5.0,123.44,100.0,10.0
3257.0,5.0,123.44,100.0,10.0
3283.0,4.0,123.44,100.0,10.0
3315.0,3.0,123.44,100.0,10.0
3334.0,6.0,123.44,100.0,10.0
3352.0,6.0,123.44,100.0,10.0
3378.0,34.0,123.44,100.0,10.0
3398.0,5.0,123.44,100.0,10.0
3422.0,5.0,123.44,100.0,10.0
3439.0,7.0,123.44,100.0,10.0
3459.0,17.0,123.44,100.0,10.0
3490.0,3.0,123.44,100.0,10.0
3517.0,4.0,123.44,100.0,10.0
3532.0,33.0,123.44,100.0,10.0
3549.0,19.0,123.44,100.0,10.0
3571.0,5.0,123.44,100.0,10.0
3597.0,3.0,123.44,100.0,10.0
3616.0,5.0,123.44,100.0,10.0
3628.0,8.0,123.44,100.0,10.0
3647.0,6.0,123.44,100.0,10.0
3672.0,15.0,123.44,100.0,10.0
3685.0,11.0,123.44,100.0,10.0
3701.0,8.0,123.44,100.0,10.0
3720.0,5.0,123.44,100.0,10.0
3743.0,7.0,123.44,100.0,10.0
3750.0,15.0,123.44,100.0,10.0
3771.0,9.0,123.44,100.0,10.0
3782.0,9.0,123.44,100.0,10.0
3803.0,5.0,123.44,100.0,10.0
3828.0,4.0,123.44,100.0,10.0
3853.0,9.0,123.44,100.0,10.0
3877.0,5.0,123.44,100.0,10.0
3897.0,6.0,123.44,100.0,10.0
3911.0,7.0,123.44,100.0,10.0
3936.0,5.0,123.44,100.0,10.0
3961.0,5.0,123.44,100.0,10.0
3982.0,5.0,123.44,100.0,10.0
4004.0,4.0,123.44,100.0,10.0
4030.0,4.0,123.44,100.0,10.0
4061.0,3.0,123.44,100.0,10.0
4081.0,5.0,123.44,100.0,10.0
4100.0,6.0,123.44,100.0,10.0
4121.0,5.0,123.44,100.0,10.0
4148.0,4.0,123.44,100.0,10.0
4164.0,8.0,123.44,100.0,10.0
4186.0,5.0,123.44,100.0,10.0
4201.0,20.0,123.44,25.0,10.0
4217.0,5.0,123.44,100.0,10.0
4239.0,6.0,123.44,100.0,10.0
4256.0,7.0,123.44,100.0,10.0
4275.0,13.0,123.44,100.0,10.0
4293.0,6.0,123.44,100.0,10.0
4311.0,6.0,123.44,100.0,10.0
4328.0,21.0,123.44,100.0,10.0
4345.0,6.0,123.44,100.0,10.0
4367.0,3.0,123.44,100.0,10.0
4391.0,8.0,123.44,100.0,10.0
4414.0,7.0,123.44,100.0,10.0
4433.0,5.0,123.44,100.0,10.0
4456.0,4.0,123.44,100.0,10.0
4485.0,6.0,123.44,100.0,10.0
4516.0,3.0,123.44,100.0,10.0
4541.0,24.0,123.44,100.0,10.0
4560.0,4.0,123.44,100.0,10.0
4593.0,5.0,123.44,100.0,10.0
4621.0,8.0,123.44,100.0,10.0
4643.0,11.0,123.44,100.0,10.0
4666.0,4.0,123.44,100.0,10.0
4684.0,8.0,123.44,100.0,10.0
4701.0,6.0,123.44,100.0,10.0
4719.0,5.0,123.44,100.0,10.0
4736.0,7.0,123.44,100.0,10.0
4768.0,3.0,123.44,100.0,10.0
4780.0,9.0,123.44,100.0,10.0
4802.0,5.0,123.44,100.0,10.0
4820.0,8.0,123.44,100.0,10.0
4835.0,6.0,123.44,100.0,10.0
4851.0,6.0,123.44,100.0,10.0
4869.0,5.0,123.44,100.0,10.0
4886.0,6.0,123.44,100.0,10.0
4908.0,5.0,123.44,100.0,10.0
4923.0,6.0,123.44,100.0,10.0
4941.0,6.0,123.44,100.0,10.0
4966.0,4.0,123.44,100.0,10.0
4983.0,6.0,123.44,100.0,10.0
5005.0,6.0,123.44,100.0,10.0
5027.0,5.0,123.44,100.0,10.0
5051.0,4.0,123.44,100.0,10.0
5068.0,6.0,123.44,100.0,10.0
5085.0,6.0,123.44,100.0,10.0
5112.0,4.0,123.44,100.0,10.0
5137.0,9.0,123.44,100.0,10.0
5152.0,8.0,123.44,100.0,10.0
5170.0,11.0,123.44,100.0,10.0
5181.0,10.0,123.44,100.0,10.0
5204.0,4.0,123.44,100.0,10.0
5231.0,3.0,123.44,100.0,10.0
5251.0,6.0,123.44,100.0,10.0
5265.0,15.0,123.44,100.0,10.0
5281.0,6.0,123.44,100.0,10.0
5307.0,4.0,123.44,100.0,10.0
5326.0,12.0,123.44,100.0,10.0
5343.0,6.0,123.44,100.0,10.0
5358.0,7.0,123.44,100.0,10.0
5379.0,5.0,123.44,100.0,10.0
5402.0,4.0,123.44,100.0,10.0
5418.0,13.0,123.44,100.0,10.0
5434.0,12.0,123.44,100.0,10.0
5448.0,7.0,123.44,100.0,10.0
5470.0,8.0,123.44,100.0,10.0
5490.0,6.0,123.44,100.0,10.0
5507.0,6.0,123.44,100.0,10.0
5525.0,5.0,123.44,100.0,10.0
5549.0,6.0,123.44,100.0,10.0
5568.0,11.0,123.44,100.0,10.0
5585.0,6.0,123.44,100.0,10.0
5600.0,6.0,123.44,100.0,10.0
5624.0,4.0,123.44,100.0,10.0
5646.0,5.0,123.44,100.0,10.0
5666.0,5.0,123.44,100.0,10.0
5680.0,7.0,123.44,100.0,10.0
5700.0,5.0,123.44,100.0,10.0
5724.0,4.0,123.44,100.0,10.0
5740.0,7.0,123.44,100.0,10.0
5759.0,4.0,123.44,100.0,10.0
5790.0,3.0,123.44,100.0,10.0
5810.0,6.0,123.44,100.0,10.0
5828.0,10.0,123.44,100.0,10.0
5846.0,6.0,123.44,100.0,10.0
5870.0,4.0,123.44,100.0,10.0
5893.0,5.0,123.44,100.0,10.0
5902.0,14.0,123.44,100.0,10.0
5918.0,10.0,123.44,100.0,10.0
5930.0,8.0,123.44,100.0,10.0
5948.0,34.0,123.44,100.0,10.0
5967.0,5.0,123.44,100.0,10.0
5982.0,7.0,123.44,100.0,10.0
5995.0,8.0,123.44,100.0,10.0
6012.0,17.0,123.44,100.0,10.0
6036.0,7.0,123.44,100.0,10.0
6063.0,3.0,123.44,100.0,10.0
6107.0,2.0,123.44,100.0,10.0
6153.0,128.0,123.44,100.0,10.0
6174.0,15.0,123.44,100.0,127.2
6194.0,6.0,123.44,100.0,10.0
6208.0,7.0,123.44,100.0,10.0
6228.0,4.0,123.44,100.0,10.0
6253.0,18.0,123.44,100.0,10.0
6277.0,26.0,123.44,100.0,10.0
6295.0,5.0,123.44,100.0,10.0
6313.0,5.0,123.44,100.0,10.0
6337.0,4.0,123.44,100.0,10.0
6358.0,7.0,123.44,100.0,10.0
6388.0,6.0,123.44,100.0,10.0
6403.0,28.0,123.44,100.0,10.0
6418.0,5.0,123.44,100.0,10.0
6446.0,5.0,123.44,100.0,10.0
6461.0,30.0,123.44,100.0,10.0
6474.0,8.0,123.44,100.0,10.0
6490.0,7.0,123.44,100.0,10.0
6508.0,18.0,123.44,100.0,10.0
6526.0,9.0,123.44,100.0,10.0
6541.0,7.0,123.44,100.0,10.0
6559.0,4.0,123.44,100.0,10.0
6577.0,8.0,123.44,100.0,10.0
6600.0,7.0,123.44,100.0,10.0
6616.0,9.0,123.44,100.0,10.0
6630.0,8.0,123.44,100.0,10.0
6647.0,6.0,123.44,100.0,10.0
6665.0,5.0,123.44,100.0,10.0
6677.0,7.0,123.44,100.0,10.0
6696.0,6.0,123.44,100.0,10.0
6714.0,9.0,123.44,100.0,10.0
