Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
70.0,0.0,100,100,100
123.0,21.0,100,100.0,0.05
137.0,39.0,100,100.0,10.0
281.0,1.0,100,100.0,17.2
302.0,8.0,100,100.0,10.0
323.0,3.0,100,100.0,10.0
333.0,7.0,100,100.0,10.0
357.0,3.0,100,100.0,10.0
379.0,2.0,100,100.0,10.0
411.0,1.0,100,100.0,10.0
453.0,1.0,100,100.0,10.0
478.0,3.0,100,100.0,10.0
535.0,1.0,100,100.0,10.0
589.0,2.0,100,100.0,10.0
622.0,67.0,100.0,100.0,10.0
637.0,43.0,100.0,100.0,10.0
656.0,33.0,100.0,100.0,18.4
661.0,31.0,100.0,100.0,13.2
672.0,52.0,100.0,100.0,10.0
709.0,5.0,100.0,100.0,19.2
757.0,5.0,100.0,100.0,10.0
826.0,1.0,100.0,100.0,10.0
866.0,3.0,100.0,100.0,10.0
876.0,16.0,100.0,100.0,10.0
918.0,3.0,100.0,100.0,10.0
931.0,8.0,100.0,100.0,10.0
944.0,8.0,100.0,100.0,10.0
980.0,12.0,107.81,100.0,10.0
1007.0,112.0,107.81,100.0,10.0
1024.0,4.0,107.81,100.0,129.2
1041.0,5.0,107.81,100.0,10.0
1064.0,4.0,107.81,100.0,10.0
1078.0,7.0,107.81,100.0,10.0
1085.0,14.0,107.81,100.0,10.0
1099.0,7.0,107.81,100.0,10.0
1107.0,11.0,107.81,100.0,10.0
1121.0,6.0,107.81,100.0,10.0
1132.0,7.0,107.81,100.0,10.0
1146.0,6.0,107.81,100.0,10.0
1159.0,7.0,107.81,100.0,10.0
1171.0,8.0,107.81,100.0,10.0
1188.0,6.0,107.81,100.0,10.0
1199.0,11.0,107.81,100.0,10.0
1217.0,5.0,107.81,100.0,10.0
1229.0,8.0,107.81,100.0,10.0
1239.0,8.0,107.81,100.0,10.0
1253.0,7.0,107.81,100.0,10.0
1269.0,5.0,107.81,100.0,10.0
1282.0,7.0,107.81,100.0,10.0
1295.0,8.0,107.81,100.0,10.0
1309.0,7.0,107.81,100.0,10.0
