Time,GC Util
0,0
0,0
20,0
20,0
41,15
41,15
79,4
79,4
237,1
237,1
299,3
299,3
312,6
312,6
322,6
322,6
336,5
336,5
354,4
354,4
381,2
381,2
414,2
414,2
449,2
449,2
488,2
488,2
544,1
544,1
589,3
589,3
610,101
610,101
622,12
622,12
636,33
636,33
643,54
643,54
666,13
666,13
680,9
680,9
708,5
708,5
755,4
755,4
780,11
780,11
800,25
800,25
811,18
811,18
852,20
852,20
880,12
880,12
915,6
915,6
963,2
963,2
1027,2
1027,2
1071,3
1071,3
1090,6
1090,6
1090,6
1114,6
1114,6
1140,4
1144,71
1144,71
1179,6
1179,6
1201,4
1201,4
1209,17
1209,17
1222,9
1222,9
1243,8
1243,8
1265,20
1265,20
1278,8
1278,8
1278,8
1302,17
1302,17
1318,8
1322,105
1322,105
1352,6
1352,6
1377,3
1377,3
1390,14
1390,14
1407,6
1407,6
1440,10
1440,10
1472,6
1472,6
1492,6
1492,6
1516,4
1516,4
1552,3
1552,3
1571,7
1571,7
1595,6
1595,6
1627,12
1627,12
1627,12
1666,28
1668,120
1668,120
1701,3
1701,3
1733,3
1733,3
1751,6
1751,6
1781,3
1781,3
1814,3
1814,3
1835,5
1835,5
1863,5
1863,5
1892,4
1892,4
1919,5
1919,5
1957,17
1957,17
2002,24
2002,24
2045,8
2045,8
2084,3
2084,3
2137,1
2137,1
2175,2
2175,2
2215,4
2215,4
2251,5
2251,5
2251,5
2288,5
2288,5
2330,9
2334,107
2334,107
2372,2
2372,2
2404,3
2404,3
2447,3
2447,3
2490,2
2490,2
2527,2
2527,2
2578,5
2578,5
2617,11
2617,11
2706,4
2706,4
2743,2
2743,2
2790,4
2790,4
2826,3
2826,3
2879,15
2879,15
2919,6
2919,6
2960,13
2960,13
3026,22
3026,22
3074,8
3074,8
3120,4
3120,4
3174,2
3174,2
3223,2
3223,2
3264,10
3264,10
3327,2
3327,2
3377,2
3377,2
3435,12
3435,12
3485,2
3485,2
3550,13
3550,13
3610,8
3610,8
3672,2
3672,2
3725,1
3725,1
3790,2
3790,2
3859,8
3859,8
3915,9
3915,9
3975,1
3975,1
4042,8
4042,8
4107,9
4107,9
4169,2
4169,2
4230,1
4230,1
4295,8
4295,8
4348,3
4348,3
4412,1
4412,1
4482,1
4482,1
4546,2
4546,2
4613,2
4613,2
4674,1
4674,1
4733,1
4733,1
4792,2
4792,2
4854,1
4854,1
4927,5
4927,5
4993,7
4993,7
5052,1
5052,1
5111,2
5111,2
5167,9
5167,9
5238,19
5238,19
5305,2
5305,2
5371,1
5371,1
5437,1
5437,1
5500,1
5500,1
5566,1
5566,1
5637,6
5637,6
5720,16
5720,16
5791,1
5791,1
