Time,GC Util,heapSize,numThreads,GCInterval
78824.0,0.0,100,100,100
0.0,88.0,100,100,100
1523.0,58.0,100,100,100
1770.0,3.0,100,100,100
1783.0,90.0,100,100,100
2041.0,138.0,100,100,100
2122.0,148.0,100,100,100
2193.0,130.0,100,100,100
2244.0,138.0,100,100,100
2290.0,121.0,100,100,100
2342.0,189.0,100,100,100
2386.0,209.0,100,100,100
2439.0,202.0,100,100,100
2491.0,208.0,100,100,100
2534.0,188.0,100,100,100
2579.0,186.0,100,100,100
2620.0,166.0,100,100,100
2663.0,184.0,100,100,100
2706.0,4.0,100,100,100
2742.0,204.0,100,100,100
2745.0,4.0,100,100,100
2786.0,199.0,100,100,100
2790.0,4.0,100,100,100
2832.0,184.0,100,100,100
2836.0,165.0,100,100,100
2883.0,4.0,100,100,100
2919.0,200.0,100,100,100
2923.0,3.0,100,100,100
2971.0,151.0,100,100,100
2973.0,186.0,100,100,100
3012.0,179.0,100,100,100
3062.0,4.0,100,100,100
3102.0,208.0,100,100,100
3106.0,242.0,100,100,100
3158.0,172.0,100,100,100
3212.0,203.0,100,100,100
3269.0,4.0,100,100,100
3317.0,211.0,100,100,100
3321.0,5.0,100,100,100
3353.0,209.0,100,100,100
3356.0,4.0,100,100,100
3399.0,199.0,100,100,100
3403.0,179.0,100,100,100
3453.0,169.0,100,100,100
3513.0,172.0,100,100,100
3560.0,4.0,100,100,100
3606.0,158.0,100,100,100
3608.0,3.0,100,100,100
3651.0,110.0,100,100,100
3653.0,4.0,100,100,100
3699.0,191.0,100,100,100
3702.0,170.0,100,100,100
3765.0,3.0,100,100,100
3811.0,205.0,100,100,100
3814.0,4.0,100,100,100
3859.0,77.0,100,100,100
3865.0,1.0,100,100,100
3902.0,207.0,100,100,100
3906.0,191.0,100,100,100
3955.0,6.0,100,100,100
3985.0,179.0,100,100,100
3988.0,179.0,100,100,100
4039.0,181.0,100,100,100
4082.0,4.0,100,100,100
4123.0,195.0,100,100,100
4127.0,150.0,100,100,100
4170.0,2.0,100,100,100
4205.0,156.0,100,100,100
4208.0,3.0,100,100,100
4247.0,211.0,100,100,100
4251.0,183.0,100,100,100
4290.0,225.0,100,100,100
4335.0,5.0,100,100,100
4369.0,193.0,100,100,100
4373.0,5.0,100,100,100
4410.0,203.0,100,100,100
4413.0,7.0,100,100,100
4440.0,204.0,100,100,100
4444.0,4.0,100,100,100
4485.0,200.0,100,100,100
4488.0,175.0,100,100,100
4527.0,183.0,100,100,100
4572.0,214.0,100,100,100
4609.0,5.0,100,100,100
4643.0,187.0,100,100,100
4647.0,4.0,100,100,100
4685.0,211.0,100,100,100
4689.0,4.0,100,100,100
4729.0,194.0,100,100,100
4732.0,190.0,100,100,100
4770.0,190.0,100,100,100
4811.0,5.0,100,100,100
4848.0,204.0,100,100,100
4851.0,5.0,100,100,100
4882.0,194.0,100,100,100
4886.0,180.0,100,100,100
4930.0,196.0,100,100,100
4963.0,3.0,100,100,100
5011.0,212.0,100,100,100
5015.0,6.0,100,100,100
5047.0,196.0,100,100,100
5051.0,5.0,100,100,100
5086.0,198.0,100,100,100
5089.0,220.0,100,100,100
5134.0,187.0,100,100,100
5168.0,190.0,100,100,100
5210.0,3.0,100,100,100
5242.0,214.0,100,100,100
5246.0,5.0,100,100,100
5285.0,189.0,100,100,100
5288.0,4.0,100,100,100
5323.0,205.0,100,100,100
5327.0,4.0,100,100,100
5367.0,200.0,100,100,100
5370.0,6.0,100,100,100
5400.0,104.0,100,100,100
5403.0,228.0,100,100,100
5448.0,198.0,100,100,100
5483.0,4.0,100,100,100
5521.0,207.0,100,100,100
5524.0,5.0,100,100,100
5560.0,211.0,100,100,100
5563.0,5.0,100,100,100
5596.0,203.0,100,100,100
5599.0,5.0,100,100,100
5631.0,200.0,100,100,100
5634.0,5.0,100,100,100
5669.0,196.0,100,100,100
5673.0,171.0,100,100,100
5713.0,6.0,100,100,100
5744.0,116.0,100,100,100
5746.0,167.0,100,100,100
5788.0,209.0,100,100,100
5825.0,4.0,100,100,100
5866.0,198.0,100,100,100
5869.0,175.0,100,100,100
5906.0,5.0,100,100,100
5946.0,201.0,100,100,100
5949.0,4.0,100,100,100
5990.0,203.0,100,100,100
5993.0,4.0,100,100,100
6030.0,195.0,100,100,100
6034.0,5.0,100,100,100
6071.0,202.0,100,100,100
6075.0,5.0,100,100,100
6106.0,203.0,100,100,100
6109.0,184.0,100,100,100
6147.0,175.0,100,100,100
6184.0,200.0,100,100,100
6221.0,4.0,100,100,100
6252.0,209.0,100,100,100
6256.0,4.0,100,100,100
6292.0,203.0,100,100,100
6295.0,6.0,100,100,100
