Time,GC Util,heapSize,numThreads,GCInterval
61863.0,0.0,100,100,100
0.0,62.0,100,100,100
37217.0,39.0,100,100,100
55312.0,37.0,100,100,100
55584.0,147.0,100,100,100
58658.0,134.0,100,100,100
58710.0,32.0,100,100,100
58848.0,153.0,100,100,100
58884.0,124.0,100,100,100
58910.0,88.0,100,100,100
59034.0,81.0,100,100,100
59109.0,33.0,100,100,100
59183.0,35.0,100,100,100
59273.0,32.0,100,100,100
59422.0,102.0,100,100,100
59457.0,28.0,100,100,100
59484.0,35.0,100,100,100
59662.0,25.0,100,100,100
59709.0,39.0,100,100,100
59907.0,26.0,100,100,100
60123.0,25.0,100,100,100
60164.0,29.0,100,100,100
60207.0,28.0,100,100,100
