Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
79.0,0.0,100,100,100
111.0,38.0,100,100.0,0.05
123.0,51.0,100,100.0,29.6
406.0,0.0,100,100.0,48.4
658.0,0.0,100,100.0,10.0
851.0,0.0,100,100.0,10.0
1078.0,0.0,100,100.0,10.0
1330.0,0.0,100,100.0,10.0
1634.0,0.0,100,100.0,10.0
1895.0,0.0,100,100.0,10.0
2134.0,0.0,100,100.0,10.0
2241.0,0.0,100,100.0,10.0
2259.0,4.0,100,100.0,10.0
2286.0,2.0,100,100.0,10.0
2327.0,1.0,100,100.0,10.0
2362.0,2.0,100,100.0,10.0
2416.0,1.0,100,100.0,10.0
2489.0,1.0,100,100.0,10.0
2535.0,3.0,100,100.0,10.0
4590.0,0.0,100,100.0,10.0
5399.0,0.0,100,100.0,10.0
5435.0,4.0,100,100.0,10.0
5475.0,3.0,100,100.0,10.0
5524.0,2.0,100,100.0,10.0
5578.0,2.0,100,100.0,10.0
5611.0,5.0,100,100.0,10.0
5621.0,17.0,100,100.0,10.0
5635.0,10.0,100,100.0,10.0
5656.0,6.0,100,100.0,10.0
5659.0,22.0,100,100.0,10.0
5661.0,28.0,100,100.0,10.0
5682.0,3.0,100,100.0,10.0
5738.0,0.0,100,100.0,10.0
5766.0,3.0,100,100.0,10.0
5794.0,4.0,100,100.0,10.0
5829.0,4.0,100,100.0,10.0
5864.0,2.0,100,100.0,10.0
5897.0,2.0,100,100.0,10.0
5919.0,5.0,100,100.0,10.0
5949.0,4.0,100,100.0,10.0
5964.0,7.0,100,100.0,10.0
6000.0,3.0,100,100.0,10.0
6019.0,6.0,100,100.0,10.0
6040.0,6.0,100,100.0,10.0
6064.0,5.0,100,100.0,10.0
6076.0,16.0,100,100.0,10.0
6080.0,26.0,100,100.0,10.0
6088.0,15.0,100,100.0,10.0
6114.0,30.0,103.12,100.0,10.0
6130.0,112.0,103.12,100.0,10.0
6138.0,11.0,103.12,100.0,76.0
6148.0,10.0,103.12,100.0,10.0
6161.0,8.0,103.12,100.0,10.0
6178.0,6.0,103.12,100.0,10.0
6196.0,8.0,103.12,100.0,10.0
6236.0,3.0,103.12,100.0,10.0
6256.0,6.0,103.12,100.0,10.0
6260.0,40.0,103.12,100.0,10.0
6264.0,39.0,103.12,100.0,10.0
6264.0,39.0,103.12,100.0,10.0
6292.0,26.0,110.94,100.0,10.0
6302.0,414.0,110.94,100.0,10.0
6316.0,13.0,110.94,100.0,200.0
6331.0,9.0,110.94,100.0,10.0
6367.0,3.0,110.94,100.0,10.0
6422.0,30.0,110.94,100.0,10.0
6478.0,31.0,110.94,100.0,10.0
6537.0,2.0,110.94,100.0,31.2
6585.0,4.0,110.94,100.0,10.0
6632.0,2.0,110.94,100.0,10.0
6646.0,5.0,110.94,100.0,10.0
6660.0,3.0,110.94,100.0,10.0
6675.0,3.0,110.94,100.0,10.0
6689.0,3.0,110.94,100.0,10.0
6702.0,3.0,110.94,100.0,10.0
6715.0,3.0,110.94,100.0,10.0
6728.0,3.0,110.94,100.0,10.0
6741.0,3.0,110.94,100.0,10.0
7226.0,0.0,110.94,100.0,10.0
