Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
71.0,0.0,100,100,100
102.0,36.0,100,100.0,0.05
112.0,49.0,100,100.0,25.6
122.0,18.0,100,100.0,40.8
515.0,0.0,100,100.0,38.4
664.0,0.0,100,100.0,10.0
829.0,0.0,100,100.0,10.0
1040.0,0.0,100,100.0,10.0
1308.0,0.0,100,100.0,10.0
1477.0,0.0,100,100.0,10.0
1709.0,0.0,100,100.0,10.0
1744.0,1.0,100,100.0,10.0
1767.0,3.0,100,100.0,10.0
1787.0,3.0,100,100.0,10.0
1822.0,1.0,100,100.0,10.0
1849.0,3.0,100,100.0,10.0
1908.0,1.0,100,100.0,10.0
1951.0,3.0,100,100.0,10.0
1992.0,4.0,100,100.0,10.0
4291.0,0.0,100,100.0,10.0
4332.0,4.0,100,100.0,10.0
4366.0,4.0,100,100.0,10.0
4418.0,2.0,100,100.0,10.0
4468.0,2.0,100,100.0,10.0
4514.0,3.0,100,100.0,10.0
4531.0,10.0,100,100.0,10.0
4539.0,15.0,100,100.0,10.0
4545.0,16.0,100,100.0,10.0
4553.0,11.0,100,100.0,10.0
4554.0,38.0,100,100.0,10.0
4571.0,3.0,100,100.0,10.0
4617.0,1.0,100,100.0,10.0
4643.0,4.0,100,100.0,10.0
4665.0,4.0,100,100.0,10.0
4691.0,4.0,100,100.0,10.0
4724.0,4.0,100,100.0,10.0
4757.0,3.0,100,100.0,10.0
4779.0,5.0,100,100.0,10.0
4802.0,4.0,100,100.0,10.0
4822.0,6.0,100,100.0,10.0
4849.0,4.0,100,100.0,10.0
4869.0,6.0,100,100.0,10.0
4889.0,6.0,100,100.0,10.0
4919.0,3.0,100,100.0,10.0
4925.0,26.0,100,100.0,10.0
4930.0,22.0,100,100.0,10.0
4935.0,19.0,100,25.0,10.0
4950.0,6.0,100,100.0,10.0
4960.0,9.0,100,100.0,10.0
4971.0,9.0,100,100.0,10.0
4983.0,9.0,100,100.0,10.0
4995.0,9.0,100,100.0,10.0
5009.0,9.0,100,100.0,10.0
5020.0,13.0,100,100.0,10.0
5061.0,30.0,104.69,100.0,10.0
5096.0,45.0,104.69,100.0,10.0
5099.0,49.0,104.69,100.0,45.2
5103.0,46.0,104.69,100.0,10.0
5108.0,30.0,104.69,100.0,10.0
5116.0,9.0,104.69,100.0,10.0
5124.0,12.0,104.69,100.0,10.0
5137.0,10.0,104.69,100.0,10.0
5147.0,14.0,104.69,100.0,10.0
5168.0,5.0,104.69,100.0,10.0
5228.0,30.0,101.56,100.0,10.0
5269.0,47.0,101.56,100.0,10.0
5310.0,3.0,101.56,100.0,56.8
5346.0,3.0,101.56,100.0,10.0
5375.0,4.0,101.56,100.0,10.0
5413.0,2.0,101.56,100.0,10.0
5454.0,1.0,101.56,100.0,10.0
5499.0,0.0,101.56,100.0,10.0
5524.0,1.0,101.56,100.0,10.0
5535.0,5.0,101.56,100.0,10.0
5545.0,5.0,101.56,100.0,10.0
5556.0,5.0,101.56,100.0,10.0
5566.0,5.0,101.56,100.0,10.0
5576.0,5.0,101.56,100.0,10.0
5587.0,5.0,101.56,100.0,10.0
5597.0,4.0,101.56,100.0,10.0
5608.0,5.0,101.56,100.0,10.0
5618.0,5.0,101.56,100.0,10.0
5628.0,4.0,101.56,100.0,10.0
6332.0,0.0,101.56,100.0,10.0
