Time,GC Util,heapSize,numThreads,GCInterval
17383.0,0.0,100,100,100
0.0,0.0,100,100,100
68.0,9.0,100,100,100
106.0,13.0,100,100,100
118.0,0.0,100,100,100
294.0,0.0,100,100,100
3953.0,0.0,100,100,100
6802.0,0.0,100,100,100
11557.0,0.0,100,100,100
16991.0,75.0,100,100,100
17092.0,1.0,100,100,100
17210.0,4.0,100,100,100
17232.0,4.0,100,100,100
17253.0,3.0,100,100,100
17276.0,1.0,100,100,100
17338.0,1.0,100,100,100
17396.0,1.0,100,100,100
17453.0,7.0,100,100,100
17472.0,2.0,100,100,100
17530.0,7.0,100,100,100
17547.0,3.0,100,100,100
17576.0,2.0,100,100,100
17619.0,3.0,100,100,100
17650.0,0.0,100,100,100
