Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
83.0,0.0,100,100,100
124.0,28.0,100,100.0,0.05
136.0,53.0,100,100.0,17.2
284.0,1.0,100,100.0,38.8
394.0,1.0,100,100.0,10.0
492.0,79.0,100.0,100.0,10.0
525.0,18.0,100.0,100.0,10.0
532.0,28.0,100.0,100.0,10.0
621.0,2.0,100.0,100.0,10.0
654.0,3.0,100.0,100.0,10.0
672.0,17.0,100.0,100.0,10.0
693.0,13.0,100.0,100.0,10.0
739.0,6.0,100.0,100.0,10.0
769.0,8.0,100.0,100.0,10.0
777.0,28.0,100.0,100.0,10.0
793.0,12.0,100.0,100.0,10.0
866.0,0.0,100.0,100.0,10.0
890.0,3.0,100.0,100.0,10.0
913.0,5.0,100.0,100.0,10.0
942.0,2.0,100.0,100.0,10.0
960.0,5.0,100.0,100.0,10.0
973.0,4.0,100.0,100.0,10.0
984.0,5.0,100.0,100.0,10.0
997.0,4.0,100.0,100.0,10.0
1008.0,5.0,100.0,100.0,10.0
1020.0,5.0,100.0,100.0,10.0
1032.0,4.0,100.0,100.0,10.0
1046.0,4.0,100.0,100.0,10.0
1059.0,4.0,100.0,100.0,10.0
1072.0,4.0,100.0,100.0,10.0
1088.0,3.0,100.0,100.0,10.0
1110.0,2.0,100.0,100.0,10.0
1131.0,3.0,100.0,100.0,10.0
1149.0,4.0,100.0,100.0,10.0
1164.0,4.0,100.0,100.0,10.0
1178.0,4.0,100.0,100.0,10.0
1193.0,4.0,100.0,100.0,10.0
1205.0,4.0,100.0,100.0,10.0
1220.0,3.0,100.0,100.0,10.0
1230.0,5.0,100.0,100.0,10.0
1241.0,6.0,100.0,100.0,10.0
1251.0,5.0,100.0,100.0,10.0
1261.0,5.0,100.0,100.0,10.0
1271.0,5.0,100.0,100.0,10.0
