Time,GC Util,heapSize,numThreads,GCInterval
1325.0,0.0,100,100,100
0.0,0.0,100,100,100
62.0,9.0,100,100,100
99.0,11.0,100,100,100
113.0,1.0,100,100,100
247.0,3.0,100,100,100
309.0,1.0,100,100,100
376.0,75.0,100,100,100
388.0,3.0,100,100,100
435.0,4.0,100,100,100
471.0,2.0,100,100,100
526.0,3.0,100,100,100
550.0,9.0,100,100,100
559.0,49.0,100,100,100
564.0,21.0,100,100,100
593.0,16.0,100,100,100
667.0,21.0,100,100,100
683.0,18.0,100,100,100
692.0,2.0,100,100,100
756.0,7.0,100,100,100
778.0,7.0,100,100,100
793.0,12.0,100,100,100
810.0,7.0,100,100,100
822.0,7.0,100,100,100
837.0,8.0,100,100,100
850.0,7.0,100,100,100
864.0,9.0,100,100,100
877.0,7.0,100,100,100
891.0,10.0,100,100,100
902.0,8.0,100,100,100
914.0,8.0,100,100,100
927.0,6.0,100,100,100
939.0,8.0,100,100,100
952.0,5.0,100,100,100
965.0,10.0,100,100,100
977.0,7.0,100,100,100
988.0,8.0,100,100,100
1001.0,8.0,100,100,100
1013.0,9.0,100,100,100
1024.0,10.0,100,100,100
1034.0,6.0,100,100,100
1045.0,7.0,100,100,100
1055.0,9.0,100,100,100
1063.0,12.0,100,100,100
1071.0,13.0,100,100,100
1079.0,15.0,100,100,100
