Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
75.0,0.0,100,100,100
229.0,7.0,100,100.0,0.05
251.0,58.0,100,100.0,10.0
344.0,2.0,100,100.0,10.0
1332.0,1.0,100,100.0,10.0
1351.0,12.0,100,100.0,10.0
1372.0,10.0,100,100.0,10.0
1401.0,7.0,100,100.0,10.0
1439.0,4.0,100,100.0,10.0
1480.0,7.0,100,100.0,10.0
1541.0,3.0,100,100.0,10.0
1591.0,4.0,100,100.0,10.0
1657.0,3.0,100,100.0,10.0
1697.0,6.0,100,100.0,10.0
1728.0,78.0,101.56,100.0,10.0
1778.0,12.0,101.56,100.0,10.0
1797.0,13.0,101.56,100.0,10.0
1817.0,7.0,101.56,100.0,10.0
1824.0,21.0,101.56,100.0,10.0
1844.0,7.0,101.56,100.0,10.0
1863.0,7.0,101.56,100.0,10.0
1880.0,8.0,101.56,100.0,10.0
1914.0,4.0,101.56,100.0,10.0
1927.0,10.0,101.56,100.0,10.0
1939.0,13.0,101.56,100.0,10.0
1971.0,4.0,101.56,100.0,10.0
1988.0,7.0,101.56,100.0,10.0
1998.0,17.0,101.56,100.0,10.0
2024.0,5.0,101.56,100.0,10.0
2053.0,7.0,101.56,100.0,10.0
2073.0,6.0,101.56,100.0,10.0
2100.0,26.0,101.56,100.0,10.0
2115.0,121.0,101.56,100.0,10.0
2127.0,10.0,101.56,100.0,84.0
2137.0,9.0,101.56,100.0,10.0
2156.0,6.0,101.56,100.0,10.0
2172.0,12.0,101.56,100.0,10.0
2183.0,7.0,101.56,100.0,10.0
2194.0,10.0,101.56,100.0,10.0
2204.0,16.0,101.56,100.0,10.0
2213.0,14.0,101.56,100.0,10.0
2231.0,20.0,101.56,25.0,10.0
2255.0,34.0,104.69,100.0,10.0
2268.0,114.0,104.69,100.0,10.0
2288.0,11.0,104.69,100.0,68.8
2303.0,7.0,104.69,100.0,10.0
2314.0,18.0,104.69,100.0,10.0
2325.0,9.0,104.69,100.0,10.0
2339.0,7.0,104.69,100.0,10.0
2357.0,5.0,104.69,100.0,10.0
2368.0,67.0,103.12,100.0,10.0
2382.0,41.0,103.12,100.0,10.0
2402.0,5.0,103.12,100.0,16.4
2414.0,10.0,103.12,100.0,10.0
2424.0,13.0,103.12,100.0,10.0
2442.0,34.0,101.56,100.0,10.0
2453.0,81.0,101.56,100.0,10.0
2464.0,9.0,101.56,100.0,38.4
2476.0,14.0,101.56,100.0,10.0
2498.0,6.0,101.56,100.0,10.0
2524.0,10.0,101.56,100.0,10.0
2549.0,7.0,101.56,100.0,10.0
2557.0,17.0,101.56,100.0,10.0
2595.0,86.0,104.69,100.0,10.0
2612.0,63.0,104.69,100.0,10.0
2625.0,11.0,104.69,100.0,40.0
2644.0,8.0,104.69,100.0,10.0
2661.0,7.0,104.69,100.0,10.0
2695.0,4.0,104.69,100.0,10.0
2718.0,7.0,104.69,100.0,10.0
2725.0,47.0,103.12,100.0,10.0
2758.0,15.0,103.12,100.0,10.0
2778.0,8.0,103.12,100.0,10.0
2800.0,7.0,103.12,100.0,10.0
2821.0,8.0,103.12,100.0,10.0
2847.0,6.0,103.12,100.0,10.0
2867.0,6.0,103.12,100.0,10.0
2874.0,55.0,104.69,100.0,10.0
2903.0,15.0,104.69,100.0,10.0
2924.0,9.0,104.69,100.0,10.0
2944.0,10.0,104.69,100.0,10.0
2966.0,9.0,104.69,100.0,10.0
2978.0,9.0,104.69,100.0,10.0
3005.0,7.0,104.69,100.0,10.0
3042.0,88.0,104.69,100.0,10.0
3057.0,60.0,104.69,100.0,10.0
3071.0,6.0,104.69,100.0,33.2
3108.0,4.0,104.69,100.0,10.0
3145.0,2.0,104.69,100.0,10.0
3169.0,5.0,104.69,100.0,10.0
3194.0,6.0,104.69,100.0,10.0
3224.0,3.0,104.69,100.0,10.0
3249.0,4.0,104.69,100.0,10.0
3281.0,4.0,104.69,100.0,10.0
3289.0,40.0,110.16,100.0,10.0
3328.0,12.0,110.16,100.0,10.0
3350.0,5.0,110.16,100.0,10.0
3426.0,1.0,110.16,100.0,10.0
