Time,GC Util,heapSize,numThreads,GCInterval
57104.0,0.0,100,100,100
0.0,56.0,100,100,100
29633.0,52.0,100,100,100
50381.0,64.0,100,100,100
50747.0,86.0,100,100,100
53592.0,71.0,100,100,100
53758.0,3.0,100,100,100
53777.0,92.0,100,100,100
53930.0,91.0,100,100,100
54034.0,89.0,100,100,100
54111.0,90.0,100,100,100
54165.0,93.0,100,100,100
54210.0,9.0,100,100,100
54236.0,93.0,100,100,100
54352.0,95.0,100,100,100
54413.0,93.0,100,100,100
54451.0,12.0,100,100,100
54498.0,130.0,100,100,100
54607.0,155.0,100,100,100
54672.0,8.0,100,100,100
54816.0,165.0,100,100,100
55022.0,166.0,100,100,100
55060.0,161.0,100,100,100
55091.0,164.0,100,100,100
55120.0,164.0,100,100,100
55151.0,159.0,100,100,100
