Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100.0,100.0,10.0
77.0,0.0,100.0,100.0,100.0
111.0,33.0,100.0,100.0,0.05
123.0,44.0,100.0,100.0,22.8
277.0,1.0,100.0,100.0,37.2
341.0,3.0,100.0,100.0,10.0
360.0,4.0,100.0,100.0,10.0
368.0,8.0,100.0,100.0,10.0
393.0,3.0,100.0,100.0,10.0
415.0,2.0,100.0,100.0,10.0
447.0,1.0,100.0,100.0,10.0
486.0,2.0,100.0,100.0,10.0
516.0,2.0,100.0,100.0,10.0
577.0,1.0,100.0,100.0,10.0
630.0,2.0,100.0,100.0,10.0
668.0,70.0,100.0,100.0,10.0
689.0,28.0,100.0,100.0,10.0
697.0,22.0,100.0,100.0,10.0
711.0,17.0,100.0,100.0,10.0
734.0,12.0,100.0,100.0,10.0
771.0,7.0,100.0,100.0,10.0
806.0,4.0,100.0,100.0,10.0
851.0,5.0,100.0,100.0,10.0
871.0,23.0,100.0,100.0,10.0
881.0,55.0,100.0,100.0,10.0
890.0,14.0,100.0,100.0,18.8
935.0,6.0,100.0,100.0,10.0
943.0,15.0,100.0,100.0,10.0
953.0,12.0,100.0,100.0,10.0
974.0,23.0,100.0,100.0,10.0
998.0,45.0,112.5,100.0,10.0
1024.0,39.0,112.5,100.0,10.0
1041.0,27.0,112.5,100.0,25.2
1074.0,12.0,112.5,100.0,10.0
1092.0,21.0,112.5,100.0,10.0
1113.0,18.0,112.5,100.0,10.0
1137.0,15.0,112.5,100.0,10.0
1163.0,19.0,112.5,100.0,10.0
1177.0,52.0,112.5,100.0,10.0
1201.0,32.0,112.5,100.0,10.0
1220.0,21.0,112.5,100.0,14.8
1235.0,7.0,112.5,100.0,10.0
1256.0,23.0,112.5,100.0,10.0
1274.0,8.0,112.5,100.0,10.0
1306.0,3.0,112.5,100.0,10.0
1323.0,21.0,112.5,100.0,10.0
1350.0,16.0,112.5,100.0,10.0
1357.0,42.0,116.41,100.0,10.0
1379.0,21.0,116.41,100.0,10.0
1399.0,10.0,116.41,100.0,10.0
1429.0,12.0,116.41,100.0,10.0
1453.0,18.0,116.41,100.0,10.0
1486.0,4.0,116.41,100.0,10.0
1514.0,88.0,116.41,100.0,10.0
1543.0,16.0,116.41,100.0,10.0
1561.0,6.0,116.41,100.0,10.0
1585.0,4.0,116.41,100.0,10.0
1610.0,4.0,116.41,100.0,10.0
1638.0,13.0,116.41,100.0,10.0
1661.0,12.0,116.41,100.0,10.0
1688.0,4.0,116.41,100.0,10.0
1714.0,14.0,116.41,100.0,10.0
1733.0,20.0,116.41,25.0,10.0
1753.0,40.0,113.28,100.0,10.0
1775.0,44.0,113.28,100.0,10.0
1788.0,20.0,113.28,25.0,27.2
1803.0,5.0,113.28,100.0,10.0
1821.0,18.0,113.28,100.0,10.0
1842.0,13.0,113.28,100.0,10.0
1856.0,26.0,113.28,100.0,10.0
1878.0,16.0,113.28,100.0,10.0
1902.0,19.0,113.28,100.0,10.0
1916.0,11.0,113.28,100.0,10.0
1923.0,44.0,122.66,100.0,10.0
1947.0,21.0,122.66,100.0,10.0
1984.0,10.0,122.66,100.0,10.0
2013.0,11.0,122.66,100.0,10.0
2040.0,11.0,122.66,100.0,10.0
2070.0,11.0,122.66,100.0,10.0
2100.0,10.0,122.66,100.0,10.0
2128.0,4.0,122.66,100.0,10.0
2152.0,18.0,122.66,100.0,10.0
2200.0,114.0,125.78,100.0,10.0
2230.0,30.0,125.78,100.0,10.0
2251.0,9.0,125.78,100.0,15.2
2287.0,3.0,125.78,100.0,10.0
2315.0,10.0,125.78,100.0,10.0
2345.0,13.0,125.78,100.0,10.0
2374.0,14.0,125.78,100.0,10.0
2405.0,3.0,125.78,100.0,10.0
2425.0,6.0,125.78,100.0,10.0
2454.0,3.0,125.78,100.0,10.0
2485.0,8.0,125.78,100.0,10.0
2495.0,97.0,124.22,100.0,10.0
2523.0,17.0,124.22,100.0,10.0
2552.0,3.0,124.22,100.0,10.0
2584.0,3.0,124.22,100.0,10.0
2607.0,5.0,124.22,100.0,10.0
2634.0,16.0,124.22,100.0,10.0
2664.0,3.0,124.22,100.0,10.0
2688.0,11.0,124.22,100.0,10.0
2717.0,4.0,124.22,100.0,10.0
2746.0,4.0,124.22,100.0,10.0
2774.0,0.0,124.22,100.0,10.0
2799.0,26.0,124.22,100.0,10.0
2830.0,16.0,124.22,100.0,10.0
2853.0,4.0,124.22,100.0,10.0
2877.0,4.0,124.22,100.0,10.0
2903.0,4.0,124.22,100.0,10.0
2926.0,11.0,124.22,100.0,10.0
2964.0,5.0,124.22,100.0,10.0
2993.0,3.0,124.22,100.0,10.0
3015.0,5.0,124.22,100.0,10.0
3040.0,10.0,124.22,100.0,10.0
3069.0,9.0,124.22,100.0,10.0
3094.0,4.0,124.22,100.0,10.0
3115.0,5.0,124.22,100.0,10.0
3141.0,9.0,124.22,100.0,10.0
3163.0,5.0,124.22,100.0,10.0
3180.0,5.0,124.22,100.0,10.0
3204.0,11.0,124.22,100.0,10.0
3230.0,8.0,124.22,100.0,10.0
3249.0,9.0,124.22,100.0,10.0
3280.0,7.0,124.22,100.0,10.0
3306.0,4.0,124.22,100.0,10.0
3328.0,5.0,124.22,100.0,10.0
3352.0,15.0,124.22,100.0,10.0
3385.0,6.0,124.22,100.0,10.0
3409.0,20.0,124.22,25.0,10.0
3436.0,2.0,124.22,100.0,10.0
3464.0,8.0,124.22,100.0,10.0
3490.0,17.0,124.22,100.0,10.0
3508.0,13.0,124.22,100.0,10.0
3536.0,15.0,124.22,100.0,10.0
3569.0,3.0,124.22,100.0,10.0
3589.0,7.0,124.22,100.0,10.0
3613.0,4.0,124.22,100.0,10.0
3644.0,6.0,124.22,100.0,10.0
3669.0,3.0,124.22,100.0,10.0
3689.0,5.0,124.22,100.0,10.0
3718.0,10.0,124.22,100.0,10.0
3743.0,7.0,124.22,100.0,10.0
3761.0,11.0,124.22,100.0,10.0
3791.0,8.0,124.22,100.0,10.0
3818.0,7.0,124.22,100.0,10.0
3836.0,8.0,124.22,100.0,10.0
3867.0,3.0,124.22,100.0,10.0
3897.0,10.0,124.22,100.0,10.0
3921.0,8.0,124.22,100.0,10.0
3951.0,7.0,124.22,100.0,10.0
3980.0,6.0,124.22,100.0,10.0
4001.0,4.0,124.22,100.0,10.0
4035.0,15.0,124.22,100.0,10.0
4062.0,7.0,124.22,100.0,10.0
4086.0,7.0,124.22,100.0,10.0
4111.0,9.0,124.22,100.0,10.0
4140.0,5.0,124.22,100.0,10.0
4157.0,6.0,124.22,100.0,10.0
4184.0,12.0,124.22,100.0,10.0
4211.0,11.0,124.22,100.0,10.0
4233.0,9.0,124.22,100.0,10.0
4264.0,3.0,124.22,100.0,10.0
4296.0,9.0,124.22,100.0,10.0
4323.0,9.0,124.22,100.0,10.0
4352.0,16.0,124.22,100.0,10.0
4379.0,7.0,124.22,100.0,10.0
4402.0,5.0,124.22,100.0,10.0
4421.0,6.0,124.22,100.0,10.0
4445.0,8.0,124.22,100.0,10.0
4470.0,7.0,124.22,100.0,10.0
4495.0,9.0,124.22,100.0,10.0
4526.0,2.0,124.22,100.0,10.0
4550.0,7.0,124.22,100.0,10.0
4569.0,10.0,124.22,100.0,10.0
4598.0,10.0,124.22,100.0,10.0
4628.0,12.0,124.22,100.0,10.0
4654.0,8.0,124.22,100.0,10.0
4681.0,7.0,124.22,100.0,10.0
4703.0,8.0,124.22,100.0,10.0
4728.0,9.0,124.22,100.0,10.0
4751.0,4.0,124.22,100.0,10.0
4774.0,10.0,124.22,100.0,10.0
4796.0,22.0,124.22,100.0,10.0
4820.0,9.0,124.22,100.0,10.0
4847.0,9.0,124.22,100.0,10.0
4869.0,12.0,124.22,100.0,10.0
4912.0,3.0,124.22,100.0,10.0
4943.0,8.0,124.22,100.0,10.0
4969.0,8.0,124.22,100.0,10.0
4989.0,22.0,124.22,100.0,10.0
5008.0,9.0,124.22,100.0,10.0
5029.0,8.0,124.22,100.0,10.0
5053.0,4.0,124.22,100.0,10.0
5069.0,15.0,124.22,100.0,10.0
5099.0,8.0,124.22,100.0,10.0
5120.0,9.0,124.22,100.0,10.0
5144.0,9.0,124.22,100.0,10.0
5168.0,10.0,124.22,100.0,10.0
5198.0,8.0,124.22,100.0,10.0
5214.0,14.0,124.22,100.0,10.0
5256.0,5.0,124.22,100.0,10.0
5292.0,68.0,124.22,100.0,10.0
5314.0,4.0,124.22,100.0,88.0
5339.0,7.0,124.22,100.0,10.0
5359.0,9.0,124.22,100.0,10.0
5385.0,7.0,124.22,100.0,10.0
5405.0,11.0,124.22,100.0,10.0
5426.0,5.0,124.22,100.0,10.0
5449.0,4.0,124.22,100.0,10.0
5471.0,8.0,124.22,100.0,10.0
5499.0,9.0,124.22,100.0,10.0
5524.0,11.0,124.22,100.0,10.0
5543.0,9.0,124.22,100.0,10.0
5568.0,3.0,124.22,100.0,10.0
5595.0,8.0,124.22,100.0,10.0
5622.0,7.0,124.22,100.0,10.0
5647.0,7.0,124.22,100.0,10.0
5675.0,6.0,124.22,100.0,10.0
5700.0,10.0,124.22,100.0,10.0
5727.0,13.0,124.22,100.0,10.0
5751.0,13.0,124.22,100.0,10.0
5775.0,10.0,124.22,100.0,10.0
5791.0,6.0,124.22,100.0,10.0
5813.0,4.0,124.22,100.0,10.0
5844.0,5.0,124.22,100.0,10.0
5864.0,9.0,124.22,100.0,10.0
5891.0,9.0,124.22,100.0,10.0
5913.0,11.0,124.22,100.0,10.0
5935.0,11.0,124.22,100.0,10.0
5966.0,6.0,124.22,100.0,10.0
5995.0,6.0,124.22,100.0,10.0
6020.0,7.0,124.22,100.0,10.0
6038.0,6.0,124.22,100.0,10.0
6065.0,12.0,124.22,100.0,10.0
6091.0,7.0,124.22,100.0,10.0
6114.0,4.0,124.22,100.0,10.0
6138.0,9.0,124.22,100.0,10.0
