Time,GC Util,heapSize,numThreads,GCInterval
,0.0,0,0,100
0.0,0.0,100,100,100
0.0,71.0,100,100,100
1084.0,159.0,100,100,100
1375.0,119.0,100,100,100
1462.0,136.0,100,100,100
1481.0,126.0,100,100,100
1545.0,123.0,100,100,100
1565.0,15.0,100,100,100
1579.0,107.0,100,100,100
1593.0,94.0,100,100,100
1606.0,13.0,100,100,100
1622.0,13.0,100,100,100
1643.0,12.0,100,100,100
1663.0,175.0,100,100,100
1681.0,163.0,100,100,100
1695.0,11.0,100,100,100
1719.0,92.0,100,100,100
1736.0,174.0,100,100,100
1755.0,169.0,100,100,100
1773.0,217.0,100,100,100
1789.0,174.0,100,100,100
1804.0,177.0,100,100,100
1817.0,201.0,100,100,100
1831.0,135.0,100,100,100
1845.0,253.0,100,100,100
1861.0,235.0,100,100,100
1876.0,143.0,100,100,100
1890.0,9.0,100,100,100
1905.0,180.0,100,100,100
1930.0,108.0,100,100,100
1945.0,181.0,100,100,100
1966.0,144.0,100,100,100
1980.0,170.0,100,100,100
1996.0,183.0,100,100,100
2008.0,187.0,100,100,100
2022.0,167.0,100,100,100
2033.0,223.0,100,100,100
2043.0,15.0,100,100,100
2052.0,254.0,100,100,100
2060.0,25.0,100,100,100
2068.0,245.0,100,100,100
2070.0,160.0,100,100,100
2080.0,12.0,100,100,100
2089.0,258.0,100,100,100
2099.0,247.0,100,100,100
2108.0,98.0,100,100,100
2120.0,235.0,100,100,100
2130.0,146.0,100,100,100
2142.0,256.0,100,100,100
2151.0,11.0,100,100,100
2163.0,126.0,100,100,100
2180.0,114.0,100,100,100
2192.0,123.0,100,100,100
2205.0,247.0,100,100,100
2217.0,257.0,100,100,100
2227.0,12.0,100,100,100
2237.0,144.0,100,100,100
2248.0,175.0,100,100,100
2267.0,157.0,100,100,100
2276.0,157.0,100,100,100
2287.0,187.0,100,100,100
2305.0,181.0,100,100,100
2316.0,163.0,100,100,100
2324.0,262.0,100,100,100
2332.0,200.0,100,100,100
2341.0,221.0,100,100,100
2353.0,247.0,100,100,100
2361.0,255.0,100,100,100
2371.0,256.0,100,100,100
2379.0,238.0,100,100,100
2388.0,252.0,100,100,100
2398.0,260.0,100,100,100
2407.0,13.0,100,100,100
2415.0,156.0,100,100,100
2424.0,250.0,100,100,100
2435.0,256.0,100,100,100
2446.0,265.0,100,100,100
2458.0,146.0,100,100,100
2470.0,243.0,100,100,100
2483.0,217.0,100,100,100
2496.0,207.0,100,100,100
2509.0,141.0,100,100,100
2525.0,141.0,100,100,100
2525.0,257.0,100,100,100
2540.0,16.0,100,100,100
2553.0,135.0,100,100,100
2558.0,135.0,100,100,100
2558.0,249.0,100,100,100
2576.0,244.0,100,100,100
2595.0,120.0,100,100,100
2619.0,117.0,100,100,100
2639.0,117.0,100,100,100
2639.0,181.0,100,100,100
2659.0,155.0,100,100,100
2675.0,165.0,100,100,100
2689.0,165.0,100,100,100
2689.0,179.0,100,100,100
2706.0,9.0,100,100,100
2718.0,9.0,100,100,100
2718.0,176.0,100,100,100
2732.0,20.0,100,100,100
2740.0,19.0,100,100,100
2748.0,10.0,100,100,100
2758.0,10.0,100,100,100
2758.0,188.0,100,100,100
2772.0,9.0,100,100,100
2783.0,9.0,100,100,100
2783.0,178.0,100,100,100
2797.0,133.0,100,100,100
2809.0,133.0,100,100,100
2809.0,182.0,100,100,100
2824.0,138.0,100,100,100
2836.0,138.0,100,100,100
2836.0,186.0,100,100,100
2849.0,186.0,100,100,100
2849.0,168.0,100,100,100
2857.0,168.0,100,100,100
2857.0,15.0,100,100,100
2864.0,10.0,100,100,100
2872.0,10.0,100,100,100
2872.0,194.0,100,100,100
2884.0,194.0,100,100,100
2884.0,176.0,100,100,100
2892.0,125.0,100,100,100
2902.0,125.0,100,100,100
2902.0,26.0,100,100,100
2915.0,19.0,100,100,100
2922.0,179.0,100,100,100
2932.0,122.0,100,100,100
2942.0,122.0,100,100,100
2942.0,26.0,100,100,100
2956.0,160.0,100,100,100
2965.0,163.0,100,100,100
2975.0,90.0,100,100,100
2986.0,90.0,100,100,100
2986.0,188.0,100,100,100
2999.0,25.0,100,100,100
3008.0,156.0,100,100,100
