Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100.0,100.0,100
620.0,29.0,100.0,100.0,100
697.0,96.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
707.0,28.0,100.0,100.0,100
781.0,95.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
692.0,28.0,100.0,100.0,100
766.0,98.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
563.0,29.0,100.0,100.0,100
637.0,103.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
708.0,28.0,100.0,100.0,100
782.0,96.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
581.0,30.0,100.0,100.0,100
656.0,96.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
568.0,29.0,100.0,100.0,100
644.0,100.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
700.0,29.0,100.0,100.0,100
775.0,102.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
707.0,28.0,100.0,100.0,100
783.0,40.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
993.0,27.0,100.0,100.0,100
1067.0,94.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
696.0,32.0,100.0,100.0,100
765.0,125.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,0
0.0,0.0,100.0,100.0,100
709.0,30.0,100.0,100.0,100
785.0,95.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
579.0,28.0,100.0,100.0,100
649.0,124.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
703.0,26.0,100.0,100.0,100
777.0,95.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
567.0,29.0,100.0,100.0,100
640.0,96.0,24946.09,100.0,100
0.0,0.0,100.0,100.0,100
713.0,28.0,100.0,100.0,100
790.0,95.0,24946.09,100.0,100
