Time,GC Util,heapSize,numThreads,GCInterval
2710.0,0.0,100,100,100
0.0,36.0,100,100,100
684.0,18.0,100,100,100
695.0,26.0,100,100,100
704.0,110.0,100,100,100
709.0,58.0,100,100,100
714.0,40.0,100,100,100
721.0,40.0,100,100,100
721.0,35.0,100,100,100
728.0,47.0,100,100,100
1081.0,50.0,100,100,100
1562.0,74.0,100,100,100
1648.0,182.0,100,100,100
1686.0,145.0,100,100,100
1724.0,111.0,100,100,100
1817.0,59.0,100,100,100
1878.0,67.0,100,100,100
1948.0,172.0,100,100,100
2006.0,122.0,100,100,100
2058.0,122.0,100,100,100
2099.0,177.0,100,100,100
2145.0,117.0,100,100,100
2193.0,136.0,100,100,100
2238.0,125.0,100,100,100
2284.0,100.0,100,100,100
2350.0,125.0,100,100,100
2416.0,127.0,100,100,100
2504.0,112.0,100,100,100
