Time,GC Util,heapSize,numThreads,GCInterval
11669.0,0.0,100,100,100
0.0,35.0,100,100,100
483.0,22.0,100,100,100
678.0,23.0,100,100,100
754.0,26.0,100,100,100
918.0,85.0,100,100,100
968.0,32.0,100,100,100
1041.0,33.0,100,100,100
1144.0,33.0,100,100,100
1272.0,36.0,100,100,100
1383.0,41.0,100,100,100
1537.0,33.0,100,100,100
1655.0,36.0,100,100,100
1770.0,37.0,100,100,100
1920.0,37.0,100,100,100
2059.0,36.0,100,100,100
2229.0,40.0,100,100,100
2385.0,39.0,100,100,100
2549.0,39.0,100,100,100
2717.0,35.0,100,100,100
2879.0,33.0,100,100,100
3035.0,35.0,100,100,100
3222.0,35.0,100,100,100
3408.0,41.0,100,100,100
3599.0,35.0,100,100,100
3788.0,35.0,100,100,100
3992.0,37.0,100,100,100
4190.0,41.0,100,100,100
4388.0,39.0,100,100,100
4584.0,39.0,100,100,100
4793.0,35.0,100,100,100
4987.0,38.0,100,100,100
5228.0,34.0,100,100,100
5448.0,36.0,100,100,100
5681.0,33.0,100,100,100
5926.0,35.0,100,100,100
6139.0,39.0,100,100,100
6361.0,35.0,100,100,100
6629.0,36.0,100,100,100
6880.0,42.0,100,100,100
7120.0,35.0,100,100,100
7398.0,44.0,100,100,100
7693.0,35.0,100,100,100
7994.0,35.0,100,100,100
8245.0,40.0,100,100,100
8515.0,32.0,100,100,100
8798.0,37.0,100,100,100
9078.0,33.0,100,100,100
9340.0,37.0,100,100,100
9635.0,40.0,100,100,100
9906.0,44.0,100,100,100
10189.0,38.0,100,100,100
10504.0,41.0,100,100,100
10793.0,41.0,100,100,100
11105.0,39.0,100,100,100
11447.0,38.0,100,100,100
11756.0,43.0,100,100,100
12078.0,41.0,100,100,100
12404.0,46.0,100,100,100
