Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
83.0,0.0,100,100,100
137.0,21.0,100,100.0,0.05
380.0,2.0,100,100.0,10.0
428.0,3.0,100,100.0,10.0
572.0,1.0,100,100.0,10.0
646.0,1.0,100,100.0,10.0
725.0,0.0,100,100.0,10.0
827.0,30.0,100.0,100.0,10.0
876.0,9.0,100.0,100.0,10.0
931.0,1.0,100.0,100.0,10.0
1300.0,0.0,100.0,100.0,10.0
1326.0,8.0,100.0,100.0,10.0
1425.0,1.0,100.0,100.0,10.0
1454.0,5.0,100.0,100.0,10.0
1484.0,5.0,100.0,100.0,10.0
1661.0,0.0,100.0,100.0,10.0
1834.0,1.0,100.0,100.0,10.0
2318.0,0.0,100.0,100.0,10.0
2911.0,0.0,100.0,100.0,10.0
3470.0,0.0,100.0,100.0,10.0
4255.0,0.0,100.0,100.0,10.0
4830.0,0.0,100.0,100.0,10.0
5362.0,0.0,100.0,100.0,10.0
5946.0,0.0,100.0,100.0,10.0
6539.0,0.0,100.0,100.0,10.0
7141.0,0.0,100.0,100.0,10.0
7698.0,0.0,100.0,100.0,10.0
8281.0,0.0,100.0,100.0,10.0
8948.0,0.0,100.0,100.0,10.0
9478.0,0.0,100.0,100.0,10.0
10075.0,0.0,100.0,100.0,10.0
10708.0,0.0,100.0,100.0,10.0
11326.0,0.0,100.0,100.0,10.0
12022.0,0.0,100.0,100.0,10.0
12593.0,0.0,100.0,100.0,10.0
13220.0,0.0,100.0,100.0,10.0
13958.0,0.0,100.0,100.0,10.0
14665.0,0.0,100.0,100.0,10.0
15336.0,0.0,100.0,100.0,10.0
16013.0,0.0,100.0,100.0,10.0
16748.0,0.0,100.0,100.0,10.0
17489.0,0.0,100.0,100.0,10.0
18136.0,0.0,100.0,100.0,10.0
18770.0,0.0,100.0,100.0,10.0
19490.0,0.0,100.0,100.0,10.0
20130.0,0.0,100.0,100.0,10.0
20795.0,0.0,100.0,100.0,10.0
21425.0,0.0,100.0,100.0,10.0
22065.0,0.0,100.0,100.0,10.0
22775.0,0.0,100.0,100.0,10.0
23474.0,0.0,100.0,100.0,10.0
24064.0,0.0,100.0,100.0,10.0
24711.0,0.0,100.0,100.0,10.0
25382.0,0.0,100.0,100.0,10.0
26078.0,0.0,100.0,100.0,10.0
26670.0,0.0,100.0,100.0,10.0
27227.0,0.0,100.0,100.0,10.0
27927.0,0.0,100.0,100.0,10.0
