Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
119.0,0.0,100,100.0,100
186.0,11.0,100,100.0,10.0
214.0,6.0,100,100.0,10.0
895.0,0.0,100,100.0,10.0
3754.0,0.0,100,100.0,10.0
7585.0,0.0,100,100.0,10.0
10880.0,0.0,100,100.0,10.0
14911.0,0.0,100,100.0,10.0
20377.0,0.0,100,100.0,10.0
26419.0,0.0,100,100.0,10.0
31896.0,0.0,100,100.0,10.0
36505.0,0.0,100,100.0,10.0
36522.0,6.0,100,100.0,10.0
36525.0,26.0,100,100.0,10.0
36534.0,9.0,100,100.0,10.0
36567.0,3.0,100,100.0,10.0
36656.0,1.0,100,100.0,10.0
36750.0,2.0,100,100.0,10.0
36871.0,2.0,100,100.0,10.0
36913.0,9.0,100,100.0,10.0
36955.0,11.0,100,100.0,10.0
39794.0,0.0,100,100.0,10.0
39840.0,16.0,100,100.0,10.0
39877.0,5.0,100,100.0,10.0
39926.0,4.0,100,100.0,10.0
39995.0,5.0,100,100.0,10.0
40045.0,7.0,100,100.0,10.0
40089.0,7.0,100,100.0,10.0
40112.0,11.0,100,100.0,10.0
40124.0,32.0,100,100.0,10.0
40135.0,28.0,100,100.0,10.0
40145.0,18.0,100,100.0,10.0
40163.0,11.0,100,100.0,10.0
40225.0,3.0,100,100.0,10.0
40265.0,3.0,100,100.0,10.0
40298.0,7.0,100,100.0,10.0
40337.0,5.0,100,100.0,10.0
40382.0,4.0,100,100.0,10.0
40422.0,6.0,100,100.0,10.0
40451.0,7.0,100,100.0,10.0
40485.0,7.0,100,100.0,10.0
40512.0,8.0,100,100.0,10.0
40548.0,5.0,100,100.0,10.0
40571.0,9.0,100,100.0,10.0
40658.0,2.0,100,100.0,10.0
40672.0,19.0,100,100.0,10.0
40679.0,34.0,100,100.0,10.0
40687.0,28.0,100,100.0,10.0
40706.0,13.0,100,100.0,10.0
40722.0,10.0,100,100.0,10.0
40741.0,10.0,100,100.0,10.0
40765.0,10.0,100,100.0,10.0
40823.0,5.0,100,100.0,10.0
40876.0,4.0,100,100.0,10.0
40882.0,55.0,100,100.0,10.0
