Time,GC Util,heapSize,numThreads,GCInterval
14275.0,0.0,100,100,100
0.0,0.0,100,100,100
66.0,17.0,100,100,100
91.0,11.0,100,100,100
104.0,0.0,100,100,100
324.0,1.0,100,100,100
504.0,0.0,100,100,100
685.0,0.0,100,100,100
837.0,0.0,100,100,100
1032.0,0.0,100,100,100
1256.0,0.0,100,100,100
1487.0,0.0,100,100,100
1664.0,0.0,100,100,100
1833.0,8.0,100,100,100
1841.0,6.0,100,100,100
1850.0,2.0,100,100,100
1874.0,1.0,100,100,100
1908.0,1.0,100,100,100
1946.0,1.0,100,100,100
1997.0,2.0,100,100,100
2043.0,4.0,100,100,100
2074.0,4.0,100,100,100
2113.0,0.0,100,100,100
4383.0,4.0,100,100,100
4417.0,3.0,100,100,100
4455.0,2.0,100,100,100
4502.0,2.0,100,100,100
4543.0,3.0,100,100,100
4585.0,15.0,100,100,100
4597.0,15.0,100,100,100
4605.0,8.0,100,100,100
4619.0,41.0,100,100,100
4620.0,10.0,100,100,100
4627.0,2.0,100,100,100
4654.0,2.0,100,100,100
4687.0,3.0,100,100,100
4714.0,4.0,100,100,100
4740.0,4.0,100,100,100
4768.0,4.0,100,100,100
4801.0,3.0,100,100,100
4832.0,4.0,100,100,100
4854.0,5.0,100,100,100
4876.0,4.0,100,100,100
4898.0,6.0,100,100,100
4915.0,4.0,100,100,100
4941.0,6.0,100,100,100
4958.0,6.0,100,100,100
4979.0,3.0,100,100,100
5007.0,14.0,100,100,100
5018.0,25.0,100,100,100
5022.0,23.0,100,100,100
5026.0,14.0,100,100,100
5034.0,5.0,100,100,100
5050.0,9.0,100,100,100
5059.0,9.0,100,100,100
5069.0,8.0,100,100,100
5081.0,12.0,100,100,100
5090.0,6.0,100,100,100
5107.0,12.0,100,100,100
5120.0,8.0,100,100,100
5136.0,2.0,100,100,100
5165.0,9.0,100,100,100
5180.0,31.0,100,100,100
5185.0,76.0,100,100,100
5190.0,76.0,100,100,100
5193.0,32.0,100,100,100
5197.0,18.0,100,100,100
5201.0,10.0,100,100,100
5209.0,16.0,100,100,100
5215.0,9.0,100,100,100
5226.0,11.0,100,100,100
5237.0,10.0,100,100,100
5246.0,1.0,100,100,100
5293.0,12.0,100,100,100
5303.0,48.0,100,100,100
5354.0,32.0,100,100,100
5360.0,54.0,100,100,100
5362.0,38.0,100,100,100
5365.0,30.0,100,100,100
5368.0,24.0,100,100,100
5372.0,20.0,100,100,100
5375.0,19.0,100,100,100
5379.0,23.0,100,100,100
5383.0,24.0,100,100,100
5387.0,22.0,100,100,100
5391.0,19.0,100,100,100
5396.0,8.0,100,100,100
5408.0,10.0,100,100,100
5419.0,5.0,100,100,100
5444.0,7.0,100,100,100
5462.0,16.0,100,100,100
5471.0,31.0,100,100,100
5477.0,85.0,100,100,100
5481.0,56.0,100,100,100
5484.0,23.0,100,100,100
5489.0,9.0,100,100,100
5497.0,9.0,100,100,100
5508.0,7.0,100,100,100
5525.0,27.0,100,100,100
5529.0,38.0,100,100,100
5532.0,23.0,100,100,100
5537.0,9.0,100,100,100
5547.0,6.0,100,100,100
5565.0,18.0,100,100,100
5572.0,61.0,100,100,100
5574.0,36.0,100,100,100
5577.0,9.0,100,100,100
5583.0,44.0,100,100,100
5587.0,71.0,100,100,100
5590.0,54.0,100,100,100
5594.0,28.0,100,100,100
5599.0,25.0,100,100,100
5605.0,23.0,100,100,100
5611.0,6.0,100,100,100
5634.0,56.0,100,100,100
5640.0,19.0,100,100,100
5652.0,6.0,100,100,100
5685.0,57.0,100,100,100
5691.0,50.0,100,100,100
5697.0,32.0,100,100,100
5705.0,23.0,100,100,100
5713.0,20.0,100,100,100
5727.0,5.0,100,100,100
5778.0,18.0,100,100,100
5796.0,4.0,100,100,100
5869.0,33.0,100,100,100
5882.0,89.0,100,100,100
5927.0,26.0,100,100,100
5957.0,35.0,100,100,100
5969.0,17.0,100,100,100
5986.0,7.0,100,100,100
