Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
71.0,0.0,100,100,100
101.0,40.0,100,12.5,0.05
114.0,39.0,100,100.0,10.0
160.0,3.0,100,100.0,10.0
288.0,1.0,100,100.0,10.0
372.0,0.0,100,100.0,10.0
468.0,0.0,100,100.0,10.0
557.0,0.0,100,100.0,10.0
588.0,2.0,100,100.0,10.0
589.0,83.0,100,100.0,10.0
590.0,79.0,100,100.0,10.0
591.0,79.0,100,100.0,10.0
592.0,71.0,100,100.0,10.0
593.0,48.0,100,12.5,10.0
594.0,38.0,100,100.0,10.0
595.0,48.0,100,100.0,10.0
595.0,45.0,100,100.0,10.0
596.0,47.0,100,100.0,10.0
597.0,45.0,100,100.0,10.0
598.0,46.0,100,100.0,10.0
598.0,46.0,100,100.0,10.0
599.0,46.0,100,100.0,10.0
600.0,45.0,100,100.0,10.0
601.0,46.0,100,100.0,10.0
601.0,44.0,100,100.0,10.0
609.0,26.0,100.0,100.0,10.0
777.0,3.0,100.0,100.0,10.0
816.0,1.0,100.0,100.0,10.0
876.0,1.0,100.0,100.0,10.0
915.0,2.0,100.0,100.0,10.0
1229.0,0.0,100.0,100.0,10.0
1243.0,9.0,100.0,100.0,10.0
1264.0,32.0,100.0,100.0,10.0
1269.0,37.0,100.0,100.0,10.0
1272.0,62.0,100.0,100.0,10.0
1281.0,21.0,100.0,100.0,10.0
1290.0,39.0,100.0,100.0,10.0
1292.0,108.0,100.0,100.0,10.0
1297.0,129.0,100.0,100.0,12.0
1313.0,12.0,100.0,100.0,27.2
1320.0,19.0,100.0,100.0,10.0
1329.0,15.0,100.0,100.0,10.0
1335.0,42.0,100.0,100.0,10.0
1343.0,42.0,100.0,100.0,10.0
1347.0,45.0,100.0,100.0,10.0
1355.0,49.0,100.0,100.0,10.0
1365.0,14.0,100.0,100.0,10.0
1380.0,9.0,100.0,100.0,10.0
1391.0,25.0,100.0,100.0,10.0
1407.0,17.0,100.0,100.0,10.0
1424.0,23.0,100.0,100.0,10.0
1439.0,28.0,100.0,100.0,10.0
1453.0,20.0,100.0,100.0,10.0
1467.0,32.0,100.0,100.0,10.0
1481.0,21.0,100.0,100.0,10.0
1511.0,7.0,100.0,100.0,10.0
1526.0,10.0,100.0,100.0,10.0
1536.0,17.0,100.0,100.0,10.0
1557.0,8.0,100.0,100.0,10.0
1571.0,15.0,100.0,100.0,10.0
1580.0,19.0,100.0,100.0,10.0
1589.0,19.0,100.0,100.0,10.0
1606.0,10.0,100.0,100.0,10.0
1618.0,16.0,100.0,100.0,10.0
1626.0,43.0,100.0,100.0,10.0
1633.0,24.0,100.0,100.0,10.0
1641.0,23.0,100.0,100.0,10.0
1654.0,14.0,100.0,100.0,10.0
1668.0,16.0,100.0,100.0,10.0
1678.0,16.0,100.0,100.0,10.0
1693.0,17.0,100.0,100.0,10.0
1702.0,22.0,100.0,100.0,10.0
1710.0,31.0,100.0,100.0,10.0
1715.0,26.0,100.0,100.0,10.0
1721.0,27.0,100.0,100.0,10.0
1735.0,12.0,100.0,100.0,10.0
1740.0,32.0,100.0,100.0,10.0
1745.0,32.0,100.0,100.0,10.0
1751.0,34.0,100.0,100.0,10.0
1756.0,41.0,100.0,100.0,10.0
1762.0,30.0,100.0,100.0,10.0
1770.0,29.0,100.0,100.0,10.0
1774.0,31.0,100.0,100.0,10.0
1779.0,38.0,100.0,100.0,10.0
1785.0,24.0,100.0,100.0,10.0
1789.0,31.0,100.0,100.0,10.0
1792.0,56.0,100.0,100.0,10.0
1797.0,29.0,100.0,100.0,10.0
1802.0,43.0,100.0,100.0,10.0
1806.0,51.0,100.0,100.0,10.0
1811.0,48.0,100.0,100.0,10.0
1816.0,30.0,100.0,100.0,10.0
1821.0,33.0,100.0,100.0,10.0
1826.0,34.0,100.0,100.0,10.0
1831.0,33.0,100.0,100.0,10.0
1834.0,43.0,100.0,100.0,10.0
1840.0,27.0,100.0,100.0,10.0
1846.0,26.0,100.0,100.0,10.0
1850.0,32.0,100.0,100.0,10.0
1854.0,38.0,100.0,100.0,10.0
1858.0,46.0,100.0,100.0,10.0
1863.0,52.0,100.0,100.0,10.0
1867.0,53.0,100.0,100.0,10.0
1871.0,43.0,100.0,100.0,10.0
1876.0,45.0,100.0,100.0,10.0
1881.0,54.0,100.0,100.0,10.0
1887.0,25.0,100.0,100.0,10.0
1890.0,52.0,100.0,100.0,10.0
1894.0,41.0,100.0,100.0,10.0
1899.0,34.0,100.0,100.0,10.0
1903.0,35.0,100.0,100.0,10.0
1906.0,53.0,100.0,100.0,10.0
1910.0,58.0,100.0,100.0,10.0
1916.0,23.0,100.0,100.0,10.0
1920.0,37.0,100.0,100.0,10.0
1923.0,58.0,100.0,100.0,10.0
1926.0,65.0,100.0,100.0,10.0
1931.0,67.0,100.0,100.0,10.0
1936.0,41.0,100.0,12.5,10.0
1942.0,33.0,100.0,100.0,10.0
1947.0,57.0,100.0,100.0,10.0
1951.0,39.0,100.0,100.0,10.0
1956.0,47.0,100.0,100.0,10.0
1959.0,58.0,100.0,100.0,10.0
1963.0,72.0,100.0,100.0,10.0
1967.0,73.0,100.0,100.0,10.0
1972.0,34.0,100.0,100.0,10.0
1977.0,54.0,100.0,100.0,10.0
1980.0,75.0,100.0,100.0,10.0
1983.0,80.0,100.0,100.0,10.0
1988.0,56.0,100.0,100.0,10.0
1993.0,71.0,100.0,100.0,10.0
1997.0,79.0,100.0,100.0,10.0
2001.0,47.0,100.0,100.0,10.0
2006.0,71.0,100.0,100.0,10.0
2010.0,76.0,100.0,100.0,10.0
2014.0,56.0,100.0,100.0,10.0
2019.0,77.0,100.0,100.0,10.0
2022.0,92.0,100.0,100.0,11.6
2026.0,54.0,100.0,100.0,10.8
2030.0,93.0,100.0,100.0,10.0
2037.0,33.0,100.0,100.0,14.0
2041.0,79.0,100.0,100.0,10.0
2045.0,85.0,100.0,100.0,10.4
2048.0,95.0,100.0,100.0,11.6
2053.0,68.0,100.0,100.0,11.2
2057.0,80.0,100.0,100.0,10.0
2060.0,96.0,100.0,100.0,10.4
2065.0,87.0,100.0,100.0,11.6
2070.0,65.0,100.0,100.0,14.0
2075.0,66.0,100.0,100.0,10.0
2080.0,54.0,100.0,100.0,10.0
2085.0,42.0,100.0,100.0,10.0
2090.0,66.0,100.0,100.0,10.0
2093.0,47.0,100.0,100.0,10.0
2096.0,71.0,100.0,100.0,10.0
2100.0,91.0,100.0,100.0,10.0
2104.0,91.0,100.0,100.0,13.2
2109.0,61.0,100.0,100.0,12.8
2113.0,61.0,100.0,100.0,10.0
2117.0,73.0,100.0,100.0,10.0
2121.0,98.0,100.0,100.0,10.0
2124.0,82.0,100.0,100.0,14.8
2128.0,92.0,100.0,100.0,10.0
2130.0,85.0,100.0,100.0,13.2
2134.0,68.0,100.0,100.0,10.0
2139.0,58.0,100.0,100.0,10.0
2143.0,89.0,100.0,100.0,10.0
2149.0,37.0,100.0,100.0,12.8
2154.0,68.0,100.0,100.0,10.0
2162.0,41.0,100.0,100.0,10.0
2167.0,74.0,100.0,100.0,10.0
2174.0,41.0,100.0,100.0,10.8
2178.0,53.0,100.0,100.0,10.0
2181.0,95.0,100.0,100.0,10.0
2185.0,81.0,100.0,100.0,12.0
2189.0,43.0,100.0,100.0,10.4
2193.0,75.0,100.0,100.0,10.0
2196.0,53.0,100.0,100.0,10.0
2199.0,89.0,100.0,100.0,10.0
2204.0,74.0,100.0,100.0,10.4
2207.0,115.0,100.0,100.0,10.4
2213.0,50.0,100.0,100.0,16.0
2216.0,62.0,100.0,100.0,10.0
2222.0,51.0,100.0,100.0,10.0
2226.0,57.0,100.0,100.0,10.0
2230.0,61.0,100.0,100.0,10.0
2235.0,44.0,100.0,100.0,10.0
2239.0,33.0,100.0,100.0,10.0
2245.0,48.0,100.0,100.0,10.0
2249.0,86.0,100.0,100.0,10.0
