Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
78.0,0.0,100,100,100
118.0,34.0,100,100.0,0.05
131.0,43.0,100,100.0,10.0
159.0,9.0,100,100.0,10.0
338.0,1.0,100,100.0,10.0
418.0,2.0,100,100.0,10.0
441.0,8.0,100,100.0,10.0
455.0,12.0,100,100.0,10.0
464.0,13.0,100,100.0,10.0
476.0,31.0,100.0,100.0,10.0
547.0,12.0,100.0,100.0,10.0
564.0,8.0,100.0,100.0,10.0
621.0,2.0,100.0,100.0,10.0
647.0,4.0,100.0,100.0,10.0
656.0,24.0,100.0,100.0,10.0
660.0,54.0,100.0,100.0,10.0
680.0,27.0,100.0,100.0,10.0
700.0,8.0,100.0,100.0,10.0
723.0,9.0,100.0,100.0,10.0
767.0,2.0,100.0,100.0,10.0
789.0,5.0,100.0,100.0,10.0
793.0,19.0,100.0,100.0,10.0
798.0,11.0,100.0,100.0,10.0
808.0,5.0,100.0,100.0,10.0
822.0,4.0,100.0,100.0,10.0
834.0,10.0,100.0,100.0,10.0
845.0,21.0,100.0,100.0,10.0
851.0,22.0,100.0,100.0,10.0
860.0,20.0,100.0,100.0,10.0
862.0,76.0,100.0,100.0,10.0
866.0,46.0,100.0,100.0,10.0
871.0,45.0,100.0,100.0,10.0
874.0,42.0,100.0,100.0,10.0
880.0,32.0,100.0,100.0,10.0
885.0,24.0,100.0,100.0,10.0
891.0,15.0,100.0,100.0,10.0
898.0,13.0,100.0,100.0,10.0
903.0,19.0,100.0,100.0,10.0
906.0,31.0,100.0,100.0,10.0
910.0,30.0,100.0,100.0,10.0
913.0,23.0,100.0,100.0,10.0
916.0,29.0,100.0,100.0,10.0
920.0,35.0,100.0,100.0,10.0
922.0,37.0,100.0,100.0,10.0
925.0,39.0,100.0,12.5,10.0
928.0,23.0,100.0,100.0,10.0
932.0,31.0,100.0,100.0,10.0
935.0,32.0,100.0,100.0,10.0
939.0,55.0,100.0,100.0,10.0
942.0,39.0,100.0,12.5,10.0
944.0,28.0,100.0,100.0,10.0
947.0,45.0,100.0,100.0,10.0
950.0,40.0,100.0,12.5,10.0
953.0,23.0,100.0,100.0,10.0
955.0,53.0,100.0,100.0,10.0
957.0,37.0,100.0,100.0,10.0
959.0,37.0,100.0,100.0,10.0
962.0,38.0,100.0,12.5,10.0
965.0,27.0,100.0,100.0,10.0
967.0,38.0,100.0,12.5,10.0
970.0,22.0,100.0,100.0,10.0
972.0,57.0,100.0,100.0,10.0
974.0,38.0,100.0,100.0,10.0
976.0,40.0,100.0,12.5,10.0
979.0,23.0,100.0,100.0,10.0
981.0,45.0,100.0,100.0,10.0
983.0,41.0,100.0,100.0,10.0
985.0,47.0,100.0,100.0,10.0
988.0,50.0,100.0,100.0,10.0
990.0,45.0,100.0,100.0,10.0
992.0,46.0,100.0,100.0,10.0
994.0,44.0,100.0,100.0,10.0
997.0,46.0,100.0,100.0,10.0
999.0,47.0,100.0,100.0,10.0
1001.0,49.0,100.0,100.0,10.0
1004.0,52.0,100.0,100.0,10.0
1006.0,43.0,100.0,100.0,10.0
1008.0,40.0,100.0,12.5,10.0
1010.0,25.0,100.0,100.0,10.0
1013.0,77.0,100.0,100.0,10.0
1015.0,36.0,100.0,100.0,10.0
1018.0,38.0,100.0,12.5,10.0
1020.0,28.0,100.0,100.0,10.0
1023.0,41.0,100.0,100.0,10.0
1025.0,33.0,100.0,100.0,10.0
1028.0,35.0,100.0,100.0,10.0
1031.0,53.0,100.0,100.0,10.0
1034.0,36.0,100.0,100.0,10.0
1037.0,29.0,100.0,100.0,10.0
1040.0,67.0,100.0,100.0,10.0
1042.0,41.0,100.0,12.5,10.0
1045.0,22.0,100.0,100.0,10.0
1047.0,42.0,100.0,100.0,10.0
1050.0,52.0,100.0,100.0,10.0
1052.0,40.0,100.0,12.5,10.0
1054.0,30.0,100.0,100.0,10.0
1057.0,42.0,100.0,100.0,10.0
1059.0,47.0,100.0,100.0,10.0
1061.0,36.0,100.0,100.0,10.0
1064.0,44.0,100.0,100.0,10.0
1066.0,46.0,100.0,100.0,10.0
1069.0,33.0,100.0,100.0,10.0
1071.0,41.0,100.0,100.0,10.0
1074.0,29.0,100.0,100.0,10.0
1076.0,45.0,100.0,100.0,10.0
1078.0,41.0,100.0,100.0,10.0
1081.0,67.0,100.0,100.0,10.0
1084.0,33.0,100.0,100.0,10.0
1086.0,37.0,100.0,100.0,10.0
1089.0,47.0,100.0,100.0,10.0
1091.0,37.0,100.0,100.0,10.0
1093.0,38.0,100.0,12.5,10.0
1095.0,29.0,100.0,100.0,10.0
1097.0,47.0,100.0,100.0,10.0
1099.0,42.0,100.0,100.0,10.0
1102.0,30.0,100.0,100.0,10.0
1104.0,33.0,100.0,100.0,10.0
1106.0,35.0,100.0,100.0,10.0
1109.0,45.0,100.0,100.0,10.0
1111.0,33.0,100.0,100.0,10.0
1114.0,32.0,100.0,100.0,10.0
1116.0,46.0,100.0,100.0,10.0
1118.0,38.0,100.0,12.5,10.0
1121.0,34.0,100.0,100.0,10.0
1124.0,48.0,100.0,100.0,10.0
1126.0,86.0,100.0,100.0,10.0
1128.0,88.0,100.0,100.0,10.0
1130.0,84.0,100.0,100.0,10.0
1133.0,51.0,100.0,100.0,10.0
1135.0,66.0,100.0,100.0,10.0
1137.0,63.0,100.0,100.0,10.0
1139.0,36.0,100.0,100.0,10.0
1141.0,53.0,100.0,100.0,10.0
1143.0,46.0,100.0,100.0,10.0
1145.0,43.0,100.0,100.0,10.0
1147.0,59.0,100.0,100.0,10.0
1150.0,48.0,100.0,100.0,10.0
1153.0,50.0,100.0,100.0,10.0
1155.0,58.0,100.0,100.0,10.0
1157.0,72.0,100.0,100.0,10.0
1159.0,55.0,100.0,100.0,10.0
1161.0,44.0,100.0,100.0,10.0
1164.0,38.0,100.0,100.0,10.0
1166.0,51.0,100.0,100.0,10.0
1168.0,71.0,100.0,100.0,10.0
1170.0,72.0,100.0,100.0,10.0
1172.0,67.0,100.0,100.0,10.0
1174.0,66.0,100.0,100.0,10.0
1176.0,56.0,100.0,100.0,10.0
1178.0,65.0,100.0,100.0,10.0
1180.0,49.0,100.0,100.0,10.0
1182.0,72.0,100.0,100.0,10.0
1184.0,50.0,100.0,100.0,10.0
1186.0,49.0,100.0,100.0,10.0
1188.0,48.0,100.0,100.0,10.0
1189.0,50.0,100.0,100.0,10.0
1191.0,57.0,100.0,100.0,10.0
1193.0,59.0,100.0,100.0,10.0
1195.0,49.0,100.0,100.0,10.0
