Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
69.0,0.0,100,100,100
122.0,21.0,100,100.0,0.05
133.0,49.0,100,100.0,10.0
407.0,0.0,100,100.0,10.0
480.0,4.0,100,100.0,10.0
549.0,2.0,100,100.0,10.0
564.0,12.0,100,100.0,10.0
582.0,9.0,100,100.0,10.0
598.0,32.0,100.0,100.0,10.0
740.0,5.0,100.0,100.0,10.0
772.0,4.0,100.0,100.0,10.0
834.0,2.0,100.0,100.0,10.0
860.0,5.0,100.0,100.0,10.0
870.0,9.0,100.0,100.0,10.0
878.0,36.0,100.0,100.0,10.0
918.0,82.0,100.0,100.0,10.0
927.0,40.0,100.0,12.5,85.2
960.0,2.0,100.0,100.0,10.0
995.0,8.0,100.0,100.0,10.0
1005.0,20.0,100.0,100.0,10.0
1009.0,30.0,100.0,100.0,10.0
1014.0,27.0,100.0,100.0,10.0
1020.0,18.0,100.0,100.0,10.0
1033.0,9.0,100.0,100.0,10.0
1038.0,72.0,100.0,100.0,10.0
1039.0,130.0,100.0,100.0,10.0
1042.0,50.0,100.0,12.5,11.2
1056.0,9.0,100.0,100.0,10.0
1061.0,57.0,100.0,100.0,10.0
1074.0,17.0,100.0,100.0,10.0
1082.0,16.0,100.0,100.0,10.0
1088.0,27.0,100.0,100.0,10.0
1092.0,35.0,100.0,100.0,10.0
1096.0,22.0,100.0,100.0,10.0
1101.0,43.0,100.0,100.0,10.0
1108.0,37.0,100.0,100.0,10.0
1111.0,21.0,100.0,100.0,10.0
1116.0,19.0,100.0,100.0,10.0
1120.0,34.0,100.0,100.0,10.0
1125.0,32.0,100.0,100.0,10.0
1129.0,21.0,100.0,100.0,10.0
1133.0,36.0,100.0,100.0,10.0
1136.0,24.0,100.0,100.0,10.0
1140.0,21.0,100.0,100.0,10.0
1143.0,48.0,100.0,100.0,10.0
1146.0,29.0,100.0,100.0,10.0
1149.0,40.0,100.0,12.5,10.0
1153.0,17.0,100.0,100.0,10.0
1156.0,64.0,100.0,100.0,10.0
1160.0,26.0,100.0,100.0,10.0
1167.0,12.0,100.0,100.0,10.0
1173.0,44.0,100.0,100.0,10.0
1175.0,35.0,100.0,100.0,10.0
1178.0,38.0,100.0,100.0,10.0
1180.0,36.0,100.0,100.0,10.0
1183.0,36.0,100.0,100.0,10.0
1186.0,33.0,100.0,100.0,10.0
1189.0,45.0,100.0,100.0,10.0
1191.0,39.0,100.0,12.5,10.0
1194.0,21.0,100.0,100.0,10.0
1197.0,35.0,100.0,100.0,10.0
1200.0,49.0,100.0,100.0,10.0
1203.0,50.0,100.0,100.0,10.0
1206.0,53.0,100.0,100.0,10.0
1208.0,49.0,100.0,100.0,10.0
1211.0,37.0,100.0,100.0,10.0
1214.0,29.0,100.0,100.0,10.0
1218.0,52.0,100.0,100.0,10.0
1225.0,55.0,100.0,100.0,10.0
1231.0,16.0,100.0,100.0,10.0
1235.0,37.0,100.0,100.0,10.0
1238.0,34.0,100.0,100.0,10.0
1241.0,33.0,100.0,100.0,10.0
1243.0,34.0,100.0,100.0,10.0
1248.0,35.0,100.0,100.0,10.0
1252.0,57.0,100.0,100.0,10.0
1256.0,51.0,100.0,100.0,10.0
1259.0,36.0,100.0,100.0,10.0
1263.0,65.0,100.0,100.0,10.0
1266.0,39.0,100.0,100.0,10.0
1269.0,35.0,100.0,100.0,10.0
1273.0,88.0,100.0,100.0,10.0
1280.0,30.0,100.0,100.0,12.0
1283.0,48.0,100.0,100.0,10.0
1287.0,90.0,100.0,100.0,10.0
1290.0,36.0,100.0,100.0,12.0
1294.0,42.0,100.0,100.0,10.0
1298.0,82.0,100.0,100.0,10.0
1302.0,113.0,100.0,100.0,10.4
1305.0,58.0,100.0,100.0,17.2
1309.0,79.0,100.0,100.0,10.0
1313.0,76.0,100.0,100.0,10.0
1316.0,76.0,100.0,100.0,10.0
1319.0,46.0,100.0,100.0,10.0
1322.0,36.0,100.0,100.0,10.0
1324.0,40.0,100.0,12.5,10.0
1327.0,19.0,100.0,100.0,10.0
1331.0,111.0,100.0,100.0,10.0
1333.0,57.0,100.0,100.0,17.6
1336.0,82.0,100.0,100.0,10.0
1339.0,53.0,100.0,100.0,10.0
1342.0,30.0,100.0,100.0,10.0
1346.0,64.0,100.0,100.0,10.0
1349.0,33.0,100.0,100.0,10.0
1355.0,88.0,100.0,100.0,10.0
1357.0,39.0,100.0,100.0,16.4
1362.0,107.0,100.0,100.0,10.0
1366.0,52.0,100.0,100.0,19.6
1370.0,34.0,100.0,100.0,10.0
1375.0,33.0,100.0,100.0,10.0
1378.0,32.0,100.0,100.0,10.0
1382.0,28.0,100.0,100.0,10.0
1388.0,16.0,100.0,100.0,10.0
1392.0,36.0,100.0,100.0,10.0
1396.0,77.0,100.0,100.0,10.0
1399.0,81.0,100.0,100.0,10.0
1401.0,75.0,100.0,100.0,10.0
1402.0,108.0,100.0,100.0,10.0
1404.0,132.0,100.0,100.0,10.0
1405.0,106.0,100.0,100.0,12.4
1408.0,95.0,100.0,100.0,10.0
1411.0,98.0,100.0,100.0,10.0
1413.0,65.0,100.0,100.0,10.4
1415.0,69.0,100.0,100.0,10.0
1418.0,67.0,100.0,100.0,10.0
1421.0,98.0,100.0,100.0,10.0
1424.0,53.0,100.0,100.0,11.2
1426.0,59.0,100.0,100.0,10.0
1429.0,31.0,100.0,100.0,10.0
1431.0,49.0,100.0,100.0,10.0
1433.0,48.0,100.0,100.0,10.0
1436.0,45.0,100.0,100.0,10.0
1438.0,46.0,100.0,100.0,10.0
1440.0,54.0,100.0,100.0,10.0
1443.0,56.0,100.0,100.0,10.0
1445.0,56.0,100.0,100.0,10.0
1448.0,54.0,100.0,100.0,10.0
1453.0,30.0,100.0,100.0,10.0
1456.0,55.0,100.0,100.0,10.0
1458.0,47.0,100.0,100.0,10.0
1461.0,88.0,100.0,100.0,10.0
1463.0,65.0,100.0,100.0,10.0
1472.0,11.0,100.0,100.0,10.0
1475.0,47.0,100.0,100.0,10.0
1477.0,57.0,100.0,100.0,10.0
1479.0,64.0,100.0,100.0,10.0
1483.0,104.0,100.0,100.0,10.0
1485.0,65.0,100.0,100.0,15.2
1489.0,90.0,100.0,100.0,10.0
1491.0,39.0,100.0,100.0,12.0
1494.0,61.0,100.0,100.0,10.0
1496.0,43.0,100.0,12.5,10.0
1498.0,22.0,100.0,100.0,10.0
1501.0,92.0,100.0,100.0,10.0
1504.0,71.0,100.0,100.0,10.4
