Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
74.0,0.0,100,100,100
107.0,36.0,100,100.0,0.05
120.0,44.0,100,100.0,10.0
273.0,1.0,100,100.0,10.0
312.0,5.0,100,100.0,10.0
328.0,5.0,100,100.0,10.0
343.0,5.0,100,100.0,10.0
366.0,3.0,100,100.0,10.0
392.0,2.0,100,100.0,10.0
424.0,2.0,100,100.0,10.0
466.0,1.0,100,100.0,10.0
496.0,3.0,100,100.0,10.0
553.0,1.0,100,100.0,10.0
605.0,2.0,100,100.0,10.0
643.0,68.0,100.0,100.0,10.0
679.0,17.0,100.0,100.0,10.0
686.0,27.0,100.0,100.0,10.0
695.0,17.0,100.0,100.0,10.0
698.0,62.0,100.0,100.0,10.0
708.0,12.0,100.0,100.0,10.0
732.0,5.0,100.0,100.0,10.0
746.0,11.0,100.0,100.0,10.0
796.0,7.0,100.0,100.0,10.0
810.0,11.0,100.0,100.0,10.0
870.0,6.0,100.0,100.0,10.0
888.0,10.0,100.0,100.0,10.0
904.0,13.0,100.0,100.0,10.0
921.0,12.0,100.0,100.0,10.0
944.0,53.0,110.94,100.0,10.0
960.0,74.0,110.94,100.0,10.0
969.0,19.0,110.94,100.0,28.4
992.0,7.0,110.94,100.0,10.0
1006.0,57.0,107.81,100.0,10.0
1023.0,55.0,107.81,100.0,10.0
1040.0,10.0,107.81,100.0,13.2
1053.0,37.0,104.69,100.0,10.0
1075.0,35.0,104.69,100.0,10.0
1096.0,9.0,104.69,100.0,10.0
1106.0,35.0,104.69,100.0,10.0
1118.0,26.0,104.69,100.0,10.0
1134.0,19.0,104.69,100.0,10.0
1144.0,35.0,104.69,100.0,10.0
1155.0,44.0,104.69,100.0,10.0
1168.0,31.0,104.69,100.0,10.0
1183.0,14.0,104.69,100.0,10.0
1196.0,24.0,104.69,100.0,10.0
1220.0,18.0,104.69,100.0,10.0
1237.0,16.0,104.69,100.0,10.0
1249.0,28.0,104.69,100.0,10.0
1257.0,22.0,104.69,100.0,10.0
1270.0,14.0,104.69,100.0,10.0
1284.0,11.0,104.69,100.0,10.0
1302.0,10.0,104.69,100.0,10.0
1319.0,12.0,104.69,100.0,10.0
1344.0,10.0,104.69,100.0,10.0
1366.0,11.0,104.69,100.0,10.0
1388.0,7.0,104.69,100.0,10.0
1395.0,22.0,104.69,100.0,10.0
1405.0,35.0,104.69,100.0,10.0
1419.0,15.0,104.69,100.0,10.0
1430.0,19.0,104.69,100.0,10.0
1457.0,6.0,104.69,100.0,10.0
1473.0,15.0,104.69,100.0,10.0
1477.0,33.0,104.69,100.0,10.0
1499.0,9.0,104.69,100.0,10.0
1519.0,8.0,104.69,100.0,10.0
1547.0,6.0,104.69,100.0,10.0
1560.0,14.0,104.69,100.0,10.0
1571.0,15.0,104.69,100.0,10.0
1589.0,11.0,104.69,100.0,10.0
1618.0,7.0,104.69,100.0,10.0
1635.0,10.0,104.69,100.0,10.0
1652.0,12.0,104.69,100.0,10.0
1680.0,6.0,104.69,100.0,10.0
1694.0,13.0,104.69,100.0,10.0
1703.0,22.0,104.69,100.0,10.0
1713.0,17.0,104.69,100.0,10.0
1744.0,6.0,104.69,100.0,10.0
1767.0,10.0,104.69,100.0,10.0
1778.0,17.0,104.69,100.0,10.0
1802.0,10.0,104.69,100.0,10.0
1815.0,17.0,104.69,100.0,10.0
1839.0,9.0,104.69,100.0,10.0
1850.0,19.0,104.69,100.0,10.0
1862.0,16.0,104.69,100.0,10.0
1877.0,26.0,104.69,100.0,10.0
1902.0,11.0,104.69,100.0,10.0
1917.0,24.0,104.69,100.0,10.0
1937.0,10.0,104.69,100.0,10.0
1950.0,15.0,104.69,100.0,10.0
1970.0,7.0,104.69,100.0,10.0
1979.0,23.0,104.69,100.0,10.0
1989.0,22.0,104.69,100.0,10.0
2007.0,19.0,104.69,100.0,10.0
2038.0,8.0,104.69,100.0,10.0
2066.0,8.0,104.69,100.0,10.0
2092.0,13.0,104.69,100.0,10.0
2106.0,15.0,104.69,100.0,10.0
2128.0,9.0,104.69,100.0,10.0
2140.0,15.0,104.69,100.0,10.0
2150.0,29.0,104.69,100.0,10.0
2168.0,17.0,104.69,100.0,10.0
2191.0,14.0,104.69,100.0,10.0
2210.0,11.0,104.69,100.0,10.0
2233.0,13.0,104.69,100.0,10.0
2252.0,14.0,104.69,100.0,10.0
2278.0,10.0,104.69,100.0,10.0
2287.0,28.0,104.69,100.0,10.0
2293.0,52.0,104.69,100.0,10.0
2309.0,29.0,104.69,100.0,10.0
2320.0,30.0,104.69,100.0,10.0
2339.0,28.0,104.69,100.0,10.0
2351.0,19.0,104.69,100.0,10.0
2369.0,25.0,104.69,100.0,10.0
2388.0,15.0,104.69,100.0,10.0
2400.0,19.0,104.69,100.0,10.0
2411.0,21.0,104.69,100.0,10.0
2417.0,42.0,104.69,100.0,10.0
2434.0,21.0,104.69,100.0,10.0
2456.0,11.0,104.69,100.0,10.0
2468.0,21.0,104.69,100.0,10.0
2489.0,11.0,104.69,100.0,10.0
2505.0,13.0,104.69,100.0,10.0
2512.0,26.0,104.69,100.0,10.0
2519.0,36.0,104.69,100.0,10.0
2530.0,37.0,104.69,100.0,10.0
2538.0,22.0,104.69,100.0,10.0
2549.0,20.0,104.69,100.0,10.0
2565.0,20.0,104.69,100.0,10.0
2584.0,12.0,104.69,100.0,10.0
2602.0,20.0,104.69,100.0,10.0
2612.0,21.0,104.69,100.0,10.0
2624.0,22.0,104.69,100.0,10.0
2644.0,14.0,104.69,100.0,10.0
2655.0,20.0,104.69,100.0,10.0
2669.0,14.0,104.69,100.0,10.0
2679.0,33.0,104.69,100.0,10.0
2698.0,13.0,104.69,100.0,10.0
2718.0,12.0,104.69,100.0,10.0
2736.0,13.0,104.69,100.0,10.0
2752.0,15.0,104.69,100.0,10.0
2772.0,11.0,104.69,100.0,10.0
2787.0,16.0,104.69,100.0,10.0
2796.0,29.0,104.69,100.0,10.0
2808.0,36.0,104.69,100.0,10.0
2819.0,28.0,104.69,100.0,10.0
2842.0,16.0,104.69,100.0,10.0
2859.0,15.0,104.69,100.0,10.0
2879.0,30.0,104.69,100.0,10.0
2895.0,29.0,104.69,100.0,10.0
2919.0,12.0,104.69,100.0,10.0
2926.0,34.0,104.69,100.0,10.0
2937.0,22.0,104.69,100.0,10.0
2956.0,12.0,104.69,100.0,10.0
2978.0,13.0,104.69,100.0,10.0
