Time,GC Util
0,0
0,0
1265,82
1265,82
1769,51
1932,0
1935,79
4154,0
4156,88
4255,2
4259,79
4276,15
4279,3
4279,3
4389,90
4461,3
4467,89
4514,2
4519,88
4557,9
4561,89
4584,14
4588,9
4588,9
4641,94
4692,3
4697,85
4723,16
4728,91
4751,20
4759,78
4759,78
4823,81
4823,81
4864,79
4864,79
4927,4
4927,4
4997,92
5019,22
5028,98
5035,38
5041,143
5092,3
5098,79
5098,79
5147,70
5147,70
5178,80
5178,80
5178,80
5178,80
5219,102
5219,102
5219,102
5219,102
5274,115
5274,115
5306,143
5306,143
5306,143
5306,143
5377,125
5377,125
5473,158
5473,158
5545,128
5545,128
5593,9
5593,9
5599,175
5599,175
5662,144
5662,144
5714,84
5714,84
5714,84
5714,84
5788,259
5788,259
5816,166
5825,45
5829,289
5829,289
5856,8
5856,8
5862,96
5862,96
5862,96
5862,96
5893,196
5893,196
5927,151
5927,151
5961,121
5961,121
5985,251
5985,251
6027,91
6027,91
6061,155
6061,155
6081,99
6081,99
6081,99
6081,99
6106,86
6106,86
6124,88
6124,88
6159,66
6159,66
6177,96
6177,96
6222,299
6237,5
6242,260
6246,36
6250,259
6267,5
6272,186
6272,186
6302,116
6302,116
6375,154
6375,154
6408,136
6408,136
6441,89
6441,89
6554,208
6554,208
6619,108
6619,108
6677,115
6677,115
6734,281
6773,4
6778,347
6812,7
6818,168
6818,168
6863,143
6863,143
6918,214
6918,214
6987,387
7041,3
7047,434
7095,4
7102,425
7143,4
7150,421
7186,6
7194,13
7194,13
7330,205
7330,205
7364,14
7364,14
7560,210
7560,210
7605,234
7605,234
7762,100
7762,100
8392,417
8409,22
8419,373
8437,29
8445,419
8461,20
8470,129
8470,129
8492,138
8492,138
8513,91
8513,91
8534,102
8534,102
8555,85
8555,85
8575,76
8575,76
8595,163
8595,163
8616,82
8616,82
8641,102
8641,102
8663,84
8663,84
8663,84
8663,84
8686,96
8686,96
8713,126
8713,126
8713,126
8713,126
8740,117
8740,117
8740,117
8740,117
8761,99
8761,99
8761,99
8761,99
8784,122
8784,122
8784,122
8784,122
8881,54
8881,54
8881,54
8881,54
8935,72
8935,72
8976,81
8976,81
8976,81
8976,81
9016,72
9016,72
9016,72
9016,72
9056,72
9056,72
9056,72
9056,72
9095,79
9095,79
9158,69
9158,69
9691,123
9691,123
9691,123
9691,123
10000,173
10000,173
10000,173
10000,173
10105,57
10105,57
10105,57
10105,57
10180,432
10253,12
10260,425
10458,4
10465,418
11034,1
11045,58
11045,58
11045,58
11045,58
11169,20
11169,20
11169,20
11169,20
11623,402
11707,14
11713,453
11844,10
11854,414
11879,21
11891,59
11891,59
11891,59
11891,59
11925,12
11925,12
11925,12
11925,12
12051,13
12051,13
12051,13
12051,13
12093,64
12093,64
12093,64
12093,64
12183,3
12183,3
12516,420
12619,4
12628,423
12731,2
12739,392
12798,12
12806,444
12829,14
12838,106
12838,106
12838,106
12838,106
12870,137
