Time,GC Util,heapSize,numThreads,GCInterval
2713.0,0.0,100,100,100
0.0,64.0,100,100,100
727.0,72.0,100,100,100
731.0,78.0,100,100,100
734.0,75.0,100,100,100
736.0,72.0,100,100,100
739.0,2.0,100,100,100
743.0,77.0,100,100,100
1328.0,131.0,100,100,100
1616.0,152.0,100,100,100
1669.0,75.0,100,100,100
1713.0,73.0,100,100,100
1739.0,70.0,100,100,100
1772.0,83.0,100,100,100
1816.0,93.0,100,100,100
1849.0,198.0,100,100,100
1891.0,64.0,100,100,100
1918.0,136.0,100,100,100
1955.0,131.0,100,100,100
1986.0,147.0,100,100,100
2032.0,144.0,100,100,100
2082.0,183.0,100,100,100
2125.0,184.0,100,100,100
2144.0,184.0,100,100,100
2144.0,230.0,100,100,100
2164.0,164.0,100,100,100
2190.0,164.0,100,100,100
2190.0,244.0,100,100,100
2213.0,182.0,100,100,100
2239.0,178.0,100,100,100
2270.0,155.0,100,100,100
2299.0,164.0,100,100,100
2333.0,320.0,100,100,100
2366.0,207.0,100,100,100
2406.0,161.0,100,100,100
2445.0,239.0,100,100,100
2522.0,156.0,100,100,100
2662.0,129.0,100,100,100
