Time,GC Util
0,0
0,0
1381,20
1381,20
1835,23
1835,23
1927,191
5076,23
5143,86
5143,86
5212,80
5212,80
5264,92
5329,65
5371,51
5371,51
5422,81
5422,81
5501,165
5550,83
5603,73
5603,73
5642,71
5642,71
5674,128
5725,86
5818,108
5818,108
5898,116
5898,116
5935,122
5974,100
6017,144
6017,144
6087,144
6087,144
6114,143
6180,126
6231,148
6231,148
6330,94
6330,94
6444,157
6444,157
6493,135
6493,135
6565,123
6565,123
6614,82
6614,82
6774,124
6774,124
6878,136
6878,136
6956,149
6956,149
7022,132
7022,132
7080,132
7080,132
7134,129
7134,129
7184,121
7184,121
7245,151
7245,151
7292,126
7292,126
7368,155
7368,155
7416,77
7416,77
7519,94
7519,94
7736,127
7736,127
7881,104
7881,104
7963,126
7963,126
8042,144
8042,144
8119,129
8119,129
8172,148
8213,119
8269,46
8316,143
8372,54
8450,100
8506,50
8616,95
8719,323
8719,323
8804,104
8804,104
10012,112
10012,112
10038,59
10038,59
10062,61
10062,61
10084,55
10084,55
10107,131
10107,131
10129,112
10129,112
10152,118
10152,118
10174,63
10174,63
10195,57
10195,57
10216,61
10216,61
10236,96
10236,96
10259,60
10259,60
10278,108
10278,108
10296,110
10296,110
10315,110
10315,110
10333,100
10333,100
10351,92
10351,92
10370,102
10370,102
10388,97
10388,97
10406,108
10406,108
10426,100
10426,100
10448,102
10448,102
10469,110
10469,110
10490,95
10490,95
10510,103
10510,103
10527,100
10527,100
10545,102
10545,102
10562,98
10562,98
10580,126
10580,126
10597,115
10597,115
10615,106
10615,106
10632,119
10632,119
10649,108
10649,108
10666,106
10666,106
10757,105
10757,105
10849,113
10849,113
10924,109
10924,109
10980,66
10980,66
11017,91
11017,91
11048,105
11048,105
11079,110
11079,110
11109,121
11109,121
11140,136
11140,136
11171,113
11171,113
11201,119
11201,119
11232,99
11232,99
11268,109
11268,109
11300,114
11300,114
11330,104
11330,104
11388,102
11388,102
11453,107
11453,107
11518,116
11518,116
12421,106
12421,106
12436,60
12436,60
12449,67
12449,67
12575,306
13054,83
13086,49
13115,90
13146,56
13175,126
13229,156
13229,156
13275,111
13275,111
13336,95
13336,95
13377,106
13377,106
13460,60
13460,60
13529,111
13529,111
13563,200
13590,153
13621,31
13648,201
13677,34
13754,154
13828,15
13944,174
14169,5
14267,137
15017,125
15017,125
15067,185
15067,185
15105,173
15136,118
15178,54
15234,191
15284,18
15332,164
15387,136
15387,136
15450,133
15450,133
15557,168
15557,168
15659,145
15659,145
16110,182
16110,182
16199,119
16199,119
16235,151
16261,100
16296,45
16372,129
16472,125
16472,125
16546,106
16546,106
16574,130
16574,130
16598,134
16598,134
16624,139
16624,139
