Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
499.0,24.0,100,100.0,100
535.0,28.0,100,100.0,100
758.0,29.0,100,100.0,100
909.0,86.0,100,100.0,100
949.0,3.0,100,100.0,100
982.0,89.0,100,100.0,100
1013.0,42.0,100,100.0,100
1036.0,37.0,100,100.0,100
1052.0,0.0,100,100.0,100
1071.0,53.0,100,12.5,100
1093.0,50.0,100,12.5,100
1116.0,57.0,100,12.5,100
1137.0,64.0,100,12.5,100
1157.0,59.0,100,100.0,100
1175.0,77.0,100,100.0,100
1193.0,75.0,100,100.0,100
1211.0,64.0,100,100.0,100
1232.0,55.0,100,12.5,100
1252.0,61.0,100,12.5,100
1269.0,77.0,100,12.5,100
1288.0,64.0,100,12.5,100
1306.0,69.0,100,12.5,100
1326.0,69.0,100,12.5,100
1349.0,80.0,100,12.5,100
1374.0,79.0,100,12.5,100
1398.0,97.0,100,12.5,100
1428.0,101.0,100,12.5,100
1450.0,73.0,100,12.5,100
1478.0,97.0,100,12.5,100
1506.0,94.0,100,100.0,100
1529.0,75.0,100,12.5,100
1558.0,83.0,100,100.0,100
1581.0,79.0,100,12.5,100
1605.0,76.0,100,12.5,100
1628.0,85.0,100,12.5,100
1655.0,90.0,100,12.5,100
1681.0,94.0,100,12.5,100
1708.0,92.0,100,12.5,100
1734.0,95.0,100,12.5,100
1758.0,101.0,100,12.5,100
1786.0,92.0,100,12.5,100
1811.0,98.0,100,12.5,100
1832.0,94.0,100,12.5,100
1852.0,107.0,100,12.5,100
1873.0,118.0,100,12.5,100
1895.0,109.0,100,100.0,100
1916.0,92.0,100,12.5,100
1944.0,103.0,100,12.5,100
1970.0,109.0,100,100.0,100
1994.0,90.0,100,12.5,100
2022.0,110.0,100,12.5,100
2058.0,117.0,100,12.5,100
2086.0,114.0,100,12.5,100
2113.0,94.0,100,12.5,100
2142.0,99.0,100,12.5,100
2179.0,93.0,100,100.0,100
2211.0,97.0,100,12.5,100
2241.0,112.0,100,12.5,100
2272.0,94.0,100,100.0,100
2298.0,98.0,100,100.0,100
2323.0,102.0,100,100.0,100
2346.0,92.0,100,12.5,100
2379.0,104.0,100,12.5,100
2403.0,102.0,100,12.5,100
2430.0,100.0,100,100.0,100
2451.0,97.0,100,12.5,100
2475.0,102.0,100,100.0,100
2496.0,88.0,100,12.5,100
2521.0,95.0,100,100.0,100
2542.0,91.0,100,100.0,100
2564.0,85.0,100,12.5,100
2585.0,115.0,100,12.5,100
2606.0,98.0,100,12.5,100
2627.0,114.0,100,12.5,100
2648.0,111.0,100,100.0,100
2671.0,0.0,100,100.0,100
2695.0,104.0,100,12.5,100
2718.0,114.0,100,12.5,100
2743.0,108.0,100,12.5,100
2768.0,106.0,100,12.5,100
2792.0,113.0,100,12.5,100
2817.0,104.0,100,100.0,100
2838.0,104.0,100,12.5,100
2862.0,100.0,100,12.5,100
2884.0,96.0,100,12.5,100
2908.0,113.0,100,12.5,100
2936.0,90.0,100,12.5,100
2968.0,106.0,100,12.5,100
3001.0,106.0,100,12.5,100
3029.0,100.0,100,12.5,100
3057.0,98.0,100,12.5,100
3083.0,107.0,100,100.0,100
3109.0,95.0,100,12.5,100
3137.0,105.0,100,12.5,100
3163.0,100.0,100,100.0,100
3189.0,100.0,100,12.5,100
3217.0,105.0,100,12.5,100
3243.0,110.0,100,12.5,100
3268.0,104.0,100,12.5,100
3293.0,100.0,100,12.5,100
3319.0,98.0,100,12.5,100
3345.0,106.0,100,12.5,100
3373.0,96.0,100,12.5,100
3401.0,90.0,100,12.5,100
3431.0,98.0,100,12.5,100
3461.0,107.0,100,12.5,100
3493.0,128.0,100,12.5,100
3526.0,124.0,100,12.5,100
3564.0,128.0,100,100.0,100
3606.0,127.0,100,12.5,100
3649.0,135.0,100,100.0,100
3681.0,138.0,100,12.5,100
3713.0,118.0,100,12.5,100
3745.0,133.0,100,100.0,100
3774.0,106.0,100,12.5,100
3808.0,125.0,100,100.0,100
3839.0,140.0,100,12.5,100
3870.0,119.0,100,100.0,100
3901.0,144.0,100,12.5,100
3935.0,158.0,100,12.5,100
3966.0,139.0,100,12.5,100
3997.0,107.0,100,12.5,100
4029.0,113.0,100,12.5,100
4058.0,129.0,100,100.0,100
4083.0,112.0,100,12.5,100
4107.0,108.0,100,100.0,100
4128.0,133.0,100,100.0,100
4150.0,115.0,100,100.0,100
4173.0,138.0,100,100.0,100
4195.0,125.0,100,12.5,100
4222.0,131.0,100,12.5,100
4248.0,154.0,100,12.5,100
4277.0,150.0,100,12.5,100
4305.0,135.0,100,12.5,100
4335.0,122.0,100,12.5,100
4365.0,153.0,100,12.5,100
4398.0,136.0,100,12.5,100
4432.0,124.0,100,12.5,100
4463.0,134.0,100,12.5,100
4495.0,131.0,100,12.5,100
4524.0,131.0,100,12.5,100
4554.0,134.0,100,100.0,100
4581.0,125.0,100,12.5,100
4613.0,131.0,100,12.5,100
4647.0,133.0,100,12.5,100
4681.0,102.0,100,12.5,100
4714.0,138.0,100,100.0,100
4744.0,116.0,100,100.0,100
4773.0,130.0,100,12.5,100
4805.0,156.0,100,12.5,100
4836.0,135.0,100,100.0,100
4862.0,110.0,100,12.5,100
4891.0,140.0,100,100.0,100
4918.0,146.0,100,12.5,100
