Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
80.0,0.0,100,100,100
109.0,45.0,100,100.0,0.05
129.0,26.0,100,100.0,10.0
383.0,0.0,100,100.0,10.0
609.0,0.0,100,100.0,10.0
813.0,0.0,100,100.0,10.0
986.0,0.0,100,100.0,10.0
1188.0,0.0,100,100.0,10.0
1475.0,0.0,100,100.0,10.0
1761.0,0.0,100,100.0,10.0
1963.0,0.0,100,100.0,10.0
2193.0,0.0,100,100.0,10.0
2205.0,6.0,100,100.0,10.0
2212.0,8.0,100,100.0,10.0
2232.0,2.0,100,100.0,10.0
2260.0,2.0,100,100.0,10.0
2308.0,1.0,100,100.0,10.0
2364.0,1.0,100,100.0,10.0
2428.0,1.0,100,100.0,10.0
2464.0,5.0,100,100.0,10.0
4484.0,0.0,100,100.0,10.0
5312.0,0.0,100,100.0,10.0
5350.0,4.0,100,100.0,10.0
5392.0,3.0,100,100.0,10.0
5445.0,2.0,100,100.0,10.0
5489.0,3.0,100,100.0,10.0
5532.0,3.0,100,100.0,10.0
5553.0,8.0,100,100.0,10.0
5562.0,23.0,100,100.0,10.0
5569.0,20.0,100,100.0,10.0
5575.0,15.0,100,100.0,10.0
5585.0,8.0,100,100.0,10.0
5587.0,32.0,100,100.0,10.0
5596.0,8.0,100,100.0,10.0
5620.0,2.0,100,100.0,10.0
5651.0,2.0,100,100.0,10.0
5681.0,3.0,100,100.0,10.0
5708.0,4.0,100,100.0,10.0
5737.0,4.0,100,100.0,10.0
5767.0,4.0,100,100.0,10.0
5798.0,3.0,100,100.0,10.0
5827.0,3.0,100,100.0,10.0
5845.0,6.0,100,100.0,10.0
5869.0,5.0,100,100.0,10.0
5886.0,8.0,100,100.0,10.0
5915.0,4.0,100,100.0,10.0
5936.0,6.0,100,100.0,10.0
5956.0,6.0,100,100.0,10.0
5988.0,3.0,100,100.0,10.0
6000.0,13.0,100,100.0,10.0
6005.0,26.0,100,100.0,10.0
6009.0,24.0,100,100.0,10.0
