Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
84.0,0.0,100,100,100
118.0,35.0,100,100.0,0.05
132.0,38.0,100,100.0,10.0
398.0,0.0,100,100.0,10.0
639.0,0.0,100,100.0,10.0
849.0,0.0,100,100.0,10.0
1041.0,0.0,100,100.0,10.0
1254.0,0.0,100,100.0,10.0
1545.0,0.0,100,100.0,10.0
1830.0,0.0,100,100.0,10.0
2046.0,0.0,100,100.0,10.0
2217.0,0.0,100,100.0,10.0
2231.0,45.0,100,100.0,10.0
2261.0,19.0,100,100.0,10.0
2371.0,0.0,100,100.0,10.0
2492.0,0.0,100,100.0,10.0
2615.0,0.0,100,100.0,10.0
2658.0,4.0,100,100.0,10.0
5341.0,0.0,100,100.0,10.0
5394.0,13.0,100,100.0,10.0
5436.0,11.0,100,100.0,10.0
5495.0,7.0,100,100.0,10.0
5559.0,7.0,100,100.0,10.0
5601.0,4.0,100,100.0,10.0
5616.0,31.0,100,100.0,10.0
5630.0,42.0,100,100.0,10.0
5650.0,22.0,100,100.0,10.0
5722.0,6.0,100,100.0,10.0
5771.0,5.0,100,100.0,10.0
5817.0,5.0,100,100.0,10.0
5870.0,4.0,100,100.0,10.0
5913.0,3.0,100,100.0,10.0
5954.0,4.0,100,100.0,10.0
5989.0,6.0,100,100.0,10.0
6041.0,4.0,100,100.0,10.0
6060.0,14.0,100,100.0,10.0
6079.0,13.0,100,100.0,10.0
6095.0,15.0,100,100.0,10.0
6112.0,8.0,100,100.0,10.0
6142.0,6.0,100,100.0,10.0
6207.0,3.0,100,100.0,10.0
6235.0,43.0,125.0,100.0,10.0
6247.0,278.0,125.0,100.0,10.0
6256.0,22.0,125.0,100.0,150.0
6278.0,9.0,125.0,100.0,10.0
6368.0,47.0,125.0,100.0,10.0
6402.0,43.0,125.0,100.0,10.0
6407.0,56.0,125.0,100.0,10.0
6412.0,72.0,125.0,100.0,10.0
6412.0,72.0,125.0,100.0,10.0
6441.0,32.0,128.12,100.0,10.0
6448.0,573.0,128.12,100.0,10.0
6456.0,18.0,128.12,100.0,200.0
6477.0,7.0,128.12,100.0,10.0
6528.0,3.0,128.12,100.0,10.0
6533.0,53.0,128.12,100.0,10.0
6543.0,32.0,128.12,100.0,10.0
6568.0,10.0,128.12,100.0,10.0
6575.0,24.0,128.12,100.0,10.0
6592.0,10.0,128.12,100.0,10.0
6609.0,8.0,128.12,100.0,10.0
6615.0,41.0,128.12,100.0,10.0
6621.0,31.0,128.12,100.0,10.0
6629.0,27.0,128.12,100.0,10.0
6640.0,10.0,128.12,100.0,10.0
6661.0,8.0,128.12,100.0,10.0
6672.0,16.0,128.12,100.0,10.0
6699.0,6.0,128.12,100.0,10.0
6705.0,35.0,128.12,100.0,10.0
6712.0,29.0,128.12,100.0,10.0
6719.0,35.0,128.12,100.0,10.0
6727.0,20.0,128.12,100.0,10.0
6737.0,18.0,128.12,100.0,10.0
6759.0,9.0,128.12,100.0,10.0
6796.0,4.0,128.12,100.0,10.0
6846.0,4.0,128.12,100.0,10.0
6887.0,4.0,128.12,100.0,10.0
6894.0,30.0,128.12,100.0,10.0
6905.0,21.0,128.12,100.0,10.0
6931.0,10.0,128.12,100.0,10.0
6952.0,12.0,128.12,100.0,10.0
6963.0,17.0,128.12,100.0,10.0
6968.0,47.0,128.12,100.0,10.0
6975.0,41.0,128.12,100.0,10.0
6982.0,32.0,128.12,100.0,10.0
6996.0,13.0,128.12,100.0,10.0
7028.0,8.0,128.12,100.0,10.0
7034.0,41.0,128.12,100.0,10.0
7049.0,18.0,128.12,100.0,10.0
7061.0,12.0,128.12,100.0,10.0
7081.0,6.0,128.12,100.0,10.0
7098.0,9.0,128.12,100.0,10.0
7109.0,16.0,128.12,100.0,10.0
7125.0,14.0,128.12,100.0,10.0
7151.0,4.0,128.12,100.0,10.0
7157.0,21.0,128.12,100.0,10.0
7162.0,48.0,128.12,100.0,10.0
7167.0,46.0,128.12,100.0,10.0
7172.0,47.0,128.12,100.0,10.0
7177.0,43.0,128.12,100.0,10.0
7187.0,15.0,128.12,100.0,10.0
7201.0,14.0,128.12,100.0,10.0
7205.0,65.0,128.12,100.0,10.0
7210.0,53.0,128.12,100.0,10.0
7216.0,41.0,128.12,100.0,10.0
7225.0,18.0,128.12,100.0,10.0
7241.0,12.0,128.12,100.0,10.0
7245.0,51.0,128.12,100.0,10.0
7249.0,63.0,128.12,100.0,10.0
7253.0,59.0,128.12,100.0,10.0
7258.0,32.0,128.12,100.0,10.0
7271.0,10.0,128.12,100.0,10.0
7280.0,15.0,128.12,100.0,10.0
7284.0,59.0,128.12,100.0,10.0
7288.0,61.0,128.12,100.0,10.0
7303.0,11.0,128.12,100.0,10.0
7308.0,45.0,128.12,100.0,10.0
7312.0,48.0,128.12,100.0,10.0
7317.0,56.0,128.12,100.0,10.0
7323.0,23.0,128.12,100.0,10.0
7328.0,29.0,128.12,100.0,10.0
7336.0,20.0,128.12,100.0,10.0
7351.0,13.0,128.12,100.0,10.0
7361.0,15.0,128.12,100.0,10.0
7366.0,34.0,128.12,100.0,10.0
7372.0,29.0,128.12,100.0,10.0
7384.0,12.0,128.12,100.0,10.0
7391.0,19.0,128.12,100.0,10.0
7397.0,24.0,128.12,100.0,10.0
7403.0,35.0,128.12,100.0,10.0
7416.0,10.0,128.12,100.0,10.0
7421.0,50.0,128.12,100.0,10.0
7425.0,47.0,128.12,100.0,10.0
7430.0,44.0,128.12,100.0,10.0
7436.0,36.0,128.12,100.0,10.0
7441.0,19.0,128.12,100.0,10.0
7452.0,12.0,128.12,100.0,10.0
7473.0,5.0,128.12,100.0,10.0
7491.0,9.0,128.12,100.0,10.0
7496.0,43.0,128.12,100.0,10.0
7501.0,33.0,128.12,100.0,10.0
7507.0,35.0,128.12,100.0,10.0
7516.0,27.0,128.12,100.0,10.0
7531.0,15.0,128.12,100.0,10.0
7535.0,57.0,128.12,100.0,10.0
7540.0,47.0,128.12,100.0,10.0
7545.0,34.0,128.12,100.0,10.0
7551.0,19.0,128.12,100.0,10.0
7558.0,20.0,128.12,100.0,10.0
7575.0,9.0,128.12,100.0,10.0
7580.0,33.0,128.12,100.0,10.0
7585.0,54.0,128.12,100.0,10.0
7590.0,46.0,128.12,100.0,10.0
7595.0,44.0,128.12,100.0,10.0
7611.0,12.0,128.12,100.0,10.0
7617.0,45.0,128.12,100.0,10.0
7631.0,14.0,128.12,100.0,10.0
7693.0,2.0,128.12,100.0,10.0
7699.0,48.0,128.12,100.0,10.0
7706.0,58.0,128.12,100.0,10.0
7714.0,31.0,128.12,100.0,10.0
7736.0,17.0,128.12,100.0,10.0
7741.0,48.0,128.12,100.0,10.0
7769.0,9.0,128.12,100.0,10.0
7775.0,52.0,128.12,100.0,10.0
7851.0,3.0,128.12,100.0,10.0
7903.0,4.0,128.12,100.0,10.0
7952.0,7.0,128.12,100.0,10.0
7997.0,5.0,128.12,100.0,10.0
8048.0,5.0,128.12,100.0,10.0
8083.0,8.0,128.12,100.0,10.0
8117.0,7.0,128.12,100.0,10.0
8149.0,8.0,128.12,100.0,10.0
8170.0,10.0,128.12,100.0,10.0
8191.0,12.0,128.12,100.0,10.0
8206.0,17.0,128.12,100.0,10.0
8221.0,19.0,128.12,100.0,10.0
8240.0,15.0,128.12,100.0,10.0
8252.0,24.0,128.12,100.0,10.0
8265.0,21.0,128.12,100.0,10.0
8280.0,15.0,128.12,100.0,10.0
8294.0,16.0,128.12,100.0,10.0
8304.0,27.0,128.12,100.0,10.0
8314.0,28.0,128.12,100.0,10.0
8324.0,29.0,128.12,100.0,10.0
8334.0,26.0,128.12,100.0,10.0
8344.0,23.0,128.12,100.0,10.0
8363.0,13.0,128.12,100.0,10.0
8372.0,29.0,128.12,100.0,10.0
8381.0,28.0,128.12,100.0,10.0
8391.0,28.0,128.12,100.0,10.0
8401.0,25.0,128.12,100.0,10.0
8411.0,25.0,128.12,100.0,10.0
8421.0,22.0,128.12,100.0,10.0
8431.0,24.0,128.12,100.0,10.0
8441.0,24.0,128.12,100.0,10.0
8451.0,23.0,128.12,100.0,10.0
8461.0,25.0,128.12,100.0,10.0
8473.0,24.0,128.12,100.0,10.0
8580.0,2.0,128.12,100.0,10.0
8676.0,192.0,128.12,100.0,10.0
8686.0,25.0,128.12,100.0,200.0
8696.0,23.0,128.12,100.0,10.0
8706.0,23.0,128.12,100.0,10.0
8716.0,24.0,128.12,100.0,10.0
8726.0,25.0,128.12,100.0,10.0
8750.0,10.0,128.12,100.0,10.0
8759.0,34.0,128.12,100.0,10.0
8768.0,34.0,128.12,100.0,10.0
8777.0,28.0,128.12,100.0,10.0
8787.0,22.0,128.12,100.0,10.0
8796.0,23.0,128.12,100.0,10.0
8806.0,23.0,128.12,100.0,10.0
8816.0,23.0,128.12,100.0,10.0
8825.0,25.0,128.12,100.0,10.0
8835.0,22.0,128.12,100.0,10.0
8845.0,22.0,128.12,100.0,10.0
8855.0,22.0,128.12,100.0,10.0
8864.0,26.0,128.12,100.0,10.0
8874.0,25.0,128.12,100.0,10.0
8889.0,16.0,128.12,100.0,10.0
8901.0,22.0,128.12,100.0,10.0
8914.0,15.0,128.12,100.0,10.0
8926.0,16.0,128.12,100.0,10.0
8939.0,13.0,128.12,100.0,10.0
8950.0,16.0,128.12,100.0,10.0
8960.0,19.0,128.12,100.0,10.0
8970.0,21.0,128.12,100.0,10.0
8981.0,23.0,128.12,100.0,10.0
8990.0,25.0,128.12,100.0,10.0
9000.0,29.0,128.12,100.0,10.0
9053.0,4.0,128.12,100.0,10.0
9106.0,7.0,128.12,100.0,10.0
9159.0,5.0,128.12,100.0,10.0
9201.0,4.0,128.12,100.0,10.0
9220.0,4.0,128.12,100.0,10.0
9237.0,4.0,128.12,100.0,10.0
9281.0,1.0,128.12,100.0,10.0
9323.0,2.0,128.12,100.0,10.0
9365.0,1.0,128.12,100.0,10.0
9406.0,2.0,128.12,100.0,10.0
9428.0,3.0,128.12,100.0,10.0
9450.0,3.0,128.12,100.0,10.0
9471.0,2.0,128.12,100.0,10.0
10295.0,0.0,128.12,100.0,10.0
10735.0,0.0,128.12,100.0,10.0
10739.0,21.0,128.12,100.0,10.0
10743.0,17.0,128.12,100.0,10.0
10747.0,30.0,128.12,100.0,10.0
10751.0,18.0,128.12,100.0,10.0
10754.0,16.0,128.12,100.0,10.0
10758.0,17.0,128.12,100.0,10.0
10761.0,16.0,128.12,100.0,10.0
10764.0,20.0,128.12,100.0,10.0
10768.0,19.0,128.12,100.0,10.0
10771.0,33.0,128.12,100.0,10.0
10774.0,17.0,128.12,100.0,10.0
10778.0,16.0,128.12,100.0,10.0
10781.0,17.0,128.12,100.0,10.0
10784.0,20.0,128.12,100.0,10.0
10788.0,40.0,128.12,12.5,10.0
10791.0,11.0,128.12,100.0,10.0
10794.0,16.0,128.12,100.0,10.0
10798.0,35.0,128.12,100.0,10.0
10801.0,18.0,128.12,100.0,10.0
10804.0,38.0,128.12,12.5,10.0
10807.0,11.0,128.12,100.0,10.0
10811.0,17.0,128.12,100.0,10.0
10814.0,16.0,128.12,100.0,10.0
10817.0,18.0,128.12,100.0,10.0
10820.0,42.0,128.12,100.0,10.0
10823.0,19.0,128.12,100.0,10.0
10827.0,35.0,128.12,100.0,10.0
10830.0,16.0,128.12,100.0,10.0
10833.0,16.0,128.12,100.0,10.0
10836.0,18.0,128.12,100.0,10.0
10840.0,17.0,128.12,100.0,10.0
10844.0,45.0,128.12,100.0,10.0
10848.0,49.0,128.12,100.0,10.0
10852.0,18.0,128.12,100.0,10.0
10854.0,80.0,128.12,100.0,10.0
10857.0,64.0,128.12,100.0,10.0
10860.0,44.0,128.12,100.0,10.0
10862.0,65.0,128.12,100.0,10.0
10865.0,54.0,128.12,100.0,10.0
10867.0,63.0,128.12,100.0,10.0
10870.0,51.0,128.12,100.0,10.0
10873.0,49.0,128.12,100.0,10.0
10875.0,58.0,128.12,100.0,10.0
10878.0,48.0,128.12,100.0,10.0
10880.0,25.0,128.12,100.0,10.0
10882.0,48.0,128.12,100.0,10.0
10885.0,56.0,128.12,100.0,10.0
10887.0,52.0,128.12,100.0,10.0
10889.0,68.0,128.12,100.0,10.0
10891.0,54.0,128.12,100.0,10.0
10894.0,53.0,128.12,100.0,10.0
10896.0,51.0,128.12,100.0,10.0
10898.0,54.0,128.12,100.0,10.0
10900.0,25.0,128.12,100.0,10.0
10903.0,22.0,128.12,100.0,10.0
10905.0,24.0,128.12,100.0,10.0
10907.0,26.0,128.12,100.0,10.0
10909.0,25.0,128.12,100.0,10.0
10911.0,20.0,128.12,100.0,10.0
10913.0,24.0,128.12,100.0,10.0
10916.0,20.0,128.12,100.0,10.0
10918.0,48.0,128.12,100.0,10.0
10921.0,22.0,128.12,100.0,10.0
10923.0,53.0,128.12,100.0,10.0
10925.0,53.0,128.12,100.0,10.0
10927.0,26.0,128.12,100.0,10.0
10930.0,46.0,128.12,100.0,10.0
10932.0,46.0,128.12,100.0,10.0
10934.0,26.0,128.12,100.0,10.0
10936.0,26.0,128.12,100.0,10.0
10939.0,50.0,128.12,100.0,10.0
10941.0,54.0,128.12,100.0,10.0
10944.0,39.0,128.12,100.0,10.0
10946.0,24.0,128.12,100.0,10.0
10948.0,23.0,128.12,100.0,10.0
10951.0,34.0,128.12,100.0,10.0
10952.0,27.0,128.12,100.0,10.0
10955.0,25.0,128.12,100.0,10.0
10957.0,26.0,128.12,100.0,10.0
10959.0,23.0,128.12,100.0,10.0
10961.0,25.0,128.12,100.0,10.0
10963.0,21.0,128.12,100.0,10.0
10965.0,23.0,128.12,100.0,10.0
10968.0,25.0,128.12,100.0,10.0
10970.0,21.0,128.12,100.0,10.0
10972.0,23.0,128.12,100.0,10.0
10975.0,23.0,128.12,100.0,10.0
10977.0,24.0,128.12,100.0,10.0
10979.0,24.0,128.12,100.0,10.0
10981.0,25.0,128.12,100.0,10.0
10983.0,23.0,128.12,100.0,10.0
10986.0,23.0,128.12,100.0,10.0
10988.0,24.0,128.12,100.0,10.0
10991.0,24.0,128.12,100.0,10.0
10993.0,24.0,128.12,100.0,10.0
10995.0,23.0,128.12,100.0,10.0
10998.0,23.0,128.12,100.0,10.0
11000.0,25.0,128.12,100.0,10.0
11002.0,23.0,128.12,100.0,10.0
11005.0,25.0,128.12,100.0,10.0
11007.0,25.0,128.12,100.0,10.0
11009.0,26.0,128.12,100.0,10.0
11011.0,28.0,128.12,100.0,10.0
11013.0,25.0,128.12,100.0,10.0
11015.0,26.0,128.12,100.0,10.0
11018.0,22.0,128.12,100.0,10.0
11020.0,25.0,128.12,100.0,10.0
11022.0,22.0,128.12,100.0,10.0
11025.0,25.0,128.12,100.0,10.0
11027.0,20.0,128.12,100.0,10.0
11029.0,26.0,128.12,100.0,10.0
11031.0,26.0,128.12,100.0,10.0
11034.0,21.0,128.12,100.0,10.0
11036.0,22.0,128.12,100.0,10.0
11038.0,26.0,128.12,100.0,10.0
11041.0,22.0,128.12,100.0,10.0
11043.0,22.0,128.12,100.0,10.0
11046.0,21.0,128.12,100.0,10.0
11048.0,26.0,128.12,100.0,10.0
11050.0,24.0,128.12,100.0,10.0
11052.0,26.0,128.12,100.0,10.0
11054.0,25.0,128.12,100.0,10.0
11056.0,27.0,128.12,100.0,10.0
11059.0,24.0,128.12,100.0,10.0
11061.0,22.0,128.12,100.0,10.0
11063.0,24.0,128.12,100.0,10.0
11066.0,23.0,128.12,100.0,10.0
11068.0,23.0,128.12,100.0,10.0
11070.0,21.0,128.12,100.0,10.0
11072.0,26.0,128.12,100.0,10.0
11075.0,23.0,128.12,100.0,10.0
11077.0,25.0,128.12,100.0,10.0
11079.0,23.0,128.12,100.0,10.0
11082.0,22.0,128.12,100.0,10.0
11084.0,25.0,128.12,100.0,10.0
11086.0,25.0,128.12,100.0,10.0
11088.0,23.0,128.12,100.0,10.0
11091.0,23.0,128.12,100.0,10.0
11094.0,16.0,128.12,100.0,10.0
11100.0,11.0,128.12,100.0,10.0
11104.0,12.0,128.12,100.0,10.0
11109.0,13.0,128.12,100.0,10.0
11114.0,13.0,128.12,100.0,10.0
11119.0,12.0,128.12,100.0,10.0
11124.0,11.0,128.12,100.0,10.0
11129.0,13.0,128.12,100.0,10.0
11132.0,16.0,128.12,100.0,10.0
11136.0,18.0,128.12,100.0,10.0
11139.0,16.0,128.12,100.0,10.0
11143.0,16.0,128.12,100.0,10.0
11146.0,15.0,128.12,100.0,10.0
11150.0,15.0,128.12,100.0,10.0
11154.0,16.0,128.12,100.0,10.0
11267.0,0.0,128.12,100.0,10.0
11378.0,195.0,128.12,100.0,10.0
11382.0,19.0,128.12,100.0,200.0
11386.0,17.0,128.12,100.0,10.0
11390.0,17.0,128.12,100.0,10.0
11393.0,19.0,128.12,100.0,10.0
11397.0,17.0,128.12,100.0,10.0
11400.0,16.0,128.12,100.0,10.0
11404.0,17.0,128.12,100.0,10.0
11407.0,16.0,128.12,100.0,10.0
11411.0,17.0,128.12,100.0,10.0
11415.0,16.0,128.12,100.0,10.0
11419.0,16.0,128.12,100.0,10.0
11422.0,16.0,128.12,100.0,10.0
11428.0,9.0,128.12,100.0,10.0
11431.0,20.0,128.12,100.0,10.0
11435.0,16.0,128.12,100.0,10.0
11438.0,17.0,128.12,100.0,10.0
11441.0,22.0,128.12,100.0,10.0
11444.0,22.0,128.12,100.0,10.0
11446.0,23.0,128.12,100.0,10.0
11449.0,24.0,128.12,100.0,10.0
11451.0,22.0,128.12,100.0,10.0
11453.0,25.0,128.12,100.0,10.0
11455.0,24.0,128.12,100.0,10.0
11458.0,22.0,128.12,100.0,10.0
11460.0,25.0,128.12,100.0,10.0
11462.0,22.0,128.12,100.0,10.0
11464.0,23.0,128.12,100.0,10.0
11466.0,24.0,128.12,100.0,10.0
11468.0,26.0,128.12,100.0,10.0
11470.0,21.0,128.12,100.0,10.0
11472.0,24.0,128.12,100.0,10.0
11475.0,20.0,128.12,100.0,10.0
11477.0,25.0,128.12,100.0,10.0
11479.0,24.0,128.12,100.0,10.0
11481.0,22.0,128.12,100.0,10.0
11484.0,21.0,128.12,100.0,10.0
11486.0,21.0,128.12,100.0,10.0
11488.0,25.0,128.12,100.0,10.0
11491.0,22.0,128.12,100.0,10.0
11493.0,21.0,128.12,100.0,10.0
11496.0,22.0,128.12,100.0,10.0
11498.0,22.0,128.12,100.0,10.0
11500.0,26.0,128.12,100.0,10.0
11502.0,24.0,128.12,100.0,10.0
11504.0,26.0,128.12,100.0,10.0
11506.0,20.0,128.12,100.0,10.0
11508.0,25.0,128.12,100.0,10.0
11510.0,25.0,128.12,100.0,10.0
11513.0,23.0,128.12,100.0,10.0
11515.0,24.0,128.12,100.0,10.0
11517.0,23.0,128.12,100.0,10.0
11520.0,21.0,128.12,100.0,10.0
11522.0,23.0,128.12,100.0,10.0
11524.0,25.0,128.12,100.0,10.0
11526.0,21.0,128.12,100.0,10.0
11529.0,25.0,128.12,100.0,10.0
11531.0,22.0,128.12,100.0,10.0
11533.0,26.0,128.12,100.0,10.0
11535.0,24.0,128.12,100.0,10.0
11537.0,22.0,128.12,100.0,10.0
11540.0,20.0,128.12,100.0,10.0
11542.0,20.0,128.12,100.0,10.0
11545.0,20.0,128.12,100.0,10.0
11547.0,25.0,128.12,100.0,10.0
11549.0,25.0,128.12,100.0,10.0
11551.0,26.0,128.12,100.0,10.0
11553.0,22.0,128.12,100.0,10.0
11556.0,22.0,128.12,100.0,10.0
11582.0,2.0,128.12,100.0,10.0
11610.0,2.0,128.12,100.0,10.0
11627.0,4.0,128.12,100.0,10.0
11640.0,5.0,128.12,100.0,10.0
11650.0,7.0,128.12,100.0,10.0
11658.0,8.0,128.12,100.0,10.0
11666.0,16.0,128.12,100.0,10.0
11674.0,16.0,128.12,100.0,10.0
11681.0,7.0,128.12,100.0,10.0
11692.0,5.0,128.12,100.0,10.0
11723.0,2.0,128.12,100.0,10.0
11738.0,10.0,128.12,100.0,10.0
11747.0,15.0,128.12,100.0,10.0
11755.0,9.0,128.12,100.0,10.0
11763.0,7.0,128.12,100.0,10.0
11771.0,16.0,128.12,100.0,10.0
11779.0,15.0,128.12,100.0,10.0
11786.0,16.0,128.12,100.0,10.0
11794.0,17.0,128.12,100.0,10.0
11801.0,18.0,128.12,100.0,10.0
11808.0,8.0,128.12,100.0,10.0
11814.0,8.0,128.12,100.0,10.0
