Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
76.0,0.0,100,100,100
137.0,20.0,100,100.0,0.05
150.0,43.0,100,100.0,10.0
710.0,0.0,100,100.0,10.0
3274.0,0.0,100,100.0,10.0
7315.0,0.0,100,100.0,10.0
10912.0,0.0,100,100.0,10.0
15743.0,0.0,100,100.0,10.0
22410.0,0.0,100,100.0,10.0
31522.0,0.0,100,100.0,10.0
38875.0,0.0,100,100.0,10.0
43552.0,0.0,100,100.0,10.0
43567.0,6.0,100,100.0,10.0
43577.0,7.0,100,100.0,10.0
43604.0,2.0,100,100.0,10.0
43648.0,2.0,100,100.0,10.0
43701.0,1.0,100,100.0,10.0
43776.0,1.0,100,100.0,10.0
43833.0,2.0,100,100.0,10.0
43876.0,4.0,100,100.0,10.0
46613.0,0.0,100,100.0,10.0
46658.0,4.0,100,100.0,10.0
46692.0,4.0,100,100.0,10.0
46747.0,3.0,100,100.0,10.0
46796.0,2.0,100,100.0,10.0
46856.0,2.0,100,100.0,10.0
46896.0,5.0,100,100.0,10.0
46910.0,13.0,100,100.0,10.0
46919.0,14.0,100,100.0,10.0
46927.0,14.0,100,100.0,10.0
46936.0,11.0,100,100.0,10.0
46938.0,41.0,100,100.0,10.0
46950.0,7.0,100,100.0,10.0
46979.0,2.0,100,100.0,10.0
47043.0,1.0,100,100.0,10.0
47072.0,5.0,100,100.0,10.0
47103.0,4.0,100,100.0,10.0
47133.0,5.0,100,100.0,10.0
47166.0,4.0,100,100.0,10.0
47199.0,3.0,100,100.0,10.0
47218.0,6.0,100,100.0,10.0
47245.0,4.0,100,100.0,10.0
47269.0,4.0,100,100.0,10.0
47297.0,4.0,100,100.0,10.0
47323.0,4.0,100,100.0,10.0
47341.0,7.0,100,100.0,10.0
47400.0,2.0,100,100.0,10.0
47431.0,4.0,100,100.0,10.0
47442.0,15.0,100,100.0,10.0
47447.0,32.0,100,100.0,10.0
47457.0,17.0,100,100.0,10.0
47475.0,7.0,100,100.0,10.0
47488.0,8.0,100,100.0,10.0
47502.0,8.0,100,100.0,10.0
47518.0,8.0,100,100.0,10.0
47538.0,7.0,100,100.0,10.0
47557.0,8.0,100,100.0,10.0
47603.0,25.0,106.25,100.0,10.0
47656.0,30.0,106.25,100.0,10.0
47661.0,37.0,106.25,100.0,10.0
47665.0,36.0,106.25,100.0,10.0
47672.0,26.0,106.25,100.0,10.0
47683.0,11.0,106.25,100.0,10.0
47694.0,11.0,106.25,100.0,10.0
47732.0,4.0,106.25,100.0,10.0
47741.0,15.0,106.25,100.0,10.0
47826.0,1.0,106.25,100.0,10.0
47873.0,120.0,24944.53,100.0,10.0
47992.0,14.0,24944.53,100.0,10.0
47997.0,62.0,24944.53,100.0,10.0
48002.0,43.0,24944.53,100.0,10.0
48007.0,36.0,24944.53,100.0,10.0
48012.0,21.0,24944.53,100.0,10.0
48018.0,22.0,24944.53,100.0,10.0
48024.0,27.0,24944.53,100.0,10.0
48030.0,28.0,24944.53,100.0,10.0
48040.0,16.0,24944.53,100.0,10.0
48064.0,6.0,24944.53,100.0,10.0
48119.0,4.0,24944.53,100.0,10.0
48124.0,63.0,24944.53,100.0,10.0
48129.0,58.0,24944.53,100.0,10.0
48142.0,19.0,24944.53,100.0,10.0
48184.0,7.0,24944.53,100.0,10.0
48194.0,51.0,24944.53,100.0,10.0
48242.0,12.0,24944.53,100.0,10.0
48253.0,55.0,24944.53,100.0,10.0
48266.0,49.0,24944.53,100.0,10.0
48277.0,24.0,24944.53,100.0,10.0
48327.0,5.0,24944.53,100.0,10.0
48382.0,5.0,24944.53,100.0,10.0
48394.0,29.0,24944.53,100.0,10.0
48405.0,31.0,24944.53,100.0,10.0
48419.0,28.0,24944.53,100.0,10.0
48496.0,3.0,24944.53,100.0,10.0
48612.0,2.0,24944.53,100.0,10.0
48629.0,14.0,24944.53,100.0,10.0
48676.0,8.0,24944.53,100.0,10.0
48821.0,1.0,24944.53,100.0,10.0
48835.0,27.0,24944.53,100.0,10.0
48914.0,3.0,24944.53,100.0,10.0
49001.0,2.0,24944.53,100.0,10.0
49150.0,1.0,24944.53,100.0,10.0
49211.0,10.0,24944.53,100.0,10.0
49345.0,2.0,24944.53,100.0,10.0
49357.0,14.0,24944.53,100.0,10.0
49367.0,30.0,24944.53,100.0,10.0
49396.0,10.0,24944.53,100.0,10.0
49413.0,7.0,24944.53,100.0,10.0
49430.0,17.0,24944.53,100.0,10.0
49458.0,11.0,24944.53,100.0,10.0
49467.0,19.0,24944.53,100.0,10.0
49498.0,7.0,24944.53,100.0,10.0
49529.0,7.0,24944.53,100.0,10.0
49540.0,16.0,24944.53,100.0,10.0
49552.0,20.0,24944.53,100.0,10.0
49611.0,4.0,24944.53,100.0,10.0
49640.0,5.0,24944.53,100.0,10.0
49654.0,8.0,24944.53,100.0,10.0
