Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
69.0,0.0,100,100,100
99.0,42.0,100,100,0.05
117.0,48.0,100,100.0,0.05
162.0,11.0,100,100.0,10.0
284.0,1.0,100,100.0,10.0
369.0,0.0,100,100.0,10.0
463.0,0.0,100,100.0,10.0
555.0,0.0,100,100.0,10.0
592.0,1.0,100,100.0,10.0
594.0,84.0,100,100.0,10.0
595.0,77.0,100,100.0,10.0
596.0,88.0,100,100.0,10.0
597.0,48.0,100,100.0,10.0
598.0,47.0,100,100.0,10.0
598.0,48.0,100,12.5,10.0
599.0,39.0,100,100.0,10.0
600.0,48.0,100,100.0,10.0
601.0,45.0,100,100.0,10.0
601.0,46.0,100,12.5,10.0
602.0,38.0,100,100.0,10.0
603.0,49.0,100,100.0,10.0
604.0,47.0,100,100.0,10.0
604.0,46.0,100,100.0,10.0
605.0,46.0,100,100.0,10.0
606.0,46.0,100,100.0,10.0
607.0,45.0,100,100.0,10.0
607.0,47.0,100,12.5,10.0
608.0,38.0,100,100.0,10.0
609.0,48.0,100,100.0,10.0
610.0,46.0,100,100.0,10.0
610.0,47.0,100,12.5,10.0
611.0,39.0,100,100.0,10.0
612.0,49.0,100,100.0,10.0
612.0,47.0,100,100.0,10.0
613.0,51.0,100,100.0,10.0
614.0,47.0,100,100.0,10.0
615.0,47.0,100,100.0,10.0
615.0,47.0,100,100.0,10.0
616.0,46.0,100,100.0,10.0
617.0,45.0,100,100.0,10.0
618.0,46.0,100,100.0,10.0
619.0,46.0,100,100.0,10.0
619.0,46.0,100,100.0,10.0
620.0,46.0,100,100.0,10.0
621.0,44.0,100,100.0,10.0
622.0,46.0,100,100.0,10.0
622.0,46.0,100,100.0,10.0
623.0,47.0,100,100.0,10.0
624.0,46.0,100,100.0,10.0
625.0,45.0,100,100.0,10.0
625.0,53.0,100,12.5,10.0
626.0,39.0,100,100.0,10.0
627.0,51.0,100,100.0,10.0
628.0,52.0,100,100.0,10.0
628.0,51.0,100,100.0,10.0
629.0,52.0,100,100.0,10.0
630.0,48.0,100,100.0,10.0
631.0,51.0,100,100.0,10.0
631.0,51.0,100,100.0,10.0
632.0,51.0,100,100.0,10.0
633.0,50.0,100,100.0,10.0
634.0,48.0,100,100.0,10.0
635.0,51.0,100,100.0,10.0
635.0,51.0,100,100.0,10.0
636.0,51.0,100,100.0,10.0
637.0,51.0,100,100.0,10.0
638.0,49.0,100,100.0,10.0
638.0,50.0,100,12.5,10.0
639.0,39.0,100,100.0,10.0
640.0,56.0,100,100.0,10.0
641.0,50.0,100,100.0,10.0
641.0,52.0,100,12.5,10.0
642.0,40.0,100,100.0,10.0
643.0,56.0,100,100.0,10.0
644.0,51.0,100,100.0,10.0
644.0,53.0,100,12.5,10.0
645.0,39.0,100,100.0,10.0
646.0,49.0,100,100.0,10.0
647.0,52.0,100,100.0,10.0
647.0,52.0,100,100.0,10.0
648.0,52.0,100,100.0,10.0
649.0,50.0,100,100.0,10.0
650.0,48.0,100,100.0,10.0
650.0,50.0,100,12.5,10.0
651.0,40.0,100,100.0,10.0
652.0,55.0,100,100.0,10.0
653.0,52.0,100,100.0,10.0
653.0,49.0,100,100.0,10.0
654.0,49.0,100,100.0,10.0
655.0,51.0,100,100.0,10.0
656.0,52.0,100,100.0,10.0
656.0,52.0,100,100.0,10.0
657.0,52.0,100,100.0,10.0
658.0,44.0,100,12.5,10.0
659.0,39.0,100,12.5,10.0
660.0,36.0,100,100.0,10.0
660.0,58.0,100,12.5,10.0
661.0,39.0,100,100.0,10.0
662.0,55.0,100,100.0,10.0
663.0,52.0,100,100.0,10.0
663.0,54.0,100,12.5,10.0
664.0,40.0,100,100.0,10.0
665.0,54.0,100,100.0,10.0
665.0,54.0,100,100.0,10.0
666.0,50.0,100,100.0,10.0
667.0,52.0,100,100.0,10.0
668.0,53.0,100,100.0,10.0
668.0,53.0,100,100.0,10.0
669.0,54.0,100,100.0,10.0
670.0,53.0,100,100.0,10.0
671.0,54.0,100,100.0,10.0
671.0,53.0,100,100.0,10.0
679.0,30.0,100.0,100.0,10.0
1047.0,1.0,100.0,100.0,10.0
1071.0,3.0,100.0,100.0,10.0
1106.0,2.0,100.0,100.0,10.0
1157.0,1.0,100.0,100.0,10.0
1219.0,1.0,100.0,100.0,10.0
1998.0,0.0,100.0,100.0,10.0
2092.0,1.0,100.0,100.0,10.0
2104.0,16.0,100.0,100.0,10.0
2106.0,120.0,100.0,100.0,10.0
2108.0,70.0,100.0,100.0,12.0
2124.0,14.0,100.0,100.0,10.0
2147.0,12.0,100.0,100.0,10.0
2154.0,29.0,100.0,100.0,10.0
2161.0,29.0,100.0,100.0,10.0
2168.0,18.0,100.0,100.0,10.0
2173.0,31.0,100.0,100.0,10.0
2183.0,24.0,100.0,100.0,10.0
2189.0,50.0,100.0,100.0,10.0
2195.0,28.0,100.0,100.0,10.0
2205.0,29.0,100.0,100.0,10.0
2212.0,19.0,100.0,100.0,10.0
2226.0,32.0,100.0,100.0,10.0
2232.0,29.0,100.0,100.0,10.0
2260.0,7.0,100.0,100.0,10.0
2282.0,16.0,100.0,100.0,10.0
2294.0,21.0,100.0,100.0,10.0
2318.0,9.0,100.0,100.0,10.0
2358.0,6.0,100.0,100.0,10.0
2401.0,6.0,100.0,100.0,10.0
2431.0,9.0,100.0,100.0,10.0
2444.0,17.0,100.0,100.0,10.0
2463.0,15.0,100.0,100.0,10.0
2473.0,13.0,100.0,100.0,10.0
2480.0,26.0,100.0,100.0,10.0
2487.0,29.0,100.0,100.0,10.0
2494.0,32.0,100.0,100.0,10.0
2502.0,33.0,100.0,100.0,10.0
2509.0,25.0,100.0,100.0,10.0
2517.0,25.0,100.0,100.0,10.0
2525.0,23.0,100.0,100.0,10.0
2534.0,32.0,100.0,100.0,10.0
2543.0,22.0,100.0,100.0,10.0
2552.0,52.0,100.0,100.0,10.0
2560.0,52.0,100.0,100.0,10.0
2567.0,77.0,100.0,100.0,10.0
2575.0,51.0,100.0,100.0,14.4
2582.0,37.0,100.0,100.0,10.0
2593.0,20.0,100.0,100.0,10.0
2602.0,18.0,100.0,100.0,10.0
2605.0,40.0,100.0,12.5,10.0
2612.0,16.0,100.0,100.0,10.0
2621.0,58.0,100.0,100.0,10.0
2629.0,67.0,100.0,100.0,10.0
2636.0,22.0,100.0,100.0,11.6
2642.0,35.0,100.0,100.0,10.0
2646.0,57.0,100.0,100.0,10.0
