Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
83.0,0.0,100,100,100
116.0,37.0,100,100.0,0.05
127.0,51.0,100,100.0,10.0
186.0,3.0,100,100.0,10.0
356.0,1.0,100,100.0,10.0
484.0,0.0,100,100.0,10.0
632.0,0.0,100,100.0,10.0
745.0,0.0,100,100.0,10.0
754.0,12.0,100,100.0,10.0
755.0,75.0,100,100.0,10.0
756.0,76.0,100,100.0,10.0
758.0,77.0,100,100.0,10.0
759.0,41.0,100,100.0,10.0
760.0,41.0,100,100.0,10.0
761.0,43.0,100,100.0,10.0
762.0,41.0,100,12.5,10.0
763.0,32.0,100,100.0,10.0
763.0,44.0,100,12.5,10.0
764.0,31.0,100,100.0,10.0
765.0,41.0,100,100.0,10.0
766.0,41.0,100,100.0,10.0
767.0,40.0,100,12.5,10.0
768.0,32.0,100,100.0,10.0
769.0,44.0,100,100.0,10.0
770.0,38.0,100,100.0,10.0
771.0,40.0,100,12.5,10.0
772.0,31.0,100,100.0,10.0
773.0,44.0,100,100.0,10.0
774.0,40.0,100,12.5,10.0
775.0,31.0,100,100.0,10.0
776.0,43.0,100,100.0,10.0
777.0,41.0,100,12.5,10.0
778.0,31.0,100,100.0,10.0
779.0,43.0,100,100.0,10.0
780.0,43.0,100,100.0,10.0
780.0,42.0,100,100.0,10.0
781.0,39.0,100,12.5,10.0
782.0,32.0,100,100.0,10.0
783.0,43.0,100,100.0,10.0
784.0,39.0,100,12.5,10.0
785.0,32.0,100,100.0,10.0
786.0,44.0,100,100.0,10.0
787.0,42.0,100,12.5,10.0
788.0,31.0,100,100.0,10.0
789.0,44.0,100,100.0,10.0
790.0,41.0,100,12.5,10.0
791.0,32.0,100,100.0,10.0
792.0,43.0,100,100.0,10.0
793.0,42.0,100,100.0,10.0
794.0,42.0,100,100.0,10.0
794.0,42.0,100,100.0,10.0
795.0,40.0,100,12.5,10.0
796.0,31.0,100,100.0,10.0
797.0,45.0,100,100.0,10.0
798.0,41.0,100,12.5,10.0
799.0,32.0,100,100.0,10.0
800.0,44.0,100,100.0,10.0
801.0,41.0,100,12.5,10.0
802.0,32.0,100,100.0,10.0
803.0,43.0,100,100.0,10.0
804.0,41.0,100,12.5,10.0
805.0,32.0,100,100.0,10.0
806.0,44.0,100,100.0,10.0
806.0,42.0,100,100.0,10.0
807.0,41.0,100,12.5,10.0
808.0,31.0,100,100.0,10.0
809.0,44.0,100,100.0,10.0
810.0,42.0,100,12.5,10.0
811.0,32.0,100,100.0,10.0
812.0,44.0,100,100.0,10.0
813.0,42.0,100,12.5,10.0
814.0,32.0,100,100.0,10.0
815.0,44.0,100,100.0,10.0
816.0,37.0,100,100.0,10.0
817.0,41.0,100,100.0,10.0
818.0,42.0,100,100.0,10.0
819.0,41.0,100,12.5,10.0
820.0,32.0,100,100.0,10.0
820.0,43.0,100,12.5,10.0
821.0,33.0,100,100.0,10.0
822.0,43.0,100,100.0,10.0
823.0,40.0,100,12.5,10.0
824.0,34.0,100,100.0,10.0
825.0,44.0,100,100.0,10.0
826.0,42.0,100,12.5,10.0
827.0,32.0,100,100.0,10.0
828.0,45.0,100,100.0,10.0
829.0,42.0,100,12.5,10.0
830.0,32.0,100,100.0,10.0
830.0,45.0,100,12.5,10.0
831.0,32.0,100,100.0,10.0
832.0,44.0,100,100.0,10.0
833.0,42.0,100,12.5,10.0
834.0,32.0,100,100.0,10.0
835.0,44.0,100,100.0,10.0
836.0,41.0,100,12.5,10.0
837.0,35.0,100,100.0,10.0
838.0,47.0,100,100.0,10.0
839.0,41.0,100,12.5,10.0
840.0,34.0,100,100.0,10.0
840.0,44.0,100,12.5,10.0
841.0,33.0,100,100.0,10.0
842.0,45.0,100,100.0,10.0
843.0,41.0,100,12.5,10.0
844.0,32.0,100,100.0,10.0
852.0,33.0,101.56,100.0,10.0
1327.0,1.0,101.56,100.0,10.0
1362.0,2.0,101.56,100.0,10.0
1422.0,1.0,101.56,100.0,10.0
1457.0,3.0,101.56,100.0,10.0
1634.0,0.0,101.56,100.0,10.0
2468.0,0.0,101.56,100.0,10.0
2521.0,1.0,101.56,100.0,10.0
2529.0,26.0,101.56,100.0,10.0
2531.0,84.0,101.56,100.0,10.0
2534.0,65.0,101.56,100.0,10.0
2558.0,8.0,101.56,100.0,10.0
2561.0,65.0,101.56,100.0,10.0
2570.0,37.0,101.56,100.0,10.0
2585.0,10.0,101.56,100.0,10.0
2598.0,16.0,101.56,100.0,10.0
2609.0,35.0,101.56,100.0,10.0
2626.0,15.0,101.56,100.0,10.0
2637.0,19.0,101.56,100.0,10.0
2649.0,15.0,101.56,100.0,10.0
2663.0,14.0,101.56,100.0,10.0
2671.0,25.0,101.56,100.0,10.0
2681.0,45.0,101.56,100.0,10.0
2705.0,18.0,101.56,100.0,10.0
2727.0,11.0,101.56,100.0,10.0
2754.0,13.0,101.56,100.0,10.0
2786.0,13.0,101.56,100.0,10.0
2813.0,15.0,101.56,100.0,10.0
2837.0,10.0,101.56,100.0,10.0
2863.0,8.0,101.56,100.0,10.0
2877.0,17.0,101.56,100.0,10.0
2896.0,17.0,101.56,100.0,10.0
2913.0,15.0,101.56,100.0,10.0
2924.0,23.0,101.56,100.0,10.0
2951.0,7.0,101.56,100.0,10.0
2967.0,22.0,101.56,100.0,10.0
2975.0,23.0,101.56,100.0,10.0
2982.0,30.0,101.56,100.0,10.0
2994.0,33.0,101.56,100.0,10.0
3011.0,12.0,101.56,100.0,10.0
3037.0,11.0,101.56,100.0,10.0
3044.0,36.0,101.56,100.0,10.0
3052.0,37.0,101.56,100.0,10.0
3059.0,51.0,101.56,100.0,10.0
3065.0,63.0,101.56,100.0,10.0
3070.0,37.0,101.56,100.0,10.0
3074.0,66.0,101.56,100.0,10.0
3083.0,31.0,101.56,100.0,10.0
3089.0,49.0,101.56,100.0,10.0
3093.0,68.0,101.56,100.0,10.0
3100.0,31.0,101.56,100.0,10.0
3103.0,69.0,101.56,100.0,10.0
3110.0,39.0,101.56,100.0,10.0
3115.0,80.0,101.56,100.0,10.0
3120.0,56.0,101.56,100.0,11.6
3124.0,43.0,101.56,100.0,10.0
3127.0,60.0,101.56,100.0,10.0
3133.0,66.0,101.56,100.0,10.0
3138.0,51.0,101.56,100.0,10.0
3143.0,65.0,101.56,100.0,10.0
3149.0,72.0,101.56,100.0,10.0
3154.0,62.0,101.56,100.0,10.8
3164.0,51.0,101.56,100.0,10.0
3170.0,59.0,101.56,100.0,10.0
3175.0,64.0,101.56,100.0,10.0
3180.0,49.0,101.56,100.0,10.0
3189.0,19.0,101.56,100.0,10.0
3197.0,31.0,101.56,100.0,10.0
3208.0,16.0,101.56,100.0,10.0
3213.0,62.0,101.56,100.0,10.0
3220.0,54.0,101.56,100.0,10.0
3226.0,59.0,101.56,100.0,10.0
3229.0,58.0,101.56,100.0,10.0
3235.0,40.0,101.56,12.5,10.0
3240.0,32.0,101.56,100.0,10.0
3244.0,70.0,101.56,100.0,10.0
3259.0,24.0,101.56,100.0,10.0
3261.0,64.0,101.56,100.0,10.0
3267.0,45.0,101.56,100.0,10.0
3273.0,60.0,101.56,100.0,10.0
3275.0,105.0,101.56,100.0,10.0
3280.0,52.0,101.56,100.0,10.0
3289.0,26.0,101.56,100.0,10.0
3292.0,53.0,101.56,100.0,10.0
3295.0,56.0,101.56,100.0,10.0
3302.0,28.0,101.56,100.0,10.0
3306.0,86.0,101.56,100.0,10.0
3311.0,37.0,101.56,100.0,11.2
3316.0,33.0,101.56,100.0,10.0
3321.0,43.0,101.56,100.0,10.0
3327.0,32.0,101.56,100.0,10.0
3331.0,43.0,101.56,100.0,10.0
3338.0,30.0,101.56,100.0,10.0
3341.0,71.0,101.56,100.0,10.0
3389.0,6.0,101.56,100.0,10.0
3434.0,188.0,101.56,100.0,10.0
3438.0,85.0,101.56,100.0,200.0
3441.0,50.0,101.56,100.0,10.0
3446.0,98.0,101.56,100.0,10.0
3450.0,48.0,101.56,100.0,16.8
3455.0,113.0,101.56,100.0,10.0
3459.0,68.0,101.56,100.0,21.2
3466.0,60.0,101.56,100.0,10.0
3471.0,51.0,101.56,100.0,10.0
3475.0,48.0,101.56,100.0,10.0
3483.0,45.0,101.56,100.0,10.0
3489.0,38.0,101.56,100.0,10.0
3492.0,80.0,101.56,100.0,10.0
3497.0,61.0,101.56,100.0,10.0
3502.0,61.0,101.56,100.0,10.0
3507.0,85.0,101.56,100.0,10.0
3513.0,41.0,101.56,12.5,12.8
3518.0,22.0,101.56,100.0,10.0
3524.0,58.0,101.56,100.0,10.0
3529.0,42.0,101.56,100.0,10.0
3532.0,143.0,101.56,100.0,10.0
3535.0,82.0,101.56,100.0,20.8
3539.0,60.0,101.56,100.0,10.0
3543.0,101.0,101.56,100.0,10.0
3547.0,110.0,101.56,100.0,14.8
3551.0,107.0,101.56,100.0,16.0
3554.0,105.0,101.56,100.0,15.2
3558.0,68.0,101.56,100.0,11.6
3564.0,60.0,101.56,100.0,10.0
3568.0,123.0,101.56,100.0,10.0
3573.0,88.0,101.56,100.0,20.0
3577.0,67.0,101.56,100.0,12.8
3580.0,118.0,101.56,100.0,10.0
3584.0,70.0,101.56,100.0,15.2
3590.0,63.0,101.56,100.0,10.0
3596.0,56.0,101.56,100.0,10.0
3602.0,63.0,101.56,100.0,10.0
3607.0,90.0,101.56,100.0,10.0
3620.0,35.0,101.56,100.0,14.4
3624.0,88.0,101.56,100.0,10.0
3698.0,94.0,101.56,100.0,12.0
3703.0,98.0,101.56,100.0,200.0
3707.0,91.0,101.56,100.0,16.0
