Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
82.0,0.0,100,100,100
110.0,47.0,100,100.0,0.05
126.0,38.0,100,100.0,10.0
188.0,2.0,100,100.0,10.0
254.0,3.0,100,100.0,10.0
333.0,1.0,100,100.0,10.0
358.0,6.0,100,100.0,10.0
372.0,11.0,100,100.0,10.0
396.0,6.0,100,100.0,10.0
409.0,3.0,100,100.0,10.0
421.0,3.0,100,100.0,10.0
432.0,28.0,101.56,100.0,10.0
448.0,52.0,101.56,100.0,10.0
486.0,2.0,101.56,100.0,10.0
538.0,3.0,101.56,100.0,10.0
562.0,4.0,101.56,100.0,10.0
577.0,5.0,101.56,100.0,10.0
584.0,14.0,101.56,100.0,10.0
590.0,72.0,101.56,100.0,10.0
601.0,37.0,101.56,100.0,10.8
612.0,29.0,101.56,100.0,10.0
631.0,16.0,101.56,100.0,10.0
671.0,6.0,101.56,100.0,10.0
708.0,6.0,101.56,100.0,10.0
714.0,40.0,101.56,12.5,10.0
719.0,8.0,101.56,100.0,10.0
725.0,30.0,101.56,100.0,10.0
741.0,17.0,101.56,100.0,10.0
748.0,22.0,101.56,100.0,10.0
756.0,17.0,101.56,100.0,10.0
762.0,29.0,101.56,100.0,10.0
771.0,34.0,101.56,100.0,10.0
782.0,22.0,101.56,100.0,10.0
794.0,13.0,101.56,100.0,10.0
803.0,23.0,101.56,100.0,10.0
813.0,12.0,101.56,100.0,10.0
823.0,13.0,101.56,100.0,10.0
835.0,14.0,101.56,100.0,10.0
839.0,25.0,101.56,100.0,10.0
843.0,34.0,101.56,100.0,10.0
847.0,27.0,101.56,100.0,10.0
852.0,38.0,101.56,100.0,10.0
857.0,24.0,101.56,100.0,10.0
861.0,40.0,101.56,12.5,10.0
866.0,18.0,101.56,100.0,10.0
870.0,56.0,101.56,100.0,10.0
873.0,44.0,101.56,100.0,10.0
876.0,57.0,101.56,100.0,10.0
879.0,48.0,101.56,100.0,10.0
882.0,81.0,101.56,100.0,10.0
885.0,72.0,101.56,100.0,10.0
887.0,76.0,101.56,100.0,10.0
890.0,35.0,101.56,100.0,10.0
893.0,61.0,101.56,100.0,10.0
896.0,35.0,101.56,100.0,10.0
899.0,64.0,101.56,100.0,10.0
902.0,58.0,101.56,100.0,10.0
905.0,58.0,101.56,100.0,10.0
907.0,54.0,101.56,100.0,10.0
910.0,59.0,101.56,100.0,10.0
916.0,23.0,101.56,100.0,10.0
920.0,46.0,101.56,100.0,10.0
924.0,47.0,101.56,100.0,10.0
927.0,69.0,101.56,100.0,10.0
932.0,92.0,101.56,100.0,10.0
936.0,36.0,101.56,100.0,14.8
939.0,43.0,101.56,100.0,10.0
942.0,51.0,101.56,100.0,10.0
947.0,28.0,101.56,100.0,10.0
951.0,45.0,101.56,100.0,10.0
954.0,35.0,101.56,100.0,10.0
957.0,36.0,101.56,100.0,10.0
961.0,48.0,101.56,100.0,10.0
964.0,37.0,101.56,100.0,10.0
966.0,66.0,101.56,100.0,10.0
971.0,101.0,101.56,100.0,10.0
974.0,78.0,101.56,100.0,17.6
976.0,75.0,101.56,100.0,10.0
980.0,54.0,101.56,100.0,10.0
982.0,58.0,101.56,100.0,10.0
985.0,54.0,101.56,100.0,10.0
987.0,55.0,101.56,100.0,10.0
990.0,55.0,101.56,100.0,10.0
996.0,34.0,101.56,100.0,10.0
998.0,43.0,101.56,100.0,10.0
1000.0,57.0,101.56,100.0,10.0
1003.0,37.0,101.56,100.0,10.0
1006.0,55.0,101.56,100.0,10.0
1009.0,62.0,101.56,100.0,10.0
1011.0,70.0,101.56,100.0,10.0
1015.0,81.0,101.56,100.0,10.0
1018.0,51.0,101.56,100.0,10.0
1021.0,54.0,101.56,100.0,10.0
1025.0,91.0,101.56,100.0,10.0
1027.0,61.0,101.56,100.0,12.4
1030.0,87.0,101.56,100.0,10.0
1032.0,89.0,101.56,100.0,10.0
1034.0,95.0,101.56,100.0,10.0
1037.0,88.0,101.56,100.0,10.0
1039.0,103.0,101.56,100.0,10.0
1042.0,80.0,101.56,100.0,10.0
1044.0,51.0,101.56,100.0,10.0
1046.0,66.0,101.56,100.0,10.0
1050.0,107.0,101.56,100.0,10.0
1052.0,103.0,101.56,100.0,16.0
1053.0,82.0,101.56,100.0,10.0
1056.0,119.0,101.56,100.0,10.0
1059.0,104.0,101.56,100.0,14.8
1061.0,61.0,101.56,100.0,10.8
1065.0,103.0,101.56,100.0,10.0
1067.0,87.0,101.56,100.0,15.2
1069.0,72.0,101.56,100.0,10.0
1072.0,102.0,101.56,100.0,10.0
1074.0,86.0,101.56,100.0,11.6
1076.0,80.0,101.56,100.0,10.0
1078.0,59.0,101.56,100.0,10.0
1080.0,61.0,101.56,100.0,10.0
1082.0,78.0,101.56,100.0,10.0
1083.0,58.0,101.56,12.5,10.0
1086.0,27.0,101.56,100.0,10.0
1088.0,98.0,101.56,100.0,10.0
1091.0,118.0,101.56,100.0,10.0
1094.0,89.0,101.56,100.0,14.4
1096.0,96.0,101.56,100.0,10.0
1098.0,80.0,101.56,100.0,10.0
1100.0,129.0,101.56,100.0,10.0
1102.0,119.0,101.56,100.0,13.2
1105.0,118.0,101.56,100.0,10.0
1107.0,85.0,101.56,100.0,13.6
1109.0,61.0,101.56,100.0,10.0
1110.0,63.0,101.56,100.0,10.0
1114.0,79.0,101.56,100.0,10.0
1116.0,108.0,101.56,100.0,10.0
1118.0,94.0,101.56,100.0,10.0
1120.0,95.0,101.56,100.0,10.0
1122.0,64.0,101.56,100.0,10.0
1124.0,108.0,101.56,100.0,10.0
1126.0,77.0,101.56,100.0,10.4
1128.0,94.0,101.56,100.0,10.0
1130.0,75.0,101.56,100.0,10.0
1135.0,24.0,101.56,100.0,10.0
1137.0,97.0,101.56,100.0,10.0
1139.0,89.0,101.56,100.0,10.0
1141.0,75.0,101.56,100.0,10.0
1149.0,14.0,101.56,100.0,10.0
1152.0,135.0,101.56,100.0,10.0
1155.0,96.0,101.56,100.0,19.2
1158.0,145.0,101.56,100.0,10.0
1160.0,137.0,101.56,100.0,19.6
1162.0,128.0,101.56,100.0,12.0
1164.0,87.0,101.56,100.0,10.8
1165.0,93.0,101.56,100.0,10.0
1167.0,90.0,101.56,100.0,10.0
1169.0,101.0,101.56,100.0,10.0
1171.0,57.0,101.56,100.0,10.0
1173.0,76.0,101.56,100.0,10.0
1175.0,101.0,101.56,100.0,10.0
1176.0,100.0,101.56,100.0,10.0
1178.0,118.0,101.56,100.0,10.0
1180.0,97.0,101.56,100.0,10.4
1182.0,124.0,101.56,100.0,10.0
1184.0,62.0,101.56,100.0,11.6
1186.0,112.0,101.56,100.0,10.0
1188.0,67.0,101.56,100.0,11.2
1190.0,75.0,101.56,100.0,10.0
1192.0,67.0,101.56,100.0,10.0
1193.0,67.0,101.56,100.0,10.0
1195.0,78.0,101.56,100.0,10.0
1198.0,63.0,101.56,100.0,10.0
1200.0,107.0,101.56,100.0,10.0
1202.0,90.0,101.56,100.0,10.0
1204.0,110.0,101.56,100.0,10.0
1207.0,115.0,101.56,100.0,10.0
1209.0,114.0,101.56,100.0,13.6
1211.0,72.0,101.56,100.0,10.0
1212.0,63.0,101.56,100.0,10.0
1216.0,37.0,101.56,100.0,10.0
1218.0,62.0,101.56,100.0,10.0
1220.0,128.0,101.56,100.0,10.0
1222.0,95.0,101.56,100.0,13.6
1225.0,67.0,101.56,100.0,10.0
1227.0,104.0,101.56,100.0,10.0
1228.0,64.0,101.56,100.0,10.0
1231.0,89.0,101.56,100.0,10.0
1232.0,63.0,101.56,12.5,10.0
1234.0,34.0,101.56,100.0,10.0
1237.0,90.0,101.56,100.0,10.0
1239.0,80.0,101.56,100.0,10.0
1241.0,96.0,101.56,100.0,10.0
1243.0,84.0,101.56,100.0,10.0
1246.0,83.0,101.56,100.0,10.0
1248.0,89.0,101.56,100.0,10.0
1250.0,115.0,101.56,100.0,10.0
1252.0,65.0,101.56,100.0,10.4
1255.0,85.0,101.56,100.0,10.0
1257.0,64.0,101.56,100.0,10.0
1259.0,100.0,101.56,100.0,10.0
1261.0,51.0,101.56,100.0,10.0
1264.0,56.0,101.56,100.0,10.0
1288.0,12.0,101.56,100.0,10.0
1311.0,191.0,101.56,100.0,10.0
1314.0,106.0,101.56,100.0,178.0
1337.0,5.0,101.56,100.0,10.0
1339.0,109.0,101.56,100.0,10.0
1346.0,25.0,101.56,100.0,11.2
1348.0,86.0,101.56,100.0,10.0
1350.0,99.0,101.56,100.0,10.0
1352.0,61.0,101.56,100.0,10.0
1353.0,58.0,101.56,100.0,10.0
1356.0,98.0,101.56,100.0,10.0
1358.0,56.0,101.56,100.0,11.2
1360.0,59.0,101.56,100.0,10.0
1363.0,106.0,101.56,100.0,10.0
1366.0,67.0,101.56,100.0,12.8
1368.0,90.0,101.56,100.0,10.0
1371.0,71.0,101.56,100.0,10.0
1373.0,83.0,101.56,100.0,10.0
1374.0,103.0,101.56,100.0,10.0
1376.0,126.0,101.56,100.0,10.0
1378.0,144.0,101.56,100.0,11.6
1379.0,88.0,101.56,100.0,14.0
1381.0,77.0,101.56,100.0,10.0
1385.0,119.0,101.56,100.0,10.0
1387.0,86.0,101.56,100.0,18.8
1389.0,55.0,101.56,100.0,10.0
1392.0,74.0,101.56,100.0,10.0
1394.0,141.0,101.56,100.0,10.0
1397.0,47.0,101.56,100.0,15.2
1399.0,111.0,101.56,100.0,10.0
1403.0,46.0,101.56,100.0,11.6
1408.0,29.0,101.56,100.0,10.0
1414.0,34.0,101.56,100.0,10.0
1417.0,78.0,101.56,100.0,10.0
1419.0,80.0,101.56,100.0,10.0
