Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,10.0
73.0,0.0,100,100,100
103.0,42.0,100,100.0,0.05
115.0,45.0,100,100.0,10.0
164.0,3.0,100,100.0,10.0
223.0,3.0,100,100.0,10.0
290.0,2.0,100,100.0,10.0
315.0,7.0,100,100.0,10.0
319.0,33.0,100,100.0,10.0
342.0,2.0,100,100.0,10.0
351.0,5.0,100,100.0,10.0
361.0,4.0,100,100.0,10.0
372.0,29.0,100.0,100.0,10.0
387.0,58.0,100.0,100.0,10.0
424.0,2.0,100.0,100.0,15.2
472.0,2.0,100.0,100.0,10.0
494.0,5.0,100.0,100.0,10.0
508.0,6.0,100.0,100.0,10.0
514.0,17.0,100.0,100.0,10.0
519.0,69.0,100.0,100.0,10.0
521.0,68.0,100.0,100.0,10.0
529.0,23.0,100.0,100.0,10.0
538.0,10.0,100.0,100.0,10.0
558.0,7.0,100.0,100.0,10.0
585.0,3.0,100.0,100.0,10.0
621.0,2.0,100.0,100.0,10.0
640.0,4.0,100.0,100.0,10.0
644.0,14.0,100.0,100.0,10.0
649.0,10.0,100.0,100.0,10.0
669.0,2.0,100.0,100.0,10.0
676.0,43.0,100.0,100.0,10.0
681.0,41.0,100.0,100.0,10.0
684.0,58.0,100.0,100.0,10.0
689.0,36.0,100.0,100.0,10.0
708.0,10.0,100.0,100.0,10.0
726.0,16.0,100.0,100.0,10.0
744.0,18.0,100.0,100.0,10.0
761.0,18.0,100.0,100.0,10.0
773.0,7.0,100.0,100.0,10.0
791.0,9.0,100.0,100.0,10.0
801.0,14.0,100.0,100.0,10.0
818.0,5.0,100.0,100.0,10.0
827.0,14.0,100.0,100.0,10.0
833.0,14.0,100.0,100.0,10.0
841.0,38.0,100.0,100.0,10.0
845.0,27.0,100.0,100.0,10.0
850.0,43.0,100.0,100.0,10.0
854.0,25.0,100.0,100.0,10.0
859.0,39.0,100.0,12.5,10.0
864.0,18.0,100.0,100.0,10.0
870.0,21.0,100.0,100.0,10.0
875.0,52.0,100.0,100.0,10.0
878.0,29.0,100.0,100.0,10.0
881.0,44.0,100.0,100.0,10.0
884.0,45.0,100.0,100.0,10.0
886.0,50.0,100.0,100.0,10.0
890.0,49.0,100.0,100.0,10.0
892.0,43.0,100.0,100.0,10.0
898.0,72.0,100.0,100.0,10.0
900.0,42.0,100.0,12.5,12.4
903.0,27.0,100.0,100.0,10.0
906.0,60.0,100.0,100.0,10.0
908.0,55.0,100.0,100.0,10.0
910.0,47.0,100.0,100.0,10.0
912.0,39.0,100.0,12.5,10.0
915.0,23.0,100.0,100.0,10.0
917.0,80.0,100.0,100.0,10.0
919.0,48.0,100.0,100.0,10.0
922.0,44.0,100.0,100.0,10.0
924.0,47.0,100.0,100.0,10.0
926.0,60.0,100.0,100.0,10.0
928.0,51.0,100.0,100.0,10.0
931.0,59.0,100.0,100.0,10.0
933.0,47.0,100.0,100.0,10.0
937.0,26.0,100.0,100.0,10.0
939.0,41.0,100.0,100.0,10.0
942.0,51.0,100.0,100.0,10.0
944.0,46.0,100.0,100.0,10.0
946.0,38.0,100.0,100.0,10.0
950.0,64.0,100.0,100.0,10.0
953.0,33.0,100.0,100.0,10.0
956.0,36.0,100.0,100.0,10.0
959.0,51.0,100.0,100.0,10.0
961.0,53.0,100.0,100.0,10.0
963.0,86.0,100.0,100.0,10.0
965.0,87.0,100.0,100.0,10.0
966.0,71.0,100.0,100.0,10.0
968.0,66.0,100.0,100.0,10.0
969.0,65.0,100.0,100.0,10.0
972.0,62.0,100.0,100.0,10.0
974.0,60.0,100.0,100.0,10.0
976.0,61.0,100.0,100.0,10.0
979.0,42.0,100.0,100.0,10.0
981.0,45.0,100.0,100.0,10.0
984.0,53.0,100.0,100.0,10.0
986.0,75.0,100.0,100.0,10.0
988.0,60.0,100.0,100.0,10.0
990.0,58.0,100.0,100.0,10.0
992.0,90.0,100.0,100.0,10.0
994.0,69.0,100.0,100.0,10.0
996.0,49.0,100.0,100.0,10.0
1000.0,83.0,100.0,100.0,10.0
1003.0,116.0,100.0,100.0,12.0
1005.0,87.0,100.0,100.0,17.6
1007.0,91.0,100.0,100.0,10.0
1009.0,87.0,100.0,100.0,10.0
1011.0,52.0,100.0,100.0,10.0
1013.0,80.0,100.0,100.0,10.0
1015.0,49.0,100.0,100.0,10.0
1017.0,105.0,100.0,100.0,10.0
1019.0,78.0,100.0,100.0,12.4
1020.0,73.0,100.0,100.0,10.0
1022.0,100.0,100.0,100.0,10.0
1024.0,97.0,100.0,100.0,10.8
1027.0,93.0,100.0,100.0,10.0
1029.0,55.0,100.0,100.0,12.0
1031.0,43.0,100.0,100.0,10.0
1033.0,63.0,100.0,100.0,10.0
1035.0,95.0,100.0,100.0,10.0
1037.0,64.0,100.0,100.0,10.0
1039.0,70.0,100.0,100.0,10.0
1040.0,96.0,100.0,100.0,10.0
1042.0,94.0,100.0,100.0,10.0
1044.0,71.0,100.0,100.0,10.0
1047.0,111.0,100.0,100.0,10.0
1049.0,72.0,100.0,100.0,16.4
1050.0,55.0,100.0,100.0,10.0
1052.0,79.0,100.0,100.0,10.0
1058.0,38.0,100.0,100.0,10.0
1060.0,91.0,100.0,100.0,10.0
1061.0,67.0,100.0,100.0,10.0
1063.0,53.0,100.0,100.0,10.0
1065.0,68.0,100.0,100.0,10.0
1067.0,78.0,100.0,100.0,10.0
1069.0,60.0,100.0,100.0,10.0
1070.0,52.0,100.0,100.0,10.0
1072.0,54.0,100.0,100.0,10.0
1074.0,68.0,100.0,100.0,10.0
1076.0,57.0,100.0,100.0,10.0
1077.0,78.0,100.0,100.0,10.0
1079.0,75.0,100.0,100.0,10.0
1081.0,54.0,100.0,100.0,10.0
1083.0,68.0,100.0,100.0,10.0
1084.0,57.0,100.0,100.0,10.0
1086.0,59.0,100.0,100.0,10.0
1088.0,75.0,100.0,100.0,10.0
1089.0,56.0,100.0,100.0,10.0
1091.0,77.0,100.0,100.0,10.0
1093.0,78.0,100.0,100.0,10.0
1095.0,114.0,100.0,100.0,10.0
1097.0,66.0,100.0,100.0,13.6
1099.0,102.0,100.0,100.0,10.0
1100.0,79.0,100.0,100.0,11.6
1102.0,58.0,100.0,100.0,10.0
1104.0,63.0,100.0,100.0,10.0
1106.0,100.0,100.0,100.0,10.0
1108.0,74.0,100.0,100.0,11.2
1110.0,103.0,100.0,100.0,10.0
1112.0,58.0,100.0,100.0,11.6
1114.0,103.0,100.0,100.0,10.0
1116.0,69.0,100.0,100.0,11.6
1119.0,34.0,100.0,100.0,10.0
1120.0,55.0,100.0,100.0,10.0
1123.0,79.0,100.0,100.0,10.0
1125.0,113.0,100.0,100.0,10.0
1127.0,52.0,100.0,100.0,13.2
1128.0,61.0,100.0,100.0,10.0
1130.0,87.0,100.0,100.0,10.0
1131.0,82.0,100.0,100.0,10.0
1133.0,89.0,100.0,100.0,10.0
1136.0,89.0,100.0,100.0,10.0
1138.0,79.0,100.0,100.0,11.2
1140.0,59.0,100.0,100.0,10.0
1142.0,71.0,100.0,100.0,10.0
1146.0,124.0,100.0,100.0,10.0
1150.0,118.0,100.0,100.0,23.6
1151.0,72.0,100.0,100.0,21.6
1153.0,83.0,100.0,100.0,10.0
1155.0,52.0,100.0,100.0,10.0
1158.0,37.0,100.0,100.0,10.0
1161.0,112.0,100.0,100.0,10.0
1163.0,64.0,100.0,100.0,16.8
1165.0,65.0,100.0,100.0,10.0
1167.0,61.0,100.0,100.0,10.0
1169.0,100.0,100.0,100.0,10.0
1171.0,47.0,100.0,100.0,11.2
1176.0,110.0,100.0,100.0,10.0
1179.0,80.0,100.0,100.0,23.2
1181.0,54.0,100.0,100.0,10.0
1184.0,99.0,100.0,100.0,10.0
1186.0,95.0,100.0,100.0,14.0
1189.0,93.0,100.0,100.0,10.0
1191.0,86.0,100.0,100.0,12.0
1193.0,83.0,100.0,100.0,10.0
1195.0,68.0,100.0,100.0,10.0
1197.0,109.0,100.0,100.0,10.0
1199.0,63.0,100.0,100.0,12.8
1202.0,105.0,100.0,100.0,10.0
1204.0,61.0,100.0,100.0,15.2
1206.0,107.0,100.0,100.0,10.0
1208.0,94.0,100.0,100.0,12.4
1230.0,90.0,100.0,100.0,10.0
1232.0,88.0,100.0,100.0,58.8
1234.0,101.0,100.0,100.0,10.0
1237.0,102.0,100.0,100.0,10.8
1239.0,122.0,100.0,100.0,14.0
1241.0,103.0,100.0,100.0,14.8
1242.0,74.0,100.0,100.0,10.8
1244.0,93.0,100.0,100.0,10.0
1245.0,63.0,100.0,100.0,10.0
1247.0,92.0,100.0,100.0,10.0
1249.0,63.0,100.0,100.0,10.0
1250.0,68.0,100.0,100.0,10.0
1252.0,63.0,100.0,100.0,10.0
1254.0,99.0,100.0,100.0,10.0
1256.0,74.0,100.0,100.0,10.8
1258.0,108.0,100.0,100.0,10.0
1260.0,100.0,100.0,100.0,12.4
1262.0,89.0,100.0,100.0,10.4
1264.0,60.0,100.0,100.0,10.0
1266.0,122.0,100.0,100.0,10.0
1268.0,115.0,100.0,100.0,15.2
1270.0,74.0,100.0,100.0,13.2
1271.0,61.0,100.0,100.0,10.0
1273.0,103.0,100.0,100.0,10.0
1275.0,92.0,100.0,100.0,11.6
1277.0,62.0,100.0,100.0,10.0
1278.0,68.0,100.0,100.0,10.0
1280.0,93.0,100.0,100.0,10.0
1282.0,115.0,100.0,100.0,10.0
1283.0,93.0,100.0,100.0,13.6
1285.0,118.0,100.0,100.0,10.0
1287.0,106.0,100.0,100.0,14.0
1311.0,96.0,100.0,100.0,11.6
1312.0,108.0,100.0,100.0,71.6
1314.0,68.0,100.0,100.0,10.0
1315.0,64.0,100.0,100.0,10.0
1317.0,103.0,100.0,100.0,10.0
1318.0,61.0,100.0,100.0,11.6
1320.0,61.0,100.0,100.0,10.0
1322.0,78.0,100.0,100.0,10.0
1324.0,97.0,100.0,100.0,10.0
1325.0,65.0,100.0,100.0,10.4
1327.0,76.0,100.0,100.0,10.0
1329.0,135.0,100.0,100.0,10.0
1331.0,129.0,100.0,100.0,17.6
1332.0,115.0,100.0,100.0,15.6
1334.0,91.0,100.0,100.0,10.0
1336.0,64.0,100.0,100.0,10.0
1338.0,68.0,100.0,100.0,10.0
1339.0,71.0,100.0,100.0,10.0
1341.0,91.0,100.0,100.0,10.0
1342.0,75.0,100.0,100.0,10.0
